Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Chelsea FC,Michael Essien,22,Ghana,Defensive Midfield,DM,£20.70m,Olympique Lyon,France,£34.20m,In,2005,s,premier-league
Chelsea FC,Shaun Wright-Phillips,23,England,Right Winger,RW,£8.55m,Manchester City,England,£28.35m,In,2005,s,premier-league
Chelsea FC,Asier del Horno,24,Spain,Left-Back,LB,£10.80m,Athletic Bilbao,Spain,£10.80m,In,2005,s,premier-league
Chelsea FC,Lassana Diarra,20,France,Defensive Midfield,DM,-,AC Le Havre,France,£4.05m,In,2005,s,premier-league
Chelsea FC,Wayne Bridge,25,England,Left-Back,LB,£6.98m,Fulham FC,England,"End of loanMay 8, 2006",In,2005,s,premier-league
Chelsea FC,Joe Keenan,22,England,Left-Back,LB,£540k,Brentford FC,England,"End of loanSep 1, 2005",In,2005,s,premier-league
Chelsea FC,Jiri Jarosik,28,Czech Republic,Centre-Back,CB,£5.85m,Birmingham City,England,"End of loanMay 1, 2006",In,2005,s,premier-league
Chelsea FC,Joe Keenan,22,England,Left-Back,LB,£540k,KVC Westerlo,Belgium,"End of loanJun 30, 2005",In,2005,s,premier-league
Chelsea FC,Valerio Di Cesare,22,Italy,Centre-Back,CB,£90k,UC AlbinoLeffe,Italy,"End of loanJun 30, 2005",In,2005,s,premier-league
Chelsea FC,Hernán Crespo,29,Argentina,Centre-Forward,CF,£13.50m,AC Milan,Italy,"End of loanJun 30, 2005",In,2005,s,premier-league
Arsenal FC,Aleksandr Hleb,24,Belarus,Attacking Midfield,AM,£7.65m,VfB Stuttgart,Germany,£13.50m,In,2005,s,premier-league
Arsenal FC,Alex Song,17,Cameroon,Defensive Midfield,DM,£1.13m,SC Bastia,France,£3.60m,In,2005,s,premier-league
Arsenal FC,Vito Mannone,17,Italy,Goalkeeper,GK,-,Atalanta Primavera,Italy,£450k,In,2005,s,premier-league
Arsenal FC,Mart Poom,33,Estonia,Goalkeeper,GK,£900k,Sunderland AFC,England,Free transfer,In,2005,s,premier-league
Arsenal FC,Jérémie Aliadière,23,France,Centre-Forward,CF,£1.13m,Wolverhampton Wanderers,England,"End of loanMay 1, 2006",In,2005,s,premier-league
Arsenal FC,Fabrice Muamba,17,England,Central Midfield,CM,-,Arsenal FC U18,England,-,In,2005,s,premier-league
Arsenal FC,Graham Stack,24,Ireland,Goalkeeper,GK,£315k,Reading FC,England,"End of loanMay 1, 2006",In,2005,s,premier-league
Arsenal FC,Kerrea Gilbert,18,England,Right-Back,RB,-,Arsenal FC U18,England,-,In,2005,s,premier-league
Arsenal FC,Jérémie Aliadière,22,France,Centre-Forward,CF,£1.13m,Celtic FC,Scotland,"End of loanAug 24, 2005",In,2005,s,premier-league
Arsenal FC,Sebastian Svärd,22,Denmark,Defensive Midfield,DM,£630k,Bröndby IF,Denmark,"End of loanJun 30, 2005",In,2005,s,premier-league
