Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Bayern Munich,Mats Hummels,27,Germany,Centre-Back,CB,£34.20m,Borussia Dortmund,Germany,£31.50m,In,2016,s,1-bundesliga
Bayern Munich,Renato Sanches,18,Portugal,Central Midfield,CM,£18.00m,SL Benfica,Portugal,£31.50m,In,2016,s,1-bundesliga
Bayern Munich,Niklas Dorsch,18,Germany,Defensive Midfield,DM,£68Th.,FC Bayern Munich II,Germany,-,In,2016,s,1-bundesliga
Bayern Munich,Fabian Benko,18,Croatia,Attacking Midfield,AM,£68Th.,FC Bayern Munich II,Germany,-,In,2016,s,1-bundesliga
Bayern Munich,Pierre-Emile Höjbjerg,20,Denmark,Central Midfield,CM,£5.40m,FC Schalke 04,Germany,"End of loanJun 30, 2016",In,2016,s,1-bundesliga
Borussia Dortmund,André Schürrle,25,Germany,Left Winger,LW,£16.20m,VfL Wolfsburg,Germany,£27.00m,In,2016,s,1-bundesliga
Borussia Dortmund,Mario Götze,24,Germany,Centre-Forward,CF,£31.50m,Bayern Munich,Germany,£19.80m,In,2016,s,1-bundesliga
Borussia Dortmund,Ousmane Dembélé,19,France,Right Winger,RW,£10.80m,Stade Rennais FC,France,£13.50m,In,2016,s,1-bundesliga
Borussia Dortmund,Sebastian Rode,25,Germany,Central Midfield,CM,£7.20m,Bayern Munich,Germany,£10.80m,In,2016,s,1-bundesliga
Borussia Dortmund,Raphaël Guerreiro,22,Portugal,Left Midfield,LM,£8.10m,FC Lorient,France,£10.80m,In,2016,s,1-bundesliga
Borussia Dortmund,Emre Mor,18,Turkey,Right Winger,RW,£900Th.,FC Nordsjaelland,Denmark,£8.78m,In,2016,s,1-bundesliga
Borussia Dortmund,Marc Bartra,25,Spain,Centre-Back,CB,£7.20m,FC Barcelona,Spain,£7.20m,In,2016,s,1-bundesliga
Borussia Dortmund,Mikel Merino,20,Spain,Central Midfield,CM,£1.80m,CA Osasuna,Spain,£3.38m,In,2016,s,1-bundesliga
Borussia Dortmund,Dzenis Burnic,18,Germany,Defensive Midfield,DM,-,Borussia Dortmund U19,Germany,-,In,2016,s,1-bundesliga
Borussia Dortmund,Jannik Bandowski,22,Germany,Left-Back,LB,£450Th.,TSV 1860 Munich,Germany,"End of loanJun 30, 2016",In,2016,s,1-bundesliga
Borussia Dortmund,Jakub Blaszczykowski,30,Poland,Right Winger,RW,£6.30m,ACF Fiorentina,Italy,"End of loanJun 30, 2016",In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Kevin Volland,23,Germany,Centre-Forward,CF,£15.30m,TSG 1899 Hoffenheim,Germany,£18.00m,In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Aleksandar Dragovic,25,Austria,Centre-Back,CB,£13.50m,Dynamo Kyiv,Ukraine,£16.20m,In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Julian Baumgartlinger,28,Austria,Defensive Midfield,DM,£5.40m,1.FSV Mainz 05,Germany,£3.60m,In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Jonas Meffert,21,Germany,Defensive Midfield,DM,£1.35m,Karlsruher SC,Germany,£540Th.,In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Danny da Costa,22,Germany,Right-Back,RB,£900Th.,FC Ingolstadt 04,Germany,£450Th.,In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Ramazan Özcan,32,Austria,Goalkeeper,GK,£1.13m,FC Ingolstadt 04,Germany,£450Th.,In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Patrik Dzalto,19,Croatia,Second Striker,SS,-,Bayer 04 Leverkusen U19,Germany,-,In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Joel Abu Hanna,18,Germany,Centre-Back,CB,-,Bayer 04 Leverkusen U19,Germany,-,In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Andrejs Ciganiks,19,Latvia,Left Winger,LW,-,Bayer 04 Leverkusen U19,Germany,-,In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Robin Becker,20,Germany,Centre-Back,CB,£270Th.,1.FC Heidenheim 1846,Germany,"End of loanJun 30, 2017",In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Kai Havertz,17,Germany,Attacking Midfield,AM,-,Bayer 04 Leverkusen U17,Germany,-,In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Malcolm Cacutalua,21,Germany,Centre-Back,CB,£360Th.,VfL Bochum,Germany,"End of loanJun 30, 2016",In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Maximilian Wagener,21,Germany,Central Midfield,CM,£90Th.,1.FSV Mainz 05 II,Germany,"End of loanJun 30, 2016",In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Joel Pohjanpalo,21,Finland,Centre-Forward,CF,£1.35m,Fortuna Düsseldorf,Germany,"End of loanJun 30, 2016",In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Niklas Lomb,22,Germany,Goalkeeper,GK,£315Th.,Preußen Münster,Germany,"End of loanJun 30, 2016",In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Seung-uh Ryu,22,"Korea, South",Attacking Midfield,AM,£585Th.,Arminia Bielefeld,Germany,"End of loanJun 30, 2016",In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Levin Öztunali,20,Germany,Right Midfield,RM,£2.70m,SV Werder Bremen,Germany,"End of loanJun 30, 2016",In,2016,s,1-bundesliga
Bayer 04 Leverkusen,Marc Brasnic,19,Croatia,Centre-Forward,CF,£225Th.,SC Paderborn 07,Germany,"End of loanJun 30, 2016",In,2016,s,1-bundesliga
Borussia Mönchengladbach,Christoph Kramer,25,Germany,Defensive Midfield,DM,£10.80m,Bayer 04 Leverkusen,Germany,£13.50m,In,2016,s,1-bundesliga
Borussia Mönchengladbach,Jannik Vestergaard,23,Denmark,Centre-Back,CB,£6.30m,SV Werder Bremen,Germany,£11.25m,In,2016,s,1-bundesliga
Borussia Mönchengladbach,Lászlo Bénes,18,Slovakia,Central Midfield,CM,£450Th.,MSK Zilina,Slovakia,£1.80m,In,2016,s,1-bundesliga
Borussia Mönchengladbach,Tobias Strobl,26,Germany,Defensive Midfield,DM,£1.80m,TSG 1899 Hoffenheim,Germany,Free transfer,In,2016,s,1-bundesliga
Borussia Mönchengladbach,Mamadou Doucouré,18,France,Centre-Back,CB,-,FC Paris Saint-Germain B,France,Free transfer,In,2016,s,1-bundesliga
Borussia Mönchengladbach,Djibril Sow,19,Switzerland,Central Midfield,CM,£900Th.,Borussia Mönchengladbach II,Germany,-,In,2016,s,1-bundesliga
Borussia Mönchengladbach,Moritz Nicolas,18,Germany,Goalkeeper,GK,£90Th.,Borussia Mönchengladbach II,Germany,-,In,2016,s,1-bundesliga
Borussia Mönchengladbach,Ba-Muaka Simakala,19,Germany,Second Striker,SS,-,Borussia Mönchengladbach U19,Germany,-,In,2016,s,1-bundesliga
Borussia Mönchengladbach,Tsiy William Ndenge,19,Germany,Central Midfield,CM,£90Th.,Borussia Mönchengladbach II,Germany,-,In,2016,s,1-bundesliga
Borussia Mönchengladbach,Nico Brandenburger,21,Germany,Defensive Midfield,DM,£90Th.,FC Luzern,Switzerland,"End of loanJun 30, 2016",In,2016,s,1-bundesliga
Borussia Mönchengladbach,Josip Drmic,23,Switzerland,Centre-Forward,CF,£5.40m,Hamburger SV,Germany,"End of loanJun 30, 2016",In,2016,s,1-bundesliga
Borussia Mönchengladbach,Janis Blaswich,25,Germany,Goalkeeper,GK,£270Th.,SG Dynamo Dresden,Germany,"End of loanJun 30, 2016",In,2016,s,1-bundesliga
