Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Leicester City,Islam Slimani,28,Algeria,Centre-Forward,CF,£19.80m,Sporting CP,Portugal,£27.45m,In,2016,s,premier-league,https://www.transfermarkt.co.uk/islam-slimani/profil/spieler/174915
Leicester City,Ahmed Musa,23,Nigeria,Left Winger,LW,£16.20m,CSKA Moscow,Russia,£17.55m,In,2016,s,premier-league,https://www.transfermarkt.co.uk/ahmed-musa/profil/spieler/168337
Leicester City,Nampalys Mendy,24,France,Defensive Midfield,DM,£6.75m,OGC Nice,France,£13.95m,In,2016,s,premier-league,https://www.transfermarkt.co.uk/nampalys-mendy/profil/spieler/111051
Leicester City,Bartosz Kapustka,19,Poland,Attacking Midfield,AM,£4.50m,Cracovia ,Poland,£4.50m,In,2016,s,premier-league,https://www.transfermarkt.co.uk/bartosz-kapustka/profil/spieler/246579
Leicester City,Ron-Robert Zieler,27,Germany,Goalkeeper,GK,£7.20m,Hannover 96,Germany,£3.15m,In,2016,s,premier-league,https://www.transfermarkt.co.uk/ron-robert-zieler/profil/spieler/21327
Leicester City,Luis Hernández,27,Spain,Centre-Back,CB,£2.25m,Sporting Gijón,Spain,Free transfer,In,2016,s,premier-league,https://www.transfermarkt.co.uk/luis-hernandez/profil/spieler/62945
Leicester City,Josh Gordon,22,England,Centre-Forward,CF,-,Stafford Rangers,England,?,In,2016,s,premier-league,https://www.transfermarkt.co.uk/josh-gordon/profil/spieler/426426
Leicester City,Callum Elder,22,Australia,Left-Back,LB,£225Th.,Barnsley FC,England,"End of loanMay 31, 2017",In,2016,s,premier-league,https://www.transfermarkt.co.uk/callum-elder/profil/spieler/271997
Leicester City,Matty James,25,England,Central Midfield,CM,£1.35m,Barnsley FC,England,"End of loanMay 31, 2017",In,2016,s,premier-league,https://www.transfermarkt.co.uk/matty-james/profil/spieler/73522
Leicester City,Callum Elder,21,Australia,Left-Back,LB,£90Th.,Leicester City U23,England,-,In,2016,s,premier-league,https://www.transfermarkt.co.uk/callum-elder/profil/spieler/271997
Leicester City,Tom Lawrence,23,Wales,Left Winger,LW,£1.35m,Ipswich Town,England,"End of loanMay 31, 2017",In,2016,s,premier-league,https://www.transfermarkt.co.uk/tom-lawrence/profil/spieler/229970
Leicester City,Andrej Kramaric,25,Croatia,Centre-Forward,CF,£6.75m,TSG 1899 Hoffenheim,Germany,"End of loanJun 30, 2016",In,2016,s,premier-league,https://www.transfermarkt.co.uk/andrej-kramaric/profil/spieler/46580
Leicester City,Yohan Benalouane,29,Tunisia,Centre-Back,CB,£2.70m,ACF Fiorentina,Italy,"End of loanJun 30, 2016",In,2016,s,premier-league,https://www.transfermarkt.co.uk/yohan-benalouane/profil/spieler/50477
Arsenal FC,Granit Xhaka,23,Switzerland,Defensive Midfield,DM,£31.50m,Borussia Mönchengladbach,Germany,£40.50m,In,2016,s,premier-league,https://www.transfermarkt.co.uk/granit-xhaka/profil/spieler/111455
Arsenal FC,Shkodran Mustafi,24,Germany,Centre-Back,CB,£18.00m,Valencia CF,Spain,£36.90m,In,2016,s,premier-league,https://www.transfermarkt.co.uk/shkodran-mustafi/profil/spieler/88590
Arsenal FC,Lucas Pérez,27,Spain,Centre-Forward,CF,£10.80m,Deportivo de La Coruña,Spain,£18.00m,In,2016,s,premier-league,https://www.transfermarkt.co.uk/lucas-perez/profil/spieler/73185
Arsenal FC,Takuma Asano,21,Japan,Left Winger,LW,£1.08m,Sanfrecce Hiroshima,Japan,£3.60m,In,2016,s,premier-league,https://www.transfermarkt.co.uk/takuma-asano/profil/spieler/245744
Arsenal FC,Rob Holding,20,England,Centre-Back,CB,£225Th.,Bolton Wanderers,England,£2.70m,In,2016,s,premier-league,https://www.transfermarkt.co.uk/rob-holding/profil/spieler/253341
Arsenal FC,Chuba Akpom,21,England,Centre-Forward,CF,£900Th.,Brighton & Hove Albion,England,"End of loanMay 31, 2017",In,2016,s,premier-league,https://www.transfermarkt.co.uk/chuba-akpom/profil/spieler/197642
