Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Arsenal FC,Dennis Bergkamp,26,Netherlands,Second Striker,SS,-,FC Internazionale,Italy,£10.13m,In,1995,s,premier-league
Arsenal FC,David Platt,29,England,Attacking Midfield,AM,-,UC Sampdoria,Italy,£6.39m,In,1995,s,premier-league
Arsenal FC,Roy O'Brien,20,Ireland,Midfielder,Midfielder,-,,Unknown,?,In,1995,s,premier-league
Arsenal FC,Paul Shaw,22,England,Centre-Forward,CF,-,Peterborough United,England,"End of loanMay 1, 1996",In,1995,s,premier-league
Arsenal FC,Ben Smith,16,England,Attacking Midfield,AM,-,Arsenal FC U18,England,-,In,1995,s,premier-league
Arsenal FC,Paul Shaw,22,England,Centre-Forward,CF,-,Cardiff City,Wales,"End of loanOct 1, 1995",In,1995,s,premier-league
Arsenal FC,Stephen Hughes,18,England,Defensive Midfield,DM,-,Arsenal FC U18,England,-,In,1995,s,premier-league
Arsenal FC,Paul Shaw,21,England,Centre-Forward,CF,-,Burnley FC,England,"End of loanJun 30, 1995",In,1995,s,premier-league
Everton FC,Andrey Kanchelskis,26,Russia,Right Midfield,RM,-,Manchester United,England,£6.75m,In,1995,s,premier-league
Everton FC,Gary Speed,25,Wales,Left Midfield,LM,-,Leeds United,England,£4.38m,In,1995,s,premier-league
Everton FC,Craig Short,27,England,Centre-Back,CB,-,Derby County,England,£3.24m,In,1995,s,premier-league
Everton FC,Marc Hottiger,27,Switzerland,Right-Back,RB,-,Newcastle United,England,£905k,In,1995,s,premier-league
Everton FC,Gary Rowett,21,England,Right-Back,RB,-,Cambridge United,England,£252k,In,1995,s,premier-league
Everton FC,John Hills,17,England,Left-Back,LB,-,Blackpool FC,England,Free transfer,In,1995,s,premier-league
Everton FC,Matt Jackson,24,England,Right-Back,RB,-,Charlton Athletic,England,"End of loanMay 1, 1996",In,1995,s,premier-league
Everton FC,Neil Moore,23,England,Defender,Defender,-,Rotherham United,England,"End of loanMay 31, 1996",In,1995,s,premier-league
Everton FC,Gavin McCann,17,England,Central Midfield,CM,-,Everton FC U18,England,-,In,1995,s,premier-league
Everton FC,Gary Ablett,30,England,Centre-Back,CB,-,Sheffield United,England,"End of loanMay 31, 1996",In,1995,s,premier-league
Everton FC,Jamie Speare,18,England,Goalkeeper,GK,-,Everton FC U18,England,-,In,1995,s,premier-league
Liverpool FC,Stan Collymore,24,England,Centre-Forward,CF,-,Nottingham Forest,England,£11.70m,In,1995,s,premier-league
Liverpool FC,Jason McAteer,24,Ireland,Right Midfield,RM,-,Bolton Wanderers,England,£5.63m,In,1995,s,premier-league
Liverpool FC,Stephen Pears,33,England,Goalkeeper,GK,-,Middlesbrough FC,England,Free transfer,In,1995,s,premier-league
Liverpool FC,Ian Foster,18,England,Centre-Forward,CF,-,Liverpool FC U18,England,-,In,1995,s,premier-league
Liverpool FC,David Larmour,17,Northern Ireland,Right Winger,RW,-,Liverpool FC U18,England,-,In,1995,s,premier-league
