Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Cardiff City,Simon Haworth,18,Wales,Forward,Forward,-,,Unknown,?,In,1995,s,championship
Cardiff City,Paul Shaw,21,England,Centre-Forward,CF,-,Arsenal FC,England,Loan,In,1995,s,championship
Cardiff City,Pat O'Hagan,24,Wales,Goalkeeper,GK,-,Cwmbran Town AFC,Wales,?,In,1995,s,championship
Fulham FC,Simon Stewart,22,England,Defender,Defender,-,Sheffield Wednesday,England,Free transfer,In,1995,s,championship
Fulham FC,Martin Gray,24,England,Midfielder,Midfielder,-,Sunderland AFC,England,Loan,In,1995,s,championship
Fulham FC,Paul Brooker,18,England,Attacking Midfield,AM,-,Fulham FC U18,England,-,In,1995,s,championship
Huddersfield Town,Tony Norman,37,Wales,Goalkeeper,GK,-,Sunderland AFC,England,?,In,1995,s,championship
Huddersfield Town,Thomas Heary,16,Ireland,Centre-Back,CB,-,Huddersfield Town U18,England,-,In,1995,s,championship
Leeds United,Anthony Yeboah,29,Ghana,Centre-Forward,CF,-,Eintracht Frankfurt,Germany,£2.93m,In,1995,s,championship
Leeds United,Richard Jobson,32,England,Centre-Back,CB,-,Oldham Athletic,England,£1.04m,In,1995,s,championship
Leeds United,Paul Beesley,30,England,Centre-Back,CB,-,Sheffield United,England,£270k,In,1995,s,championship
Leeds United,Harry Kewell,16,Australia,Left Winger,LW,-,Marconi Stallions,Australia,Free transfer,In,1995,s,championship
Leeds United,Paul Evans,21,South Africa,Goalkeeper,GK,-,Wits University FC,South Africa,?,In,1995,s,championship
Leeds United,Rob Bowman,19,England,Right-Back,RB,-,Leeds United Reserves,England,-,In,1995,s,championship
Leeds United,Alan Maybury,16,Ireland,Right-Back,RB,-,Leeds United U18,England,-,In,1995,s,championship
Leeds United,Andy Gray,17,Scotland,Centre-Forward,CF,-,Leeds United U18,England,-,In,1995,s,championship
Leeds United,Ian Harte,17,Ireland,Left-Back,LB,-,Leeds United U18,England,-,In,1995,s,championship
Leeds United,Wesley Boyle,16,Northern Ireland,Midfielder,Midfielder,-,Leeds United U18,England,-,In,1995,s,championship
Leeds United,Mark Jackson,17,England,Defender,Defender,-,Leeds United U18,England,-,In,1995,s,championship
West Bromwich Albion,Chris Hargreaves,23,England,Midfielder,Midfielder,-,Hull City,England,Free transfer,In,1995,s,championship
West Bromwich Albion,Tony Brien,26,Ireland,Centre-Back,CB,-,Rotherham United,England,Free transfer,In,1995,s,championship
West Bromwich Albion,Paul Reece,26,England,Goalkeeper,GK,-,Notts County,England,?,In,1995,s,championship
West Bromwich Albion,Shaun Cunnington,29,England,Defender,Defender,-,Sunderland AFC,England,?,In,1995,s,championship
West Bromwich Albion,Phil King,27,England,Left-Back,LB,-,Aston Villa,England,Loan,In,1995,s,championship
West Bromwich Albion,Neil Cutler,19,England,Goalkeeper,GK,-,Chester City (diss.),England,"End of loanApr 1, 1996",In,1995,s,championship
West Bromwich Albion,Tony Brien,27,Ireland,Centre-Back,CB,-,Chester City (diss.),England,"End of loanMay 31, 1996",In,1995,s,championship
West Bromwich Albion,Paul Edwards,32,England,Left-Back,LB,-,Bury FC,England,"End of loanMay 31, 1996",In,1995,s,championship
Derby County,Igor Stimac,27,Croatia,Centre-Back,CB,-,HNK Hajduk Split,Croatia,£1.53m,In,1995,s,championship
Derby County,Darryl Powell,23,Jamaica,Centre-Back,CB,-,Portsmouth FC,England,£1.01m,In,1995,s,championship
Derby County,Mart Poom,23,Estonia,Goalkeeper,GK,-,Portsmouth FC,England,£630k,In,1995,s,championship
Derby County,Robin van der Laan,26,Netherlands,Attacking Midfield,AM,-,Port Vale FC,England,£630k,In,1995,s,championship
Derby County,Ron Willems,28,Netherlands,Forward,Forward,-,Grasshopper Club Zurich,Switzerland,£405k,In,1995,s,championship
Derby County,Sean Flynn,27,England,Midfielder,Midfielder,-,Coventry City,England,£248k,In,1995,s,championship
Derby County,Simon Webster,31,England,Defender,Defender,-,West Ham United,England,Loan,In,1995,s,championship
Derby County,David Preece,32,England,Midfielder,Midfielder,-,Luton Town,England,?,In,1995,s,championship
Derby County,Chris Boden,22,England,Defender,Defender,-,Shrewsbury Town,England,"End of loanMay 31, 1996",In,1995,s,championship
Derby County,Steve Sutton,35,England,Goalkeeper,GK,-,Reading FC,England,"End of loanMay 31, 1996",In,1995,s,championship
Derby County,Andy Quy,19,England,Goalkeeper,GK,-,Stalybridge Celtic FC,England,"End of loanOct 1, 1995",In,1995,s,championship
Middlesbrough FC,Nick Barmby,21,England,Left Midfield,LM,-,Tottenham Hotspur,England,£6.75m,In,1995,s,championship
Middlesbrough FC,Juninho Paulista,22,Brazil,Attacking Midfield,AM,-,São Paulo Futebol Clube,Brazil,£4.95m,In,1995,s,championship
Middlesbrough FC,Mark Summerbell,18,England,Midfielder,Midfielder,-,,Unknown,?,In,1995,s,championship
Middlesbrough FC,Phil Whelan,22,England,Defender,Defender,-,Ipswich Town,England,?,In,1995,s,championship
Middlesbrough FC,Keith O'Halloran,20,Ireland,Midfielder,Midfielder,-,Scunthorpe United,England,"End of loanMay 31, 1996",In,1995,s,championship
Middlesbrough FC,Paul Wilkinson,31,England,Centre-Forward,CF,-,Luton Town,England,"End of loanMay 31, 1996",In,1995,s,championship
Bristol City,Darren Barnard,23,Wales,Left-Back,LB,-,Chelsea FC,England,£180k,In,1995,s,championship
Bristol City,Kevin Nugent,26,England,Forward,Forward,-,Plymouth Argyle,England,£90k,In,1995,s,championship
Bristol City,Phil Barber,30,England,Midfielder,Midfielder,-,Millwall FC,England,Free transfer,In,1995,s,championship
Bristol City,Alan McLeary,30,England,Defender,Defender,-,Charlton Athletic,England,Free transfer,In,1995,s,championship
Bristol City,Paul Agostino,20,Australia,Centre-Forward,CF,-,BSC Young Boys,Switzerland,Free transfer,In,1995,s,championship
Bristol City,Sieb Dijkstra,28,Netherlands,Goalkeeper,GK,-,Queens Park Rangers,England,Loan,In,1995,s,championship
Bristol City,Gordon Armstrong,28,England,Central Midfield,CM,-,Sunderland AFC,England,Loan,In,1995,s,championship
Bristol City,Phil Barber,30,England,Midfielder,Midfielder,-,Fulham FC,England,"End of loanMay 31, 1996",In,1995,s,championship
Bristol City,Shane Higgs,18,England,Goalkeeper,GK,-,Bristol City U18,England,-,In,1995,s,championship
Bristol City,Louis Carey,18,Scotland,Centre-Back,CB,-,Bristol City U18,England,-,In,1995,s,championship
Bristol City,Wayne Brown,18,England,Goalkeeper,GK,-,Bristol City U18,England,-,In,1995,s,championship
Nottingham Forest,Chris Bart-Williams,21,England,Attacking Midfield,AM,-,Sheffield Wednesday,England,£3.38m,In,1995,s,championship
Nottingham Forest,Richard Irving,19,England,Forward,Forward,-,Manchester United,England,£84k,In,1995,s,championship
Nottingham Forest,Simon Tracey,27,England,Goalkeeper,GK,-,Sheffield United,England,Loan,In,1995,s,championship
Nottingham Forest,Lutz Pfannenstiel,22,Germany,Goalkeeper,GK,-,Wimbledon FC,England,?,In,1995,s,championship
Nottingham Forest,Andrea Silenzi,29,Italy,Centre-Forward,CF,-,Torino Calcio,Italy,?,In,1995,s,championship
Nottingham Forest,Craig Armstrong,20,England,Left Midfield,LM,-,Bristol Rovers,England,"End of loanMay 1, 1996",In,1995,s,championship
Nottingham Forest,John Finnigan,19,England,Midfielder,Midfielder,-,Nottingham Forest U18,England,-,In,1995,s,championship
Nottingham Forest,Gary Bull,29,England,Forward,Forward,-,Brighton & Hove Albion,England,"End of loanAug 16, 1995",In,1995,s,championship
Nottingham Forest,Kingsley Black,27,Northern Ireland,Left Midfield,LM,-,Millwall FC,England,"End of loanMay 31, 1996",In,1995,s,championship
Swansea City,Frank Lampard,17,England,Central Midfield,CM,-,West Ham United,England,Loan,In,1995,s,championship
Swansea City,David Beresford,18,England,Midfielder,Midfielder,-,Oldham Athletic,England,Loan,In,1995,s,championship
Swansea City,Lee Jones,25,Wales,Goalkeeper,GK,-,Crewe Alexandra,England,"End of loanMay 31, 1996",In,1995,s,championship
Swansea City,Kristian O'Leary,17,Wales,Central Midfield,CM,-,Swansea City U18,Wales,-,In,1995,s,championship
Swansea City,Shaun Chapple,22,Wales,Midfielder,Midfielder,-,Barry Town United FC,Wales,"End of loanJun 1, 1995",In,1995,s,championship
Brentford FC,Marcus Bent,17,England,Centre-Forward,CF,-,FC Brentford U18,England,-,In,1995,s,championship
Sheffield Wednesday,Dejan Stefanovic,20,Serbia,Centre-Back,CB,-,Red Star Belgrade,Serbia,£2.70m,In,1995,s,championship
Sheffield Wednesday,Marc Degryse,29,Belgium,Centre-Forward,CF,-,RSC Anderlecht,Belgium,£1.13m,In,1995,s,championship
Sheffield Wednesday,Mark Pembridge,24,Wales,Left Midfield,LM,-,Derby County,England,£1.13m,In,1995,s,championship
Sheffield Wednesday,Simon Stewart,22,England,Defender,Defender,-,Shrewsbury Town,England,"End of loanMay 31, 1996",In,1995,s,championship
Sheffield Wednesday,Ritchie Humphreys,17,England,Defensive Midfield,DM,-,Sheffield Wednesday U18,England,-,In,1995,s,championship
Sheffield Wednesday,Mark Platts,16,England,Forward,Forward,-,Sheffield Wednesday U18,England,-,In,1995,s,championship
Hull City,Michael Quigley,24,England,Midfielder,Midfielder,-,Manchester City,England,Free transfer,In,1995,s,championship
Hull City,Kenny Gilbert,20,Scotland,Central Midfield,CM,-,Aberdeen FC,Scotland,?,In,1995,s,championship
Hull City,Andy Williams,32,England,Midfielder,Midfielder,-,Rotherham United,England,?,In,1995,s,championship
Hull City,Roy Carroll,17,Northern Ireland,Goalkeeper,GK,-,Hull City U18,England,-,In,1995,s,championship
Hull City,Gavin Gordon,16,England,Centre-Forward,CF,-,Hull City U18,England,-,In,1995,s,championship
Preston North End,Andy Saville,30,England,Centre-Forward,CF,-,Birmingham City,England,£101k,In,1995,s,championship
Preston North End,Dean Barrick,25,England,Left-Back,LB,-,Cambridge United,England,?,In,1995,s,championship
Preston North End,Joe Jakub,37,Scotland,Right-Back,RB,-,Wigan Athletic,England,?,In,1995,s,championship
Preston North End,Kevin Kilbane,18,Ireland,Left Midfield,LM,-,Preston North End U18,England,-,In,1995,s,championship
Blackburn Rovers,Matt Holmes,26,England,Midfielder,Midfielder,-,West Ham United,England,£1.35m,In,1995,s,championship
Blackburn Rovers,Graham Coughlan,20,Ireland,Centre-Back,CB,-,Bray Wanderers,Ireland,£135k,In,1995,s,championship
Blackburn Rovers,Lars Bohinen,26,Norway,Central Midfield,CM,-,Nottingham Forest,England,?,In,1995,s,championship
Blackburn Rovers,Shay Given,20,Ireland,Goalkeeper,GK,-,Sunderland AFC,England,"End of loanMay 30, 1996",In,1995,s,championship
Blackburn Rovers,Shay Given,19,Ireland,Goalkeeper,GK,-,Swindon Town,England,"End of loanSep 4, 1995",In,1995,s,championship
Blackburn Rovers,James Beattie,17,England,Centre-Forward,CF,-,Blackburn Rovers U18,England,-,In,1995,s,championship
Stoke City,Mike Sheron,23,England,Centre-Forward,CF,-,Norwich City,England,£558k,In,1995,s,championship
Stoke City,Phil Morgan,20,England,Goalkeeper,GK,-,Ipswich Town,England,?,In,1995,s,championship
Stoke City,Ronnie Sinclair,30,Scotland,Goalkeeper,GK,-,Bradford City,England,"End of loanJun 30, 1995",In,1995,s,championship
Birmingham City,Andy Edwards,23,England,Defender,Defender,-,Southend United,England,£423k,In,1995,s,championship
Birmingham City,Jason Bowen,22,Wales,Central Midfield,CM,-,Swansea City,Wales,£369k,In,1995,s,championship
Birmingham City,Michael Johnson,21,Jamaica,Centre-Back,CB,-,Notts County,England,£315k,In,1995,s,championship
Birmingham City,Steve Castle,29,England,Central Midfield,CM,-,Plymouth Argyle,England,£288k,In,1995,s,championship
Birmingham City,Steve Finnan,19,Ireland,Right-Back,RB,-,Welling United,England,£135k,In,1995,s,championship
Birmingham City,Ian Muir,32,England,Second Striker,SS,-,Tranmere Rovers,England,£130k,In,1995,s,championship
Birmingham City,Ian Richardson,24,England,Defender,Defender,-,Dagenham & Redbridge FC,England,£68k,In,1995,s,championship
Birmingham City,Richard Forsyth,24,England,Midfielder,Midfielder,-,Kidderminster Harriers,England,£55k,In,1995,s,championship
Birmingham City,Pedro Paulo,21,Angola,Central Midfield,CM,-,SL Benfica B,Portugal,?,In,1995,s,championship
Birmingham City,Ken Charlery,30,St. Lucia,Forward,Forward,-,Peterborough United,England,?,In,1995,s,championship
Birmingham City,Sigurd Rushfeldt,22,Norway,Centre-Forward,CF,-,Tromsø IL,Norway,Loan,In,1995,s,championship
Birmingham City,Simon Rea,19,England,Defender,Defender,-,Kettering Town,England,"End of loanMay 31, 1996",In,1995,s,championship
Birmingham City,Steve Castle,30,England,Central Midfield,CM,-,Gillingham FC,England,"End of loanMay 31, 1996",In,1995,s,championship
Birmingham City,Ian Muir,32,England,Second Striker,SS,-,Darlington FC (liq.),England,"End of loanOct 8, 1995",In,1995,s,championship
Birmingham City,Steve Robinson,20,England,Midfielder,Midfielder,-,Peterborough United,England,"End of loanMay 31, 1996",In,1995,s,championship
Wigan Athletic,Roberto Martínez,21,Spain,Midfielder,Midfielder,-,CF Balaguer,Spain,Free transfer,In,1995,s,championship
Wigan Athletic,Tony Kelly,30,England,Central Midfield,CM,-,Peterborough United,England,Free transfer,In,1995,s,championship
Wigan Athletic,Wayne Biggins,33,England,Centre-Forward,CF,-,Oxford United,England,Free transfer,In,1995,s,championship
Wigan Athletic,John Butler,33,England,Right-Back,RB,-,Stoke City,England,Free transfer,In,1995,s,championship
Wigan Athletic,Colin Greenall,31,England,Defender,Defender,-,Lincoln City,England,?,In,1995,s,championship
Wigan Athletic,Seba,21,Spain,Second Striker,SS,-,Villarreal CF,Spain,?,In,1995,s,championship
Wigan Athletic,John Pender,31,England,Centre-Back,CB,-,Burnley FC,England,?,In,1995,s,championship
Wigan Athletic,Andy Mutch,31,England,Forward,Forward,-,Swindon Town,England,Loan,In,1995,s,championship
Queens Park Rangers,Simon Osborn,23,England,Central Midfield,CM,-,Reading FC,England,£1.49m,In,1995,s,championship
Queens Park Rangers,Ned Zelic,23,Australia,Defensive Midfield,DM,-,Borussia Dortmund,Germany,£1.26m,In,1995,s,championship
Queens Park Rangers,Lee Charles,23,England,Forward,Forward,-,Chertsey Town,England,£76k,In,1995,s,championship
Queens Park Rangers,Matt Lockwood,18,England,Left-Back,LB,-,Southend United U18,England,?,In,1995,s,championship
Queens Park Rangers,Juergen Sommer,26,United States,Goalkeeper,GK,-,Luton Town,England,?,In,1995,s,championship
Queens Park Rangers,Mark Perry,16,England,Defender,Defender,-,,Unknown,?,In,1995,s,championship
Queens Park Rangers,Greg Goodridge,23,Barbados,Forward,Forward,-,Torquay United FC,England,?,In,1995,s,championship
Queens Park Rangers,Nigel Quashie,16,Scotland,Central Midfield,CM,-,Queens Park Rangers U18,England,-,In,1995,s,championship
Reading FC,Steve Swales,21,England,Defender,Defender,-,Scarborough FC (diss.),England,£72k,In,1995,s,championship
Reading FC,Borislav Mihaylov,32,Bulgaria,Goalkeeper,GK,-,Botev Plovdiv,Bulgaria,?,In,1995,s,championship
Reading FC,Trevor Morley,34,England,Centre-Forward,CF,-,West Ham United,England,?,In,1995,s,championship
Reading FC,Chris Woods,35,England,Goalkeeper,GK,-,Sheffield Wednesday,England,Loan,In,1995,s,championship
Reading FC,Robert Codner,30,England,Centre-Forward,CF,-,,Without Club,-,In,1995,s,championship
Millwall FC,Uwe Fuchs,29,Germany,Centre-Forward,CF,-,SC Fortuna Köln,Germany,£720k,In,1995,s,championship
Millwall FC,Ricky Newman,24,England,Central Midfield,CM,-,Crystal Palace,England,£675k,In,1995,s,championship
Millwall FC,Chris Malkin,28,England,Centre-Forward,CF,-,Tranmere Rovers,England,£405k,In,1995,s,championship
Millwall FC,Anton Rogan,29,Northern Ireland,Centre-Back,CB,-,Oxford United,England,Free transfer,In,1995,s,championship
Millwall FC,Kingsley Black,27,Northern Ireland,Left Midfield,LM,-,Nottingham Forest,England,Loan,In,1995,s,championship
Millwall FC,Nick Colgan,21,Ireland,Goalkeeper,GK,-,Chelsea FC,England,Loan,In,1995,s,championship
Millwall FC,Bobby Bowry,24,St. Kitts & Nevis,Midfielder,Midfielder,-,Crystal Palace,England,?,In,1995,s,championship
Millwall FC,Jason Dair,21,Scotland,Midfielder,Midfielder,-,Raith Rovers FC,Scotland,?,In,1995,s,championship
Millwall FC,Greg Berry,25,England,Midfielder,Midfielder,-,Leyton Orient,England,"End of loanMay 31, 1996",In,1995,s,championship
Luton Town,Steve Davis,26,England,Centre-Back,CB,-,Burnley FC,England,£801k,In,1995,s,championship
Luton Town,Darren Patterson,25,Northern Ireland,Right-Back,RB,-,Crystal Palace,England,£311k,In,1995,s,championship
Luton Town,Graham Alexander,23,Scotland,Right-Back,RB,-,Scunthorpe United,England,£113k,In,1995,s,championship
Luton Town,Gavin Johnson,24,England,Left Midfield,LM,-,Ipswich Town,England,Free transfer,In,1995,s,championship
Luton Town,Boncho Genchev,31,Bulgaria,Midfielder,Midfielder,-,Ipswich Town,England,?,In,1995,s,championship
Luton Town,Andrew Fotiadis,17,England,Forward,Forward,-,,Unknown,?,In,1995,s,championship
Luton Town,Vidar Riseth,23,Norway,Centre-Back,CB,-,Kongsvinger IL,Norway,Loan,In,1995,s,championship
Luton Town,Boncho Genchev,31,Bulgaria,Attacking Midfield,AM,-,Ipswich Town,England,?,In,1995,s,championship
Luton Town,Nathan Abbey,16,England,Goalkeeper,GK,-,Luton Town U18,England,-,In,1995,s,championship
Barnsley FC,Peter Shirtliff,34,England,Centre-Back,CB,-,Wolverhampton Wanderers,England,£129k,In,1995,s,championship
Barnsley FC,Paul Kane,30,Scotland,Midfielder,Midfielder,-,Aberdeen FC,Scotland,Loan,In,1995,s,championship
Barnsley FC,Jan Mölby,32,Denmark,Central Midfield,CM,-,Liverpool FC,England,Loan,In,1995,s,championship
Charlton Athletic,John Humphrey,34,England,Defender,Defender,-,Crystal Palace,England,Free transfer,In,1995,s,championship
Charlton Athletic,Tom Henning Hovi,23,Norway,Left-Back,LB,-,Hamarkameratene,Norway,Free transfer,In,1995,s,championship
Charlton Athletic,Paul Williams,30,England,Forward,Forward,-,Crystal Palace,England,Free transfer,In,1995,s,championship
Charlton Athletic,Paul Williams,30,England,Forward,Forward,-,Torquay United FC,England,"End of loanMay 31, 1996",In,1995,s,championship
Charlton Athletic,Kevin Nicholls,16,England,Right Midfield,RM,-,Charlton Athletic U18,England,-,In,1995,s,championship
Charlton Athletic,Jason Tindall,17,England,Defender,Defender,-,Charlton Athletic U18,England,-,In,1995,s,championship
Charlton Athletic,Richard Rufus,20,England,Centre-Back,CB,-,Charlton Athletic U18,England,-,In,1995,s,championship
Charlton Athletic,Jamie Stuart,18,England,Centre-Back,CB,-,Charlton Athletic U18,England,-,In,1995,s,championship
Charlton Athletic,Alan Pardew,34,England,Midfielder,Midfielder,-,Tottenham Hotspur,England,"End of loanJul 30, 1995",In,1995,s,championship
Cardiff City,Paul Millar,28,Northern Ireland,Midfielder,Midfielder,-,Linfield FC,Northern Ireland,?,Out,1995,s,championship
Cardiff City,Terry Evans,19,Wales,Right-Back,RB,-,Barry Town United FC,Wales,?,Out,1995,s,championship
Cardiff City,Alan Harper,35,England,Centre-Back,CB,-,Burnley FC,England,"End of loanMay 31, 1996",Out,1995,s,championship
Cardiff City,Wayne Fereday,32,England,Right Winger,RW,-,,Retired,-,Out,1995,s,championship
Cardiff City,Paul Shaw,22,England,Centre-Forward,CF,-,Arsenal FC,England,"End of loanOct 1, 1995",Out,1995,s,championship
Cardiff City,Russell Osman,37,England,Centre-Back,CB,-,,Retired,-,Out,1995,s,championship
Fulham FC,Martin Ferney,23,England,Central Midfield,CM,-,Dover Athletic,England,Free transfer,Out,1995,s,championship
Fulham FC,Ara Bedrossian,28,Cyprus,Defensive Midfield,DM,-,Stevenage FC,England,?,Out,1995,s,championship
Fulham FC,Jim Stannard,32,England,Goalkeeper,GK,-,Gillingham FC,England,?,Out,1995,s,championship
Fulham FC,Phil Barber,30,England,Midfielder,Midfielder,-,Bristol City,England,"End of loanMay 31, 1996",Out,1995,s,championship
Fulham FC,Alan Cork,36,England,Forward,Forward,-,,Retired,-,Out,1995,s,championship
Huddersfield Town,Paul Moulden,27,England,Forward,Forward,-,Rochdale AFC,England,Free transfer,Out,1995,s,championship
Huddersfield Town,Kevin Blackwell,36,England,Goalkeeper,GK,-,Plymouth Argyle,England,Free transfer,Out,1995,s,championship
Huddersfield Town,Chris Billy,22,England,Midfielder,Midfielder,-,Plymouth Argyle,England,?,Out,1995,s,championship
Leeds United,Gary Speed,25,Wales,Left Midfield,LM,-,Everton FC,England,£4.38m,Out,1995,s,championship
Leeds United,Chris Fairclough,31,England,Centre-Back,CB,-,Bolton Wanderers,England,?,Out,1995,s,championship
Leeds United,Gordon Strachan,38,Scotland,Central Midfield,CM,-,Coventry City,England,?,Out,1995,s,championship
Leeds United,Ryan Nicholls,22,Wales,Forward,Forward,-,FC Merthyr Town,Wales,?,Out,1995,s,championship
Leeds United,David O'Leary,37,Ireland,Centre-Back,CB,-,,Retired,-,Out,1995,s,championship
Leeds United,Anthony Yeboah,29,Ghana,Centre-Forward,CF,-,Eintracht Frankfurt,Germany,"End of loanJun 30, 1995",Out,1995,s,championship
West Bromwich Albion,Darren Bradley,29,England,Midfielder,Midfielder,-,Walsall FC,England,Free transfer,Out,1995,s,championship
West Bromwich Albion,Neil Cutler,19,England,Goalkeeper,GK,-,Coventry City,England,Loan,Out,1995,s,championship
West Bromwich Albion,Gary Strodder,30,England,Centre-Back,CB,-,Notts County,England,?,Out,1995,s,championship
West Bromwich Albion,Brett Angell,27,England,Centre-Forward,CF,-,Sunderland AFC,England,"End of loanMay 1, 1996",Out,1995,s,championship
West Bromwich Albion,Peter Butler,29,England,Midfielder,Midfielder,-,Notts County,England,"End of loanMay 31, 1996",Out,1995,s,championship
Derby County,Craig Short,27,England,Centre-Back,CB,-,Everton FC,England,£3.24m,Out,1995,s,championship
Derby County,Mark Pembridge,24,Wales,Left Midfield,LM,-,Sheffield Wednesday,England,£1.13m,Out,1995,s,championship
Derby County,Paul Williams,24,England,Centre-Back,CB,-,Coventry City,England,£1.02m,Out,1995,s,championship
Derby County,Lee Mills,25,England,Forward,Forward,-,Port Vale FC,England,£225k,Out,1995,s,championship
Derby County,Michael Forsyth,29,England,Defender,Defender,-,Notts County,England,£207k,Out,1995,s,championship
Derby County,Andy Quy,19,England,Goalkeeper,GK,-,Stalybridge Celtic FC,England,Loan,Out,1995,s,championship
Derby County,John Harkes,28,United States,Right Midfield,RM,-,West Ham United,England,?,Out,1995,s,championship
Derby County,Simon Webster,32,England,Defender,Defender,-,West Ham United,England,"End of loanMay 31, 1996",Out,1995,s,championship
Middlesbrough FC,Andy Todd,20,England,Centre-Back,CB,-,Bolton Wanderers,England,£338k,Out,1995,s,championship
Middlesbrough FC,Tommy Wright,29,Scotland,Left Winger,LW,-,Bradford City,England,Free transfer,Out,1995,s,championship
Middlesbrough FC,Stephen Pears,33,England,Goalkeeper,GK,-,Liverpool FC,England,Free transfer,Out,1995,s,championship
Middlesbrough FC,Ben Roberts,20,England,Goalkeeper,GK,-,Hartlepool United,England,Loan,Out,1995,s,championship
Middlesbrough FC,Paul Wilkinson,30,England,Centre-Forward,CF,-,Oldham Athletic,England,Loan,Out,1995,s,championship
Middlesbrough FC,Viv Anderson,38,England,Right-Back,RB,-,,Retired,-,Out,1995,s,championship
Middlesbrough FC,Uwe Fuchs,28,Germany,Centre-Forward,CF,-,SC Fortuna Köln,Germany,"End of loanJun 30, 1995",Out,1995,s,championship
Bristol City,Dave Martin,32,England,Central Midfield,CM,-,Gillingham FC,England,Free transfer,Out,1995,s,championship
Bristol City,Henry McKop,27,Zimbabwe,Centre-Back,CB,-,Shelbourne FC,Ireland,Free transfer,Out,1995,s,championship
Bristol City,Stuart Munro,32,Scotland,Left-Back,LB,-,Falkirk FC,Scotland,?,Out,1995,s,championship
Bristol City,Ian Baird,31,England,Centre-Forward,CF,-,Plymouth Argyle,England,?,Out,1995,s,championship
Nottingham Forest,Stan Collymore,24,England,Centre-Forward,CF,-,Liverpool FC,England,£11.70m,Out,1995,s,championship
Nottingham Forest,Carl Tiler,25,England,Defender,Defender,-,Aston Villa,England,£843k,Out,1995,s,championship
Nottingham Forest,Kingsley Black,27,Northern Ireland,Left Midfield,LM,-,Millwall FC,England,Loan,Out,1995,s,championship
Nottingham Forest,Gary Bull,29,England,Forward,Forward,-,Brighton & Hove Albion,England,Loan,Out,1995,s,championship
Nottingham Forest,Gary Bull,29,England,Forward,Forward,-,Brighton & Hove Albion,England,Loan,Out,1995,s,championship
Nottingham Forest,Lars Bohinen,26,Norway,Central Midfield,CM,-,Blackburn Rovers,England,?,Out,1995,s,championship
Swansea City,Jason Bowen,22,Wales,Central Midfield,CM,-,Birmingham City,England,£369k,Out,1995,s,championship
Swansea City,Lee Chapman,36,England,Centre-Forward,CF,-,Strømsgodset IF,Norway,Free transfer,Out,1995,s,championship
Swansea City,Lee Jones,25,Wales,Goalkeeper,GK,-,Crewe Alexandra,England,Loan,Out,1995,s,championship
Swansea City,Martin Hayes,29,England,Left Winger,LW,-,Southend United,England,?,Out,1995,s,championship
Swansea City,David Beresford,19,England,Midfielder,Midfielder,-,Oldham Athletic,England,"End of loanMay 31, 1996",Out,1995,s,championship
Swansea City,John Williams,27,England,Centre-Forward,CF,-,Coventry City,England,"End of loanJun 30, 1995",Out,1995,s,championship
Brentford FC,Paul Stephenson,27,England,Right-Back,RB,-,York City,England,£36k,Out,1995,s,championship
Brentford FC,Laurence Batty,31,England,Goalkeeper,GK,-,Woking FC,England,?,Out,1995,s,championship
Sheffield Wednesday,Chris Bart-Williams,21,England,Attacking Midfield,AM,-,Nottingham Forest,England,£3.38m,Out,1995,s,championship
Sheffield Wednesday,Simon Stewart,22,England,Defender,Defender,-,Fulham FC,England,Free transfer,Out,1995,s,championship
Sheffield Wednesday,Chris Woods,36,England,Goalkeeper,GK,-,Colorado Rapids,United States,?,Out,1995,s,championship
Sheffield Wednesday,Simon Stewart,21,England,Defender,Defender,-,Shrewsbury Town,England,Loan,Out,1995,s,championship
Sheffield Wednesday,Chris Woods,35,England,Goalkeeper,GK,-,Reading FC,England,Loan,Out,1995,s,championship
Hull City,Nicky Mohan,24,England,Defender,Defender,-,Bradford City,England,£270k,Out,1995,s,championship
Hull City,Chris Hargreaves,23,England,Midfielder,Midfielder,-,West Bromwich Albion,England,Free transfer,Out,1995,s,championship
Hull City,Bobby Davison,36,England,Forward,Forward,-,Rotherham United,England,"End of loanMay 31, 1996",Out,1995,s,championship
Hull City,Steve Moran,34,England,Second Striker,SS,-,,Retired,-,Out,1995,s,championship
Preston North End,Barry Richardson,26,England,Goalkeeper,GK,-,Lincoln City,England,£27k,Out,1995,s,championship
Preston North End,Paul Raynor,29,England,Midfielder,Midfielder,-,Cambridge United,England,?,Out,1995,s,championship
Blackburn Rovers,Tony Gale,35,England,Centre-Back,CB,-,Crystal Palace,England,Free transfer,Out,1995,s,championship
Blackburn Rovers,Shay Given,19,Ireland,Goalkeeper,GK,-,Swindon Town,England,Loan,Out,1995,s,championship
Blackburn Rovers,Robbie Slater,30,Australia,Central Midfield,CM,-,West Ham United,England,?,Out,1995,s,championship
Blackburn Rovers,Mark Atkins,27,England,Right-Back,RB,-,Wolverhampton Wanderers,England,?,Out,1995,s,championship
