Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Borussia Dortmund,Mladen Petric,26,Croatia,Centre-Forward,CF,£3.24m,FC Basel 1893,Switzerland,£3.15m,In,2007,s,1-bundesliga,https://www.transfermarkt.co.uk/mladen-petric/profil/spieler/2874
Borussia Dortmund,Jakub Blaszczykowski,21,Poland,Right Winger,RW,£3.33m,Wisla Kraków,Poland,£2.75m,In,2007,s,1-bundesliga,https://www.transfermarkt.co.uk/jakub-blaszczykowski/profil/spieler/29835
Borussia Dortmund,Diego Klimowicz,32,Argentina,Centre-Forward,CF,£3.60m,VfL Wolfsburg,Germany,£1.35m,In,2007,s,1-bundesliga,https://www.transfermarkt.co.uk/diego-klimowicz/profil/spieler/1424
Borussia Dortmund,Marc Ziegler,31,Germany,Goalkeeper,GK,£540Th.,1.FC Saarbrücken,Germany,£225Th.,In,2007,s,1-bundesliga,https://www.transfermarkt.co.uk/marc-ziegler/profil/spieler/162
Borussia Dortmund,Robert Kovac,33,Croatia,Centre-Back,CB,£2.25m,Juventus FC,Italy,Free transfer,In,2007,s,1-bundesliga,https://www.transfermarkt.co.uk/robert-kovac/profil/spieler/75
Borussia Dortmund,Giovanni Federico,26,Italy,Attacking Midfield,AM,£2.25m,Karlsruher SC,Germany,Free transfer,In,2007,s,1-bundesliga,https://www.transfermarkt.co.uk/giovanni-federico/profil/spieler/1682
Borussia Dortmund,Daniel Gordon,22,Jamaica,Centre-Back,CB,£270Th.,Borussia Dortmund II,Germany,-,In,2007,s,1-bundesliga,https://www.transfermarkt.co.uk/daniel-gordon/profil/spieler/17733
Borussia Dortmund,Delron Buckley,29,South Africa,Left Winger,LW,£675Th.,FC Basel 1893,Switzerland,"End of loanJun 30, 2007",In,2007,s,1-bundesliga,https://www.transfermarkt.co.uk/delron-buckley/profil/spieler/620
Bayer 04 Leverkusen,Arturo Vidal,20,Chile,Central Midfield,CM,£4.50m,CSD Colo Colo,Chile,£4.68m,In,2007,s,1-bundesliga,https://www.transfermarkt.co.uk/arturo-vidal/profil/spieler/37666
Bayer 04 Leverkusen,Theofanis Gekas,27,Greece,Centre-Forward,CF,£6.30m,VfL Bochum,Germany,£4.23m,In,2007,s,1-bundesliga,https://www.transfermarkt.co.uk/theofanis-gekas/profil/spieler/16402
Bayer 04 Leverkusen,Manuel Friedrich,27,Germany,Centre-Back,CB,£3.15m,1.FSV Mainz 05,Germany,£2.25m,In,2007,s,1-bundesliga,https://www.transfermarkt.co.uk/manuel-friedrich/profil/spieler/1073
Bayer 04 Leverkusen,Lukas Sinkiewicz,21,Germany,Defensive Midfield,DM,£2.07m,1. FC Köln,Germany,£1.44m,In,2007,s,1-bundesliga,https://www.transfermarkt.co.uk/lukas-sinkiewicz/profil/spieler/17134
Bayer 04 Leverkusen,Ricardo Faty,20,Senegal,Defensive Midfield,DM,£900Th.,AS Roma,Italy,Loan fee:£540Th.,In,2007,s,1-bundesliga,https://www.transfermarkt.co.uk/ricardo-faty/profil/spieler/33953
Bayer 04 Leverkusen,Hans Sarpei,31,Ghana,Left-Back,LB,£900Th.,VfL Wolfsburg,Germany,Free transfer,In,2007,s,1-bundesliga,https://www.transfermarkt.co.uk/hans-sarpei/profil/spieler/707
Bayer 04 Leverkusen,Vratislav Gresko,29,Slovakia,Left-Back,LB,£1.58m,1.FC Nuremberg,Germany,Free transfer,In,2007,s,1-bundesliga,https://www.transfermarkt.co.uk/vratislav-gresko/profil/spieler/71
