Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Arsenal FC,Eddie McGoldrick,28,Ireland,Central Midfield,CM,-,Crystal Palace,England,£1.15m,In,1993,s,premier-league
Arsenal FC,Adrian Clarke,18,England,Midfielder,Midfielder,-,Arsenal FC Reserves,England,-,In,1993,s,premier-league
Arsenal FC,Paul Dickov,21,Scotland,Centre-Forward,CF,-,Brighton & Hove Albion,England,"End of loanMay 1, 1994",In,1993,s,premier-league
Everton FC,Graham Stuart,22,England,Attacking Midfield,AM,-,Chelsea FC,England,£1.15m,In,1993,s,premier-league
Everton FC,Brett Angell,25,England,Centre-Forward,CF,-,Southend United,England,Loan,In,1993,s,premier-league
Everton FC,Paul Holmes,25,England,Midfielder,Midfielder,-,Birmingham City,England,?,In,1993,s,premier-league
Liverpool FC,Neil Ruddock,25,England,Centre-Back,CB,-,Tottenham Hotspur,England,£2.70m,In,1993,s,premier-league
Liverpool FC,Nigel Clough,27,England,Attacking Midfield,AM,-,Nottingham Forest,England,£2.48m,In,1993,s,premier-league
Liverpool FC,Julian Dicks,25,England,Left-Back,LB,-,West Ham United,England,£2.03m,In,1993,s,premier-league
Liverpool FC,Paul Stewart,29,England,Defensive Midfield,DM,-,Crystal Palace,England,"End of loanMay 31, 1994",In,1993,s,premier-league
Liverpool FC,Robbie Fowler,18,England,Centre-Forward,CF,-,Liverpool FC U18,England,-,In,1993,s,premier-league
Liverpool FC,Lee Jones,21,Wales,Centre-Forward,CF,-,Crewe Alexandra,England,"End of loanMay 31, 1994",In,1993,s,premier-league
Liverpool FC,Mark Walters,29,England,Left Midfield,LM,-,Stoke City,England,"End of loanMay 31, 1994",In,1993,s,premier-league
Liverpool FC,Steve Harkness,22,England,Left-Back,LB,-,Huddersfield Town,England,"End of loanOct 25, 1993",In,1993,s,premier-league
Tottenham Hotspur,Jason Dozzell,25,England,Central Midfield,CM,-,Ipswich Town,England,£2.16m,In,1993,s,premier-league
Tottenham Hotspur,David Kerslake,27,England,Right-Back,RB,-,Leeds United,England,£507k,In,1993,s,premier-league
Tottenham Hotspur,Garry Brady,16,Scotland,Central Midfield,CM,-,Celtic Boys Club,Scotland,?,In,1993,s,premier-league
Tottenham Hotspur,Colin Calderwood,28,Scotland,Centre-Back,CB,-,Swindon Town,England,?,In,1993,s,premier-league
Tottenham Hotspur,Steve Robinson,19,Northern Ireland,Attacking Midfield,AM,-,Leyton Orient,England,"End of loanMay 1, 1994",In,1993,s,premier-league
Tottenham Hotspur,Stephen Carr,16,Ireland,Right-Back,RB,-,Tottenham Hotspur U18,England,-,In,1993,s,premier-league
Tottenham Hotspur,Peter Beadle,22,England,Forward,Forward,-,Southend United,England,"End of loanMay 31, 1994",In,1993,s,premier-league
Tottenham Hotspur,Andy Quy,16,England,Goalkeeper,GK,-,Tottenham Hotspur U18,England,-,In,1993,s,premier-league
Tottenham Hotspur,Paul Mahorn,20,England,Forward,Forward,-,Fulham FC,England,"End of loanMay 31, 1994",In,1993,s,premier-league
Tottenham Hotspur,John Hendry,23,Scotland,Centre-Forward,CF,-,Charlton Athletic,England,"End of loanJun 30, 1993",In,1993,s,premier-league
Blackburn Rovers,Paul Warhurst,23,England,Centre-Back,CB,-,Sheffield Wednesday,England,£3.38m,In,1993,s,premier-league
Blackburn Rovers,Ian Pearce,19,England,Centre-Back,CB,-,Chelsea FC,England,£405k,In,1993,s,premier-league
Blackburn Rovers,Kevin Gallacher,26,Scotland,Right Winger,RW,-,Coventry City,England,?,In,1993,s,premier-league
Blackburn Rovers,Andy Morrison,22,Scotland,Centre-Back,CB,-,Plymouth Argyle,England,?,In,1993,s,premier-league
Blackburn Rovers,Simon Ireland,22,England,Midfielder,Midfielder,-,Mansfield Town,England,"End of loanMay 31, 1994",In,1993,s,premier-league
Southampton FC,Paul Allen,30,England,Midfielder,Midfielder,-,Tottenham Hotspur,England,£594k,In,1993,s,premier-league
Southampton FC,Simon Charlton,21,England,Left-Back,LB,-,Huddersfield Town,England,£315k,In,1993,s,premier-league
Southampton FC,Peter Reid,37,England,Defensive Midfield,DM,-,Manchester City,England,Free transfer,In,1993,s,premier-league
Southampton FC,Colin Cramb,19,Scotland,Centre-Forward,CF,-,Hamilton Academical FC,Scotland,?,In,1993,s,premier-league
Southampton FC,Derek Allan,18,Scotland,Centre-Back,CB,-,Ayr United FC,Scotland,?,In,1993,s,premier-league
Southampton FC,Kevin Moore,35,England,Defender,Defender,-,Bristol Rovers,England,"End of loanJun 30, 1993",In,1993,s,premier-league
Manchester City,Alan Kernaghan,26,Ireland,Centre-Back,CB,-,Middlesbrough FC,England,£2.16m,In,1993,s,premier-league
Manchester City,Carl Griffiths,21,England,Centre-Forward,CF,-,Shrewsbury Town,England,£540k,In,1993,s,premier-league
Manchester City,Alfons Groenendijk,29,Netherlands,Defensive Midfield,DM,-,Ajax Amsterdam,Netherlands,£307k,In,1993,s,premier-league
Manchester City,Martyn Margetson,22,Wales,Goalkeeper,GK,-,Bolton Wanderers,England,"End of loanMay 1, 1994",In,1993,s,premier-league
Manchester City,Jim Whitley,18,Northern Ireland,Midfielder,Midfielder,-,Manchester City U18,England,-,In,1993,s,premier-league
Manchester City,Rae Ingram,18,England,Defender,Defender,-,Manchester City U18,England,-,In,1993,s,premier-league
Manchester City,Adrian Mike,20,England,Forward,Forward,-,Linköpings FF,Sweden,"End of loanMay 31, 1994",In,1993,s,premier-league
Sheffield United,Willie Falconer,27,Scotland,Centre-Forward,CF,-,Middlesbrough FC,England,£540k,In,1993,s,premier-league
Sheffield United,Chris Kamara,35,England,Defensive Midfield,DM,-,Luton Town,England,Free transfer,In,1993,s,premier-league
Sheffield United,Jonas Wirmola,23,Sweden,Defender,Defender,-,Spårvägens FF,Sweden,Free transfer,In,1993,s,premier-league
Sheffield United,Jostein Flo,28,Norway,Centre-Forward,CF,-,Sogndal IL,Norway,?,In,1993,s,premier-league
Sheffield United,Dave Tuttle,21,England,Defender,Defender,-,Tottenham Hotspur,England,?,In,1993,s,premier-league
Sheffield United,Jamie Hoyland,28,England,Midfielder,Midfielder,-,Bristol City,England,"End of loanMay 31, 1994",In,1993,s,premier-league
Sheffield United,John Gannon,27,England,Midfielder,Midfielder,-,Middlesbrough FC,England,"End of loanMay 31, 1994",In,1993,s,premier-league
Swindon Town,Jan Aage Fjörtoft,26,Norway,Centre-Forward,CF,-,Rapid Vienna,Austria,£630k,In,1993,s,premier-league
Swindon Town,Adrian Whitbread,21,England,Centre-Back,CB,-,Leyton Orient,England,£560k,In,1993,s,premier-league
Swindon Town,Andy Mutch,29,England,Forward,Forward,-,Wolverhampton Wanderers,England,£279k,In,1993,s,premier-league
Swindon Town,Ty Gooden,20,England,Midfielder,Midfielder,-,Wycombe Wanderers,England,Free transfer,In,1993,s,premier-league
Swindon Town,Luc Nijholt,31,Netherlands,Centre-Back,CB,-,Motherwell FC,Scotland,?,In,1993,s,premier-league
Swindon Town,Terry Fenwick,33,England,Centre-Back,CB,-,Tottenham Hotspur,England,?,In,1993,s,premier-league
West Ham United,Julian Dicks,25,England,Left-Back,LB,-,Liverpool FC,England,£1.35m,In,1993,s,premier-league
West Ham United,Dale Gordon,26,England,Right Midfield,RM,-,Rangers FC,Scotland,£765k,In,1993,s,premier-league
West Ham United,Simon Webster,29,England,Defender,Defender,-,Charlton Athletic,England,£585k,In,1993,s,premier-league
West Ham United,Lee Chapman,33,England,Centre-Forward,CF,-,Portsmouth FC,England,£282k,In,1993,s,premier-league
West Ham United,Keith Rowland,21,Northern Ireland,Left-Back,LB,-,AFC Bournemouth,England,£149k,In,1993,s,premier-league
West Ham United,Mike Marsh,24,England,Central Midfield,CM,-,Liverpool FC,England,Free transfer,In,1993,s,premier-league
West Ham United,Jeroen Boere,25,Netherlands,Centre-Forward,CF,-,Go Ahead Eagles Deventer,Netherlands,?,In,1993,s,premier-league
West Ham United,David Burrows,24,England,Left-Back,LB,-,Liverpool FC,England,?,In,1993,s,premier-league
West Ham United,Daniel Williamson,20,England,Attacking Midfield,AM,-,Doncaster Rovers,England,"End of loanMay 31, 1994",In,1993,s,premier-league
West Ham United,Trevor Morley,32,England,Centre-Forward,CF,-,SK Brann,Norway,"End of loanSep 1, 1993",In,1993,s,premier-league
West Ham United,Matthew Rush,22,England,Midfielder,Midfielder,-,Swansea City,Wales,"End of loanMay 31, 1994",In,1993,s,premier-league
Leeds United,Brian Deane,25,England,Centre-Forward,CF,-,Sheffield United,England,£3.92m,In,1993,s,premier-league
Leeds United,David O'Leary,35,Ireland,Centre-Back,CB,-,Arsenal FC,England,?,In,1993,s,premier-league
Leeds United,Ray Wallace,24,England,Defender,Defender,-,Reading FC,England,"End of loanMay 31, 1994",In,1993,s,premier-league
Leeds United,Mark Ford,17,England,Midfielder,Midfielder,-,Leeds United U18,England,-,In,1993,s,premier-league
Leeds United,Frank Strandli,21,Norway,Centre-Forward,CF,-,IK Start,Norway,"End of loanJul 31, 1993",In,1993,s,premier-league
Aston Villa,Andy Townsend,29,Ireland,Central Midfield,CM,-,Chelsea FC,England,£2.16m,In,1993,s,premier-league
Aston Villa,Guy Whittingham,28,England,Forward,Forward,-,Portsmouth FC,England,£1.62m,In,1993,s,premier-league
Aston Villa,Gordon Cowans,34,England,Midfielder,Midfielder,-,Blackburn Rovers,England,Free transfer,In,1993,s,premier-league
Aston Villa,Michael Oakes,20,England,Goalkeeper,GK,-,Scarborough Athletic,England,"End of loanMay 1, 1994",In,1993,s,premier-league
Aston Villa,Lee Hendrie,16,England,Left Midfield,LM,-,Aston Villa U18,England,-,In,1993,s,premier-league
Aston Villa,Paul Browne,18,Scotland,Centre-Back,CB,-,Aston Villa U18,England,-,In,1993,s,premier-league
Aston Villa,Chris Boden,20,England,Defender,Defender,-,Barnsley FC,England,"End of loanMay 31, 1994",In,1993,s,premier-league
Aston Villa,Dariusz Kubicki,30,Poland,Right-Back,RB,-,Sunderland AFC,England,"End of loanMay 31, 1994",In,1993,s,premier-league
Chelsea FC,Mark Stein,27,England,Centre-Forward,CF,-,Stoke City,England,£1.50m,In,1993,s,premier-league
Chelsea FC,Jakob Kjeldbjerg,23,Denmark,Centre-Back,CB,-,Silkeborg IF,Denmark,£432k,In,1993,s,premier-league
Chelsea FC,Andy Dow,20,Scotland,Defender,Defender,-,Dundee FC,Scotland,?,In,1993,s,premier-league
Chelsea FC,Glenn Hoddle,35,England,Attacking Midfield,AM,-,Swindon Town,England,?,In,1993,s,premier-league
Chelsea FC,Nick Colgan,20,Ireland,Goalkeeper,GK,-,Crewe Alexandra,England,"End of loanMay 1, 1994",In,1993,s,premier-league
Chelsea FC,Anthony Barness,20,England,Right-Back,RB,-,Middlesbrough FC,England,"End of loanSep 1, 1993",In,1993,s,premier-league
Chelsea FC,Michael Duberry,17,England,Centre-Back,CB,-,Chelsea FC U18,England,-,In,1993,s,premier-league
