Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
1.FC Kaiserslautern,Uwe Fuchs,26,Germany,Centre-Forward,CF,-,1. FC Köln,Germany,£585Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/uwe-fuchs/profil/spieler/14831
1.FC Kaiserslautern,Michael Lusch,29,Germany,Right Midfield,RM,-,Borussia Dortmund,Germany,£428Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/michael-lusch/profil/spieler/84554
1.FC Kaiserslautern,Claus Reitmaier,29,Germany,Goalkeeper,GK,-,Stuttgarter Kickers,Germany,£360Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/claus-reitmaier/profil/spieler/671
1.FC Kaiserslautern,Ciriaco Sforza,23,Switzerland,Central Midfield,CM,-,Grasshopper Club Zurich,Switzerland,?,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/ciriaco-sforza/profil/spieler/219
1.FC Kaiserslautern,Andreas Brehme,32,Germany,Left-Back,LB,-,Real Zaragoza,Spain,?,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/andreas-brehme/profil/spieler/16056
1.FC Kaiserslautern,Jürgen Degen,25,Germany,Centre-Forward,CF,-,Fortuna Düsseldorf,Germany,"End of loanJun 30, 1993",In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/jurgen-degen/profil/spieler/18357
1.FC Kaiserslautern,Guido Hoffmann,27,Germany,Attacking Midfield,AM,-,Bayer 04 Leverkusen,Germany,"End of loanJun 30, 1993",In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/guido-hoffmann/profil/spieler/96641
1.FC Kaiserslautern,Bernhard Winkler,27,Germany,Centre-Forward,CF,-,SC Fortuna Köln,Germany,"End of loanJun 30, 1993",In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/bernhard-winkler/profil/spieler/572
1. FC Köln,Stefan Kohn,27,Germany,Centre-Forward,CF,-,SV Werder Bremen,Germany,£698Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/stefan-kohn/profil/spieler/13769
1. FC Köln,Ralf Hauptmann,24,Germany,Defensive Midfield,DM,-,SG Dynamo Dresden,Germany,£428Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/ralf-hauptmann/profil/spieler/41
1. FC Köln,Michael Kraft,27,Germany,Goalkeeper,GK,-,Bakirköyspor,Turkey,Free transfer,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/michael-kraft/profil/spieler/35914
1. FC Köln,Toni Polster,29,Austria,Centre-Forward,CF,-,Rayo Vallecano,Spain,Free transfer,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/toni-polster/profil/spieler/22416
1. FC Köln,Stephan Paßlack,22,Germany,Centre-Back,CB,-,Bayer 05 Uerdingen,Germany,Loan,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/stephan-passlack/profil/spieler/561
1. FC Köln,Rudi Müller,32,Germany,Centre-Forward,CF,-,Wuppertaler SV,Germany,?,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/rudi-muller/profil/spieler/96221
1. FC Köln,Edward Sarpei,24,Ghana,Left Midfield,LM,-,1.FC Köln II,Germany,-,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/edward-sarpei/profil/spieler/8572
1. FC Köln,Carsten Jancker,18,Germany,Centre-Forward,CF,-,1.FC Köln U19,Germany,-,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/carsten-jancker/profil/spieler/202
1. FC Köln,Thomas Zdebel,20,Poland,Defensive Midfield,DM,-,1.FC Köln II,Germany,-,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/thomas-zdebel/profil/spieler/3836
1.FC Nuremberg,Manfred Schwabl,27,Germany,Defensive Midfield,DM,-,Bayern Munich,Germany,£900Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/manfred-schwabl/profil/spieler/6571
1.FC Nuremberg,André Golke,28,Germany,Attacking Midfield,AM,-,VfB Stuttgart,Germany,£675Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/andre-golke/profil/spieler/17953
1.FC Nuremberg,Hans-Jörg Criens,32,Germany,Centre-Forward,CF,-,Borussia Mönchengladbach,Germany,£270Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/hans-jorg-criens/profil/spieler/17941
1.FC Nuremberg,Jürgen Kramny,21,Germany,Right Midfield,RM,-,VfB Stuttgart,Germany,£270Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/jurgen-kramny/profil/spieler/949
1.FC Nuremberg,Alain Sutter,25,Switzerland,Left Midfield,LM,-,Grasshopper Club Zurich,Switzerland,Loan fee:£158Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/alain-sutter/profil/spieler/17169
1.FC Nuremberg,Oliver Straube,21,Germany,Left Midfield,LM,-,TSF Ditzingen,Germany,£27Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/oliver-straube/profil/spieler/485
1.FC Nuremberg,Michael Wiesinger,20,Germany,Right Midfield,RM,-,FC Starnberg,Germany,£27Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/michael-wiesinger/profil/spieler/225
1.FC Nuremberg,Thomas Kristl,30,Germany,Midfielder,Midfielder,-,1.FC Saarbrücken,Germany,?,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/thomas-kristl/profil/spieler/17963
1.FC Nuremberg,Markus Brand,18,Germany,Defender,Defender,-,1.FC Nürnberg U19,Germany,-,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/markus-brand/profil/spieler/17937
1.FC Nuremberg,Sergio Zárate,24,Argentina,Centre-Forward,CF,-,Ancona Calcio,Italy,"End of loanJun 30, 1993",In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/sergio-zarate/profil/spieler/17984
1.FC Nuremberg,Uwe Weidemann,30,Germany,Attacking Midfield,AM,-,SV Waldhof Mannheim,Germany,"End of loanJun 30, 1993",In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/uwe-weidemann/profil/spieler/1535
Bayer 04 Leverkusen,Paulo Sérgio,24,Brazil,Left Winger,LW,-,Sport Club Corinthians Paulista,Brazil,£1.04m,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/paulo-sergio/profil/spieler/218
Bayer 04 Leverkusen,Jens Melzig,27,Germany,Centre-Back,CB,-,SG Dynamo Dresden,Germany,£788Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/jens-melzig/profil/spieler/84683
Bayer 04 Leverkusen,Bernard Schuiteman,19,Netherlands,Centre-Back,CB,-,Twente Enschede FC,Netherlands,£113Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/bernard-schuiteman/profil/spieler/1061
Bayer 04 Leverkusen,Bernd Schuster,33,Germany,Attacking Midfield,AM,-,Atlético Madrid,Spain,Free transfer,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/bernd-schuster/profil/spieler/8025
Bayer 04 Leverkusen,Ralf Becker,22,Germany,Attacking Midfield,AM,-,TSF Ditzingen,Germany,Free transfer,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/ralf-becker/profil/spieler/1026
Bayer 04 Leverkusen,Taifour Diane,20,Guinea,Centre-Forward,CF,-,Colorado Foxes,United States,Free transfer,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/taifour-diane/profil/spieler/943
Bayer 04 Leverkusen,Jörg Nowotny,24,Germany,Centre-Forward,CF,-,Hallescher FC,Germany,Free transfer,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/jorg-nowotny/profil/spieler/10080
Bayer 04 Leverkusen,Daniel Addo,16,Ghana,Midfielder,Midfielder,-,Accra Great Olympics,Ghana,?,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/daniel-addo/profil/spieler/3254
Borussia Dortmund,Karl-Heinz Riedle,27,Germany,Centre-Forward,CF,-,SS Lazio,Italy,£4.05m,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/karl-heinz-riedle/profil/spieler/13806
Borussia Dortmund,Steffen Freund,23,Germany,Defensive Midfield,DM,-,FC Schalke 04,Germany,£1.35m,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/steffen-freund/profil/spieler/3990
Borussia Dortmund,Dr. Philipp Laux,20,Germany,Goalkeeper,GK,-,VfB Gaggenau,Germany,£36Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/dr-philipp-laux/profil/spieler/121
Borussia Dortmund,Lars Ricken,16,Germany,Attacking Midfield,AM,-,Borussia Dortmund U19,Germany,-,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/lars-ricken/profil/spieler/131
Borussia Mönchengladbach,Heiko Herrlich,21,Germany,Centre-Forward,CF,-,Bayer 04 Leverkusen,Germany,£720Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/heiko-herrlich/profil/spieler/114
Borussia Mönchengladbach,Dietmar Hirsch,21,Germany,Defensive Midfield,DM,-,1.FC Viersen,Germany,Free transfer,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/dietmar-hirsch/profil/spieler/369
Borussia Mönchengladbach,Jörg Kässmann,24,Germany,Goalkeeper,GK,-,Eintracht Haiger,Germany,?,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/jorg-kassmann/profil/spieler/19622
Borussia Mönchengladbach,Marc Beckers,19,Germany,Midfielder,Midfielder,-,Borussia Mönchengladbach II,Germany,-,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/marc-beckers/profil/spieler/21651
Borussia Mönchengladbach,Andreas Bluhm,19,Germany,Defender,Defender,-,Borussia Mönchengladbach U19,Germany,-,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/andreas-bluhm/profil/spieler/97247
Eintracht Frankfurt,Maurizio Gaudino,26,Germany,Central Midfield,CM,-,VfB Stuttgart,Germany,£1.35m,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/maurizio-gaudino/profil/spieler/9320
Eintracht Frankfurt,Jan Furtok,31,Poland,Centre-Forward,CF,-,Hamburger SV,Germany,£990Th.,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/jan-furtok/profil/spieler/87899
Eintracht Frankfurt,Mirko Dickhaut,22,Germany,Defensive Midfield,DM,-,KSV Hessen Kassel,Germany,Free transfer,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/mirko-dickhaut/profil/spieler/622
Eintracht Frankfurt,Michael Osei,21,Ghana,Sweeper,SW,-,SK Vorwärts Steyr,Austria,?,In,1993,s,1-bundesliga,https://www.transfermarkt.co.uk/michael-osei/profil/spieler/101071
