Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
FC Internazionale,Andy van der Meyde,23,Netherlands,Right Winger,RW,-,Ajax Amsterdam,Netherlands,£10.80m,In,2003,s,serie-a,https://www.transfermarkt.co.uk/andy-van-der-meyde/profil/spieler/3772
FC Internazionale,Julio Cruz,28,Argentina,Centre-Forward,CF,-,Bologna FC 1909,Italy,£8.55m,In,2003,s,serie-a,https://www.transfermarkt.co.uk/julio-cruz/profil/spieler/6006
FC Internazionale,Jérémie Bréchet,24,France,Centre-Back,CB,-,Olympique Lyon,France,£2.70m,In,2003,s,serie-a,https://www.transfermarkt.co.uk/jeremie-brechet/profil/spieler/5339
FC Internazionale,Mauricio Pinilla,19,Chile,Centre-Forward,CF,-,Club Universidad de Chile,Chile,£2.52m,In,2003,s,serie-a,https://www.transfermarkt.co.uk/mauricio-pinilla/profil/spieler/6160
FC Internazionale,Ianis Zicu,19,Romania,Attacking Midfield,AM,-,FC Dinamo Bucharest,Romania,£2.25m,In,2003,s,serie-a,https://www.transfermarkt.co.uk/ianis-zicu/profil/spieler/16909
FC Internazionale,Kily González,28,Argentina,Left Midfield,LM,-,Valencia CF,Spain,£2.25m,In,2003,s,serie-a,https://www.transfermarkt.co.uk/kily-gonzalez/profil/spieler/7438
FC Internazionale,Khalilou Fadiga,28,Senegal,Left Winger,LW,-,AJ Auxerre,France,£270Th.,In,2003,s,serie-a,https://www.transfermarkt.co.uk/khalilou-fadiga/profil/spieler/3887
FC Internazionale,Georgios Karagounis,26,Greece,Central Midfield,CM,-,Panathinaikos Athens,Greece,Free transfer,In,2003,s,serie-a,https://www.transfermarkt.co.uk/georgios-karagounis/profil/spieler/6106
FC Internazionale,Thomas Helveg,32,Denmark,Right-Back,RB,-,Milan AC,Italy,?,In,2003,s,serie-a,https://www.transfermarkt.co.uk/thomas-helveg/profil/spieler/5802
FC Internazionale,Matteo Giordano,18,Italy,Centre-Back,CB,-,Milan Primavera,Italy,?,In,2003,s,serie-a,https://www.transfermarkt.co.uk/matteo-giordano/profil/spieler/33330
FC Internazionale,Sabri Lamouchi,31,France,Central Midfield,CM,-,AC Parma,Italy,?,In,2003,s,serie-a,https://www.transfermarkt.co.uk/sabri-lamouchi/profil/spieler/5872
FC Internazionale,Luciano,27,Brazil,Right Midfield,RM,-,Chievo Verona,Italy,Loan,In,2003,s,serie-a,https://www.transfermarkt.co.uk/luciano/profil/spieler/6233
FC Internazionale,Alessandro Potenza,19,Italy,Centre-Back,CB,-,Inter Milan Primavera,Italy,-,In,2003,s,serie-a,https://www.transfermarkt.co.uk/alessandro-potenza/profil/spieler/16828
FC Internazionale,Mathieu Moreau,20,France,Goalkeeper,GK,-,Inter Milan Primavera,Italy,-,In,2003,s,serie-a,https://www.transfermarkt.co.uk/mathieu-moreau/profil/spieler/5771
FC Internazionale,Mario Rebecchi,19,Italy,Central Midfield,CM,-,Inter Milan Primavera,Italy,-,In,2003,s,serie-a,https://www.transfermarkt.co.uk/mario-rebecchi/profil/spieler/7331
FC Internazionale,Nicola Beati,20,Italy,Defensive Midfield,DM,-,Inter Milan Primavera,Italy,-,In,2003,s,serie-a,https://www.transfermarkt.co.uk/nicola-beati/profil/spieler/5790
FC Internazionale,Dimitar Makriev,19,Bulgaria,Centre-Forward,CF,-,Inter Milan Primavera,Italy,-,In,2003,s,serie-a,https://www.transfermarkt.co.uk/dimitar-makriev/profil/spieler/22815
FC Internazionale,Fabrizio Biava,19,Italy,Midfielder,Midfielder,-,Inter Milan Primavera,Italy,-,In,2003,s,serie-a,https://www.transfermarkt.co.uk/fabrizio-biava/profil/spieler/16632
Juventus FC,Stephen Appiah,22,Ghana,Defensive Midfield,DM,-,Brescia Calcio,Italy,£7.20m,In,2003,s,serie-a,https://www.transfermarkt.co.uk/stephen-appiah/profil/spieler/5975
Juventus FC,Nicola Legrottaglie,26,Italy,Centre-Back,CB,-,Chievo Verona,Italy,£6.80m,In,2003,s,serie-a,https://www.transfermarkt.co.uk/nicola-legrottaglie/profil/spieler/5925
Juventus FC,Roberto Merenda,19,Italy,Centre-Back,CB,-,AC Venezia 1907,Italy,?,In,2003,s,serie-a,https://www.transfermarkt.co.uk/roberto-merenda/profil/spieler/463185
