Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
FC Girondins Bordeaux,Zinédine Zidane,20,France,Attacking Midfield,AM,-,AS Cannes,France,£6.30m,In,1992,s,ligue-1
FC Girondins Bordeaux,Márcio Santos,22,Brazil,Centre-Back,CB,-,Botafogo Rio de Janeiro,Brazil,?,In,1992,s,ligue-1
FC Girondins Bordeaux,Christophe Vecchioni,23,France,Defender,Defender,-,US Marseille Endoume,France,?,In,1992,s,ligue-1
FC Girondins Bordeaux,Philippe Lucas,28,France,Defensive Midfield,DM,-,FC Sochaux-Montbéliard,France,?,In,1992,s,ligue-1
FC Girondins Bordeaux,Michel Flos,27,France,Midfielder,Midfielder,-,US Marseille Endoume,France,?,In,1992,s,ligue-1
FC Girondins Bordeaux,Valdeir,24,Brazil,Second Striker,SS,-,Botafogo Rio de Janeiro,Brazil,?,In,1992,s,ligue-1
FC Girondins Bordeaux,Laurent Croci,27,France,Defensive Midfield,DM,-,FC Sochaux-Montbéliard,France,?,In,1992,s,ligue-1
FC Girondins Bordeaux,Jean-Francois Daniel,28,France,Central Midfield,CM,-,AS Cannes,France,?,In,1992,s,ligue-1
FC Girondins Bordeaux,Eric Guérit,27,France,Defensive Midfield,DM,-,AS Cannes,France,?,In,1992,s,ligue-1
AS Monaco,Jürgen Klinsmann,27,Germany,Centre-Forward,CF,-,FC Internazionale,Italy,£6.30m,In,1992,s,ligue-1
AS Monaco,Sylvain Legwinski,19,France,Left Midfield,LM,-,Racing Club Vichy,France,Free transfer,In,1992,s,ligue-1
AS Monaco,Franck Dumas,24,France,Centre-Back,CB,-,SM Caen,France,?,In,1992,s,ligue-1
AS Monaco,Denis Schaer,29,France,Midfielder,Midfielder,-,Annecy FC,France,?,In,1992,s,ligue-1
AS Monaco,Christian Perez,29,France,Attacking Midfield,AM,-,Paris Saint-Germain,France,?,In,1992,s,ligue-1
AS Monaco,Luiz Henrique,23,Brazil,Central Midfield,CM,-,Sociedade Esportiva Palmeiras,Brazil,?,In,1992,s,ligue-1
AS Monaco,Stjepan Andrijasevic,25,Croatia,Right Midfield,RM,-,HNK Hajduk Split,Croatia,?,In,1992,s,ligue-1
Olympique Marseille,Rudi Völler,32,Germany,Centre-Forward,CF,-,AS Roma,Italy,?,In,1992,s,ligue-1
Olympique Marseille,François Omam-Biyik,26,Cameroon,Centre-Forward,CF,-,AS Cannes,France,?,In,1992,s,ligue-1
Olympique Marseille,Jean-Jacques Eydelie,26,France,Defensive Midfield,DM,-,FC Nantes,France,?,In,1992,s,ligue-1
Olympique Marseille,Marcel Desailly,23,France,Centre-Back,CB,-,FC Nantes,France,?,In,1992,s,ligue-1
Olympique Marseille,Jean-Christophe Thomas,27,France,Defensive Midfield,DM,-,FC Sochaux-Montbéliard,France,?,In,1992,s,ligue-1
Olympique Marseille,Fabien Barthez,21,France,Goalkeeper,GK,-,FC Toulouse,France,?,In,1992,s,ligue-1
Olympique Marseille,Rafael Martin Vazquez,26,Spain,Attacking Midfield,AM,-,Torino Calcio,Italy,?,In,1992,s,ligue-1
Olympique Marseille,Jean-Marc Ferreri,29,France,Attacking Midfield,AM,-,AJ Auxerre,France,?,In,1992,s,ligue-1
Olympique Marseille,Alen Boksic,22,Croatia,Centre-Forward,CF,-,AS Cannes,France,"End of loanJun 30, 1992",In,1992,s,ligue-1
Olympique Marseille,Dragan Stojkovic,27,Serbia,Attacking Midfield,AM,-,Verona FC,Italy,"End of loanJun 30, 1992",In,1992,s,ligue-1
AJ Auxerre,Moussa Saïb,23,Algeria,Left Midfield,LM,-,JS Kabylie,Algeria,£34Th.,In,1992,s,ligue-1
AJ Auxerre,Frank Verlaat,24,Netherlands,Centre-Back,CB,-,FC Lausanne-Sport,Switzerland,?,In,1992,s,ligue-1
AJ Auxerre,Thierry Bonalair,26,France,Left-Back,LB,-,FC Nantes,France,?,In,1992,s,ligue-1
AJ Auxerre,Lilian Laslandes,20,France,Centre-Forward,CF,-,Association sportive Saint-Seurin,France,?,In,1992,s,ligue-1
AJ Auxerre,Jacques-Désiré Périatambée,16,Mauritius,Defensive Midfield,DM,-,AJ Auxerre U19,France,-,In,1992,s,ligue-1
AJ Auxerre,Franck Rabarivony,21,Madagascar,Left-Back,LB,-,AJ Auxerre B,France,-,In,1992,s,ligue-1
AJ Auxerre,Laurent Ciechelski,21,France,Right-Back,RB,-,AJ Auxerre U19,France,-,In,1992,s,ligue-1
AJ Auxerre,Bernard Diomède,18,France,Left Winger,LW,-,AJ Auxerre U19,France,-,In,1992,s,ligue-1
AJ Auxerre,Fabien Cool,19,France,Goalkeeper,GK,-,AJ Auxerre B,France,-,In,1992,s,ligue-1
FC Metz,Anthony Baffoe,27,Ghana,Attacking Midfield,AM,-,Fortuna Düsseldorf,Germany,Free transfer,In,1992,s,ligue-1
FC Metz,Robert Pirès,18,France,Left Midfield,LM,-,Stade Reims B,France,Free transfer,In,1992,s,ligue-1
FC Metz,David Zitelli,23,France,Centre-Forward,CF,-,AS Nancy-Lorraine,France,?,In,1992,s,ligue-1
FC Metz,Olivier Ichoua,21,France,Midfielder,Midfielder,-,La Roche Vendée Football,France,?,In,1992,s,ligue-1
FC Metz,Éric Bertrand,28,France,Defender,Defender,-,AS Nancy-Lorraine,France,?,In,1992,s,ligue-1
FC Metz,Mohamed Chaouch,25,Morocco,Centre-Forward,CF,-,FC Istres Ville Nouvelle ,France,?,In,1992,s,ligue-1
FC Metz,Franck Meyrignac,21,France,Defender,Defender,-,US Orléans 45,France,?,In,1992,s,ligue-1
FC Metz,François Darcy,24,France,Goalkeeper,GK,-,Besançon Racing Club ,France,?,In,1992,s,ligue-1
FC Metz,Jean-Phillippe Séchet,24,France,Central Midfield,CM,-,AS Nancy-Lorraine,France,?,In,1992,s,ligue-1
FC Metz,Frédéric Hantz,26,France,Midfielder,Midfielder,-,FC Istres Ville Nouvelle ,France,?,In,1992,s,ligue-1
FC Metz,David Terrier,18,France,Defender,Defender,-,FC Metz B,France,-,In,1992,s,ligue-1
FC Metz,Christophe Paul,20,France,Defender,Defender,-,FC Metz B,France,-,In,1992,s,ligue-1
FC Metz,Didier Lang,21,France,Defensive Midfield,DM,-,FC Metz B,France,-,In,1992,s,ligue-1
FC Metz,Christophe Boulard,19,France,Midfielder,Midfielder,-,FC Metz B,France,-,In,1992,s,ligue-1
FC Metz,Dario Saint-Hilaire,20,France,Defender,Defender,-,FC Metz B,France,-,In,1992,s,ligue-1
FC Toulouse,Dominique Arribagé,21,France,Centre-Back,CB,-,AS Muret,France,?,In,1992,s,ligue-1
FC Toulouse,Éric Lada,26,France,Forward,Forward,-,Olympique Marseille,France,?,In,1992,s,ligue-1
FC Toulouse,Vaclav Nemecek,25,Czech Republic,Central Midfield,CM,-,AC Sparta Praha,Czech Republic,?,In,1992,s,ligue-1
FC Toulouse,Serge Romano,28,France,Midfielder,Midfielder,-,FC Metz,France,?,In,1992,s,ligue-1
FC Toulouse,Philippe Lafon,21,France,Goalkeeper,GK,-,Racing 92,France,?,In,1992,s,ligue-1
FC Toulouse,Rémy Loret,19,France,Midfielder,Midfielder,-,,Unknown,?,In,1992,s,ligue-1
FC Toulouse,Alain Casanova,30,France,Goalkeeper,GK,-,Olympique Marseille,France,?,In,1992,s,ligue-1
FC Toulouse,Olivier Frapolli,20,France,Defender,Defender,-,FC Toulouse B,France,-,In,1992,s,ligue-1
FC Toulouse,Vincent Candela,18,France,Left-Back,LB,-,FC Toulouse B,France,-,In,1992,s,ligue-1
FC Toulouse,Olivier Pédémas,23,France,Goalkeeper,GK,-,Rodez AF,France,"End of loanJun 30, 1992",In,1992,s,ligue-1
Sporting Club de Toulon et du Var,Éric Roy,24,France,Defensive Midfield,DM,-,OGC Nice,France,Free transfer,In,1992,s,ligue-1
Sporting Club de Toulon et du Var,Frédéric Martin,23,France,Right-Back,RB,-,OGC Nice,France,Loan,In,1992,s,ligue-1
Sporting Club de Toulon et du Var,Patrice Eyraud,24,France,Defensive Midfield,DM,-,Olympique Marseille,France,?,In,1992,s,ligue-1
Sporting Club de Toulon et du Var,Pascal Danieri,16,France,Defender,Defender,-,,Unknown,?,In,1992,s,ligue-1
Sporting Club de Toulon et du Var,Daniel Xuereb,32,France,Centre-Forward,CF,-,Olympique Marseille,France,?,In,1992,s,ligue-1
Sporting Club de Toulon et du Var,Cédric Charlet,19,France,Defender,Defender,-,,Unknown,?,In,1992,s,ligue-1
Sporting Club de Toulon et du Var,Frédéric Brando,18,France,Central Midfield,CM,-,Sporting Club de Toulon U19,France,-,In,1992,s,ligue-1
Paris Saint-Germain,George Weah,25,Liberia,Centre-Forward,CF,-,AS Monaco,France,£5.85m,In,1992,s,ligue-1
Paris Saint-Germain,Bernard Lama,29,France,Goalkeeper,GK,-,RC Lens,France,?,In,1992,s,ligue-1
Paris Saint-Germain,Vincent Guérin,26,France,Central Midfield,CM,-,HSC Montpellier,France,?,In,1992,s,ligue-1
Paris Saint-Germain,Francois Calderaro,28,France,Centre-Forward,CF,-,FC Metz,France,?,In,1992,s,ligue-1
Paris Saint-Germain,Jean-Luc Sassus,29,France,Right-Back,RB,-,AS Cannes,France,?,In,1992,s,ligue-1
Paris Saint-Germain,Alain Roche,24,France,Centre-Back,CB,-,AJ Auxerre,France,?,In,1992,s,ligue-1
Paris Saint-Germain,David Ginola,25,France,Left Winger,LW,-,Stade Brest 29,France,?,In,1992,s,ligue-1
Paris Saint-Germain,Joël Cloarec,26,France,Forward,Forward,-,LB Châteauroux,France,?,In,1992,s,ligue-1
Paris Saint-Germain,Djamel Belmadi,16,Algeria,Right Midfield,RM,-,Paris Saint-Germain U19,France,-,In,1992,s,ligue-1
AS Saint-Étienne,Miklos Molnar,22,Denmark,Centre-Forward,CF,-,Servette FC,Switzerland,?,In,1992,s,ligue-1
AS Saint-Étienne,Robin Huc,27,France,Goalkeeper,GK,-,FC Toulouse,France,?,In,1992,s,ligue-1
AS Saint-Étienne,Stéphane Santini,19,France,Right Midfield,RM,-,,Unknown,?,In,1992,s,ligue-1
AS Saint-Étienne,Gérald Passi,28,France,Attacking Midfield,AM,-,AS Monaco,France,?,In,1992,s,ligue-1
AS Saint-Étienne,Pascal Despeyroux,27,France,Defensive Midfield,DM,-,FC Toulouse,France,?,In,1992,s,ligue-1
RC Strasbourg Alsace,Michael Hughes,20,Northern Ireland,Attacking Midfield,AM,-,Manchester City,England,£450Th.,In,1992,s,ligue-1
RC Strasbourg Alsace,Tomasz Frankowski,17,Poland,Centre-Forward,CF,-,Jagiellonia Bialystok,Poland,£180Th.,In,1992,s,ligue-1
RC Strasbourg Alsace,Martin Djetou,17,France,Centre-Back,CB,-,US Créteil-Lusitanos B,France,Free transfer,In,1992,s,ligue-1
RC Strasbourg Alsace,Pascal Baills,27,France,Right-Back,RB,-,Olympique Marseille,France,?,In,1992,s,ligue-1
