Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
1.FC Saarbrücken,Thomas Stratos,25,Greece,Defensive Midfield,DM,-,Hamburger SV,Germany,£135Th.,In,1992,s,1-bundesliga,https://www.transfermarkt.co.uk/thomas-stratos/profil/spieler/991
1.FC Saarbrücken,Matthias Lust,22,Germany,Left Midfield,LM,-,SV Waldhof Mannheim,Germany,Free transfer,In,1992,s,1-bundesliga,https://www.transfermarkt.co.uk/matthias-lust/profil/spieler/628
1.FC Saarbrücken,Michael Hennig,20,Germany,Midfielder,Midfielder,-,FC Berlin,Germany,Free transfer,In,1992,s,1-bundesliga,https://www.transfermarkt.co.uk/michael-hennig/profil/spieler/177826
1.FC Saarbrücken,Henning Bürger,22,Germany,Left Midfield,LM,-,FC Schalke 04,Germany,Free transfer,In,1992,s,1-bundesliga,https://www.transfermarkt.co.uk/henning-burger/profil/spieler/749
1.FC Saarbrücken,Stephan Beckenbauer,23,Germany,Defensive Midfield,DM,-,FC Grenchen 15,Switzerland,?,In,1992,s,1-bundesliga,https://www.transfermarkt.co.uk/stephan-beckenbauer/profil/spieler/6701
1.FC Saarbrücken,Thomas Stickroth,27,Germany,Right-Back,RB,-,St. Mirren FC,Scotland,?,In,1992,s,1-bundesliga,https://www.transfermarkt.co.uk/thomas-stickroth/profil/spieler/639
1.FC Saarbrücken,Wolfram Wuttke,30,Germany,Second Striker,SS,-,RCD Espanyol Barcelona,Spain,?,In,1992,s,1-bundesliga,https://www.transfermarkt.co.uk/wolfram-wuttke/profil/spieler/85581
1.FC Saarbrücken,Malik Badji,24,Germany,Defender,Defender,-,CS Sedan-Ardennes,France,?,In,1992,s,1-bundesliga,https://www.transfermarkt.co.uk/malik-badji/profil/spieler/184864
1.FC Saarbrücken,Yuri Savichev,27,Russia,Centre-Forward,CF,-,Olympiacos Piraeus,Greece,?,In,1992,s,1-bundesliga,https://www.transfermarkt.co.uk/yuri-savichev/profil/spieler/84670
1.FC Saarbrücken,Ralf Scherer,28,Germany,Defender,Defender,-,SV Saar 05 Saarbrücken,Germany,?,In,1992,s,1-bundesliga,https://www.transfermarkt.co.uk/ralf-scherer/profil/spieler/139181
