Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Athletic Bilbao,Yuri Berchiche,28,Spain,Left-Back,LB,£15.30m,Paris Saint-Germain,France,£21.60m,In,2018,s,laliga,https://www.transfermarkt.co.uk/yuri-berchiche/profil/spieler/61812
Athletic Bilbao,Ander Capa,26,Spain,Right-Back,RB,£2.70m,SD Eibar,Spain,£2.70m,In,2018,s,laliga,https://www.transfermarkt.co.uk/ander-capa/profil/spieler/197545
Athletic Bilbao,Cristian Ganea,26,Romania,Left-Back,LB,£1.62m,FC Viitorul ,Romania,£900Th.,In,2018,s,laliga,https://www.transfermarkt.co.uk/cristian-ganea/profil/spieler/262117
Athletic Bilbao,Dani García,28,Spain,Central Midfield,CM,£3.60m,SD Eibar,Spain,Free transfer,In,2018,s,laliga,https://www.transfermarkt.co.uk/dani-garcia/profil/spieler/178425
Athletic Bilbao,Unai Simón,21,Spain,Goalkeeper,GK,£450Th.,Bilbao Athletic,Spain,-,In,2018,s,laliga,https://www.transfermarkt.co.uk/unai-simon/profil/spieler/262396
Athletic Bilbao,Andoni López,22,Spain,Left-Back,LB,£540Th.,Bilbao Athletic,Spain,-,In,2018,s,laliga,https://www.transfermarkt.co.uk/andoni-lopez/profil/spieler/340206
Athletic Bilbao,Urtzi Iriondo,23,Spain,Left-Back,LB,£270Th.,Granada CF,Spain,"End of loanJun 30, 2018",In,2018,s,laliga,https://www.transfermarkt.co.uk/urtzi-iriondo/profil/spieler/255499
Athletic Bilbao,Unai López,22,Spain,Central Midfield,CM,£1.80m,Rayo Vallecano,Spain,"End of loanJun 30, 2018",In,2018,s,laliga,https://www.transfermarkt.co.uk/unai-lopez/profil/spieler/192009
Athletic Bilbao,Álex Remiro,23,Spain,Goalkeeper,GK,£1.35m,SD Huesca,Spain,"End of loanJun 30, 2018",In,2018,s,laliga,https://www.transfermarkt.co.uk/alex-remiro/profil/spieler/212862
Atlético Madrid,Thomas Lemar,22,France,Left Winger,LW,£58.50m,AS Monaco,France,£63.00m,In,2018,s,laliga,https://www.transfermarkt.co.uk/thomas-lemar/profil/spieler/205562
