Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
FC Girondins Bordeaux,Cyril Domoraud,24,Cote d'Ivoire,Centre-Back,CB,-,AS Red Star 93,France,£900Th.,In,1996,s,ligue-1
FC Girondins Bordeaux,Ibrahim Bá,22,France,Right Midfield,RM,-,AC Le Havre,France,Free transfer,In,1996,s,ligue-1
FC Girondins Bordeaux,Gilbert Bodart,33,Belgium,Goalkeeper,GK,-,Standard Liège,Belgium,Free transfer,In,1996,s,ligue-1
FC Girondins Bordeaux,Johan Micoud,22,France,Attacking Midfield,AM,-,AS Cannes,France,?,In,1996,s,ligue-1
FC Girondins Bordeaux,Anthony Bancarel,26,France,Centre-Forward,CF,-,SM Caen,France,?,In,1996,s,ligue-1
FC Girondins Bordeaux,Claudio Biaggio,28,Argentina,Centre-Forward,CF,-,Club Atlético San Lorenzo de Almagro,Argentina,?,In,1996,s,ligue-1
FC Girondins Bordeaux,Jean-Pierre Papin,32,France,Centre-Forward,CF,-,Bayern Munich,Germany,?,In,1996,s,ligue-1
FC Girondins Bordeaux,Bernard Lambourde,25,France,Centre-Back,CB,-,AS Cannes,France,?,In,1996,s,ligue-1
FC Girondins Bordeaux,Miklós Lendvai,21,Hungary,Defensive Midfield,DM,-,Zalaegerszegi TE FC,Hungary,?,In,1996,s,ligue-1
FC Girondins Bordeaux,Marc Zanotti,20,France,Left Midfield,LM,-,Sporting Club de Toulon 83,France,?,In,1996,s,ligue-1
FC Girondins Bordeaux,Stéphane Ziani,24,France,Attacking Midfield,AM,-,Stade Rennais FC,France,?,In,1996,s,ligue-1
FC Girondins Bordeaux,Patrick Colleter,30,France,Left-Back,LB,-,Paris Saint-Germain,France,?,In,1996,s,ligue-1
FC Girondins Bordeaux,Michel Pavon,27,France,Central Midfield,CM,-,HSC Montpellier,France,?,In,1996,s,ligue-1
FC Girondins Bordeaux,Paulo Sérgio Gralak,26,Brazil,Centre-Back,CB,-,Coritiba Foot Ball Club,Brazil,?,In,1996,s,ligue-1
FC Girondins Bordeaux,Sylvain N'Diaye,20,Senegal,Defensive Midfield,DM,-,FC Girondins Bordeaux B,France,-,In,1996,s,ligue-1
FC Girondins Bordeaux,Jérémy Stinat,17,France,Right-Back,RB,-,FC Girondins Bordeaux B,France,-,In,1996,s,ligue-1
AS Monaco,Marco Grassi,27,Switzerland,Centre-Forward,CF,-,Stade Rennais FC,France,£5.40m,In,1996,s,ligue-1
AS Monaco,Martin Djetou,21,France,Centre-Back,CB,-,RC Strasbourg Alsace,France,Free transfer,In,1996,s,ligue-1
AS Monaco,John Collins,28,Scotland,Left Midfield,LM,-,Celtic FC,Scotland,Free transfer,In,1996,s,ligue-1
AS Monaco,Philippe Léonard,22,Belgium,Left-Back,LB,-,Standard Liège,Belgium,?,In,1996,s,ligue-1
AS Monaco,Lilian Martin,25,France,Right-Back,RB,-,USL Dunkerque,France,?,In,1996,s,ligue-1
AS Monaco,Salif Diao,19,Senegal,Defensive Midfield,DM,-,AS Monaco B,Monaco,-,In,1996,s,ligue-1
Olympique Marseille,Reynald Pedros,24,France,Left Midfield,LM,-,FC Nantes,France,£1.80m,In,1996,s,ligue-1
Olympique Marseille,Yordan Letchkov,28,Bulgaria,Central Midfield,CM,-,Hamburger SV,Germany,£900Th.,In,1996,s,ligue-1
Olympique Marseille,Andreas Köpke,34,Germany,Goalkeeper,GK,-,Eintracht Frankfurt,Germany,£270Th.,In,1996,s,ligue-1
Olympique Marseille,Victor Agali,17,Nigeria,Centre-Forward,CF,-,FC NITEL Lagos,Nigeria,£135Th.,In,1996,s,ligue-1
Olympique Marseille,Éric Roy,28,France,Defensive Midfield,DM,-,Olympique Lyon,France,Free transfer,In,1996,s,ligue-1
Olympique Marseille,Chris Makin,23,England,Left-Back,LB,-,Oldham Athletic,England,Free transfer,In,1996,s,ligue-1
