Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Atlético Madrid,Juan Esnáider,23,Argentina,Centre-Forward,CF,-,Real Madrid,Spain,£2.16m,In,1996,s,laliga,https://www.transfermarkt.co.uk/juan-esnaider/profil/spieler/3856
Atlético Madrid,Radek Bejbl,23,Czech Republic,Defensive Midfield,DM,-,SK Slavia Prague,Czech Republic,£810Th.,In,1996,s,laliga,https://www.transfermarkt.co.uk/radek-bejbl/profil/spieler/3421
Atlético Madrid,Daniel Prodan,24,Romania,Centre-Back,CB,-,Steaua Bukarest,Romania,£315Th.,In,1996,s,laliga,https://www.transfermarkt.co.uk/daniel-prodan/profil/spieler/102025
Atlético Madrid,Pablo Alfaro,27,Spain,Centre-Back,CB,-,Racing Santander,Spain,Free transfer,In,1996,s,laliga,https://www.transfermarkt.co.uk/pablo-alfaro/profil/spieler/7700
Atlético Madrid,Santiago Ezquerro,19,Spain,Centre-Forward,CF,-,CA Osasuna,Spain,?,In,1996,s,laliga,https://www.transfermarkt.co.uk/santiago-ezquerro/profil/spieler/7639
Atlético Madrid,Veljko Paunovic,18,Serbia,Centre-Forward,CF,-,Marbella FC,Spain,?,In,1996,s,laliga,https://www.transfermarkt.co.uk/veljko-paunovic/profil/spieler/7364
Atlético Madrid,Djordje Tomic,23,Serbia,Central Midfield,CM,-,EA Guingamp,France,?,In,1996,s,laliga,https://www.transfermarkt.co.uk/djordje-tomic/profil/spieler/158077
Atlético Madrid,Juan Carlos Aguilera,27,Spain,Right-Back,RB,-,CD Tenerife,Spain,?,In,1996,s,laliga,https://www.transfermarkt.co.uk/juan-carlos-aguilera/profil/spieler/7370
Atlético Madrid,Yordi,21,Spain,Centre-Forward,CF,-,Sevilla FC,Spain,?,In,1996,s,laliga,https://www.transfermarkt.co.uk/yordi/profil/spieler/7979
Atlético Madrid,Ivo,18,Spain,Defender,Defender,-,,Unknown,?,In,1996,s,laliga,https://www.transfermarkt.co.uk/ivotm/profil/spieler/173137
FC Barcelona,Ronaldo,19,Brazil,Centre-Forward,CF,-,PSV Eindhoven,Netherlands,£13.50m,In,1996,s,laliga,https://www.transfermarkt.co.uk/ronaldo/profil/spieler/3140
FC Barcelona,Vítor Baía,26,Portugal,Goalkeeper,GK,-,FC Porto,Portugal,£5.85m,In,1996,s,laliga,https://www.transfermarkt.co.uk/vitor-baia/profil/spieler/8016
FC Barcelona,Giovanni,24,Brazil,Centre-Forward,CF,-,Santos FC,Brazil,£4.95m,In,1996,s,laliga,https://www.transfermarkt.co.uk/giovanni/profil/spieler/8014
FC Barcelona,Fernando Couto,26,Portugal,Centre-Back,CB,-,AC Parma,Italy,£4.95m,In,1996,s,laliga,https://www.transfermarkt.co.uk/fernando-couto/profil/spieler/5831
FC Barcelona,Laurent Blanc,30,France,Sweeper,SW,-,AJ Auxerre,France,£4.14m,In,1996,s,laliga,https://www.transfermarkt.co.uk/laurent-blanc/profil/spieler/3113
FC Barcelona,Hristo Stoichkov,30,Bulgaria,Left Winger,LW,-,AC Parma,Italy,£2.16m,In,1996,s,laliga,https://www.transfermarkt.co.uk/hristo-stoichkov/profil/spieler/7938
FC Barcelona,Luis Enrique,26,Spain,Right Midfield,RM,-,Real Madrid,Spain,Free transfer,In,1996,s,laliga,https://www.transfermarkt.co.uk/luis-enrique/profil/spieler/7601
FC Barcelona,Juan Antonio Pizzi,28,Spain,Centre-Forward,CF,-,CD Tenerife,Spain,Free transfer,In,1996,s,laliga,https://www.transfermarkt.co.uk/juan-antonio-pizzi/profil/spieler/8015
FC Barcelona,Goran Vucevic,25,Croatia,Central Midfield,CM,-,CP Mérida,Spain,"End of loanJun 30, 1996",In,1996,s,laliga,https://www.transfermarkt.co.uk/goran-vucevic/profil/spieler/130411
Real Zaragoza,Vladislav Radimov,20,Russia,Central Midfield,CM,-,CSKA Moscow,Russia,£2.25m,In,1996,s,laliga,https://www.transfermarkt.co.uk/vladislav-radimov/profil/spieler/15372
Real Zaragoza,Ander Garitano,27,Spain,Left Midfield,LM,-,Athletic Bilbao,Spain,£810Th.,In,1996,s,laliga,https://www.transfermarkt.co.uk/ander-garitano/profil/spieler/150649
