Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Manchester United,Antonio Valencia,23,Ecuador,Right-Back,RB,£9.90m,Wigan Athletic,England,£16.92m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/antonio-valencia/profil/spieler/33544
Manchester United,Mame Diouf,21,Senegal,Centre-Forward,CF,£1.80m,Molde FK,Norway,£4.05m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/mame-diouf/profil/spieler/62049
Manchester United,Gabriel Obertan,20,France,Attacking Midfield,AM,£2.70m,FC Girondins Bordeaux,France,£3.60m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/gabriel-obertan/profil/spieler/43261
Manchester United,Michael Owen,29,England,Centre-Forward,CF,£10.98m,Newcastle United,England,Free transfer,In,2009,s,premier-league,https://www.transfermarkt.co.uk/michael-owen/profil/spieler/1397
Manchester United,James Chester,20,Wales,Centre-Back,CB,£45Th.,Plymouth Argyle,England,"End of loanOct 1, 2009",In,2009,s,premier-league,https://www.transfermarkt.co.uk/james-chester/profil/spieler/73482
Manchester United,Danny Drinkwater,20,England,Central Midfield,CM,£135Th.,Huddersfield Town,England,"End of loanMay 31, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/danny-drinkwater/profil/spieler/73491
Manchester United,Sam Hewson,21,England,Central Midfield,CM,-,Bury FC,England,"End of loanMay 1, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/sam-hewson/profil/spieler/73514
Manchester United,Scott Moffatt,18,England,Centre-Back,CB,-,Altrincham FC,England,"End of loanOct 1, 2009",In,2009,s,premier-league,https://www.transfermarkt.co.uk/scott-moffatt/profil/spieler/73538
Manchester United,Tom Cleverley,20,England,Central Midfield,CM,£675Th.,Watford FC,England,"End of loanMay 31, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/tom-cleverley/profil/spieler/73484
Manchester United,Scott Moffatt,18,England,Centre-Back,CB,-,Manchester United U18,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/scott-moffatt/profil/spieler/73538
Manchester United,Tom Heaton,24,England,Goalkeeper,GK,£1.35m,Wycombe Wanderers,England,"End of loanMay 31, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/tom-heaton/profil/spieler/34130
Manchester United,Fraizer Campbell,21,England,Centre-Forward,CF,£2.52m,Tottenham Hotspur,England,"End of loanJun 12, 2009",In,2009,s,premier-league,https://www.transfermarkt.co.uk/fraizer-campbell/profil/spieler/42411
Liverpool FC,Glen Johnson,24,England,Right-Back,RB,£9.90m,Portsmouth FC,England,£18.45m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/glen-johnson/profil/spieler/3881
Liverpool FC,Alberto Aquilani,25,Italy,Central Midfield,CM,£13.50m,AS Roma,Italy,£18.00m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/alberto-aquilani/profil/spieler/5957
Liverpool FC,Sotiris Kyrgiakos,30,Greece,Centre-Back,CB,£5.85m,AEK Athens,Greece,£2.70m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/sotiris-kyrgiakos/profil/spieler/9706
Liverpool FC,David Martin,24,England,Goalkeeper,GK,£180Th.,Derby County,England,"End of loanApr 12, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/david-martin/profil/spieler/15930
Liverpool FC,Robbie Threlfall,21,England,Left-Back,LB,£90Th.,Bradford City,England,"End of loanMay 1, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/robbie-threlfall/profil/spieler/45606
Liverpool FC,Jay Spearing,21,England,Defensive Midfield,DM,£225Th.,Leicester City,England,"End of loanMay 31, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/jay-spearing/profil/spieler/52111
Liverpool FC,Péter Gulácsi,20,Hungary,Goalkeeper,GK,-,Tranmere Rovers,England,"End of loanMay 10, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/peter-gulacsi/profil/spieler/57071
Liverpool FC,Dani Pacheco,18,Spain,Left Winger,LW,£90Th.,Liverpool FC U18,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/dani-pacheco/profil/spieler/28285
Liverpool FC,Robbie Threlfall,20,England,Left-Back,LB,£90Th.,Northampton Town,England,"End of loanSep 1, 2009",In,2009,s,premier-league,https://www.transfermarkt.co.uk/robbie-threlfall/profil/spieler/45606
Liverpool FC,Nathan Eccleston,19,England,Centre-Forward,CF,£45Th.,Huddersfield Town,England,"End of loanMay 19, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/nathan-eccleston/profil/spieler/88983
Liverpool FC,Stephen Darby,21,England,Right-Back,RB,£225Th.,Swindon Town,England,"End of loanMay 31, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/stephen-darby/profil/spieler/29933
Liverpool FC,Lauri Dalla Valle,17,Finland,Centre-Forward,CF,-,Liverpool FC U18,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/lauri-dalla-valle/profil/spieler/91056
Liverpool FC,Miki Roqué,20,Spain,Centre-Back,CB,£180Th.,FC Cartagena,Spain,"End of loanJun 30, 2009",In,2009,s,premier-league,https://www.transfermarkt.co.uk/miki-roque/profil/spieler/33823
Liverpool FC,Jack Hobbs,20,England,Centre-Back,CB,£450Th.,Leicester City,England,"End of loanJun 30, 2009",In,2009,s,premier-league,https://www.transfermarkt.co.uk/jack-hobbs/profil/spieler/33895
Liverpool FC,Andriy Voronin,29,Ukraine,Second Striker,SS,£5.40m,Hertha BSC,Germany,"End of loanJun 30, 2009",In,2009,s,premier-league,https://www.transfermarkt.co.uk/andriy-voronin/profil/spieler/1075
Liverpool FC,Sebastián Leto,22,Argentina,Left Winger,LW,£2.70m,Olympiacos Piraeus,Greece,"End of loanJun 30, 2009",In,2009,s,premier-league,https://www.transfermarkt.co.uk/sebastian-leto/profil/spieler/39256
Chelsea FC,Yuri Zhirkov,25,Russia,Left-Back,LB,£18.00m,CSKA Moscow,Russia,£18.90m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/yuri-zhirkov/profil/spieler/16760
Chelsea FC,Daniel Sturridge,19,England,Centre-Forward,CF,£2.70m,Manchester City,England,£6.53m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/daniel-sturridge/profil/spieler/47082
Chelsea FC,Nemanja Matic,21,Serbia,Defensive Midfield,DM,£1.35m,MFK Košice,Slovakia,£1.58m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/nemanja-matic/profil/spieler/74683
Chelsea FC,Ross Turnbull,24,England,Goalkeeper,GK,£1.62m,Middlesbrough FC,England,Free transfer,In,2009,s,premier-league,https://www.transfermarkt.co.uk/ross-turnbull/profil/spieler/29159
Chelsea FC,Fabio Borini,18,Italy,Left Winger,LW,-,Chelsea FC U18,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/fabio-borini/profil/spieler/96754
Chelsea FC,Jack Cork,20,England,Defensive Midfield,DM,£675Th.,Burnley FC,England,"End of loanMay 1, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/jack-cork/profil/spieler/40613
Chelsea FC,Michael Mancienne,22,England,Centre-Back,CB,£1.80m,Wolverhampton Wanderers,England,"End of loanMay 31, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/michael-mancienne/profil/spieler/38100
Chelsea FC,Jeffrey Bruma,17,Netherlands,Centre-Back,CB,-,Chelsea FC U18,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/jeffrey-bruma/profil/spieler/88721
Chelsea FC,Scott Sinclair,21,England,Left Winger,LW,£1.35m,Wigan Athletic,England,"End of loanMay 31, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/scott-sinclair/profil/spieler/31552
Chelsea FC,Patrick van Aanholt,18,Netherlands,Left-Back,LB,-,Chelsea FC U18,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/patrick-van-aanholt/profil/spieler/52119
Chelsea FC,Franco Di Santo,21,Argentina,Centre-Forward,CF,£2.25m,Blackburn Rovers,England,"End of loanMay 31, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/franco-di-santo/profil/spieler/59783
Chelsea FC,Ryan Bertrand,20,England,Left-Back,LB,£675Th.,Reading FC,England,"End of loanMay 31, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/ryan-bertrand/profil/spieler/40611
Chelsea FC,Andriy Shevchenko,32,Ukraine,Centre-Forward,CF,£9.00m,AC Milan,Italy,"End of loanJun 30, 2009",In,2009,s,premier-league,https://www.transfermarkt.co.uk/andriy-shevchenko/profil/spieler/3522
Chelsea FC,Claudio Pizarro,30,Peru,Centre-Forward,CF,£10.80m,SV Werder Bremen,Germany,"End of loanJun 30, 2009",In,2009,s,premier-league,https://www.transfermarkt.co.uk/claudio-pizarro/profil/spieler/532
Chelsea FC,Ben Sahar,19,Israel,Centre-Forward,CF,£675Th.,De Graafschap Doetinchem,Netherlands,"End of loanJun 30, 2009",In,2009,s,premier-league,https://www.transfermarkt.co.uk/ben-sahar/profil/spieler/40436
Arsenal FC,Thomas Vermaelen,23,Belgium,Centre-Back,CB,£5.40m,Ajax Amsterdam,Netherlands,£10.80m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/thomas-vermaelen/profil/spieler/15904
Arsenal FC,Philippe Senderos,25,Switzerland,Centre-Back,CB,£2.70m,Everton FC,England,"End of loanMay 1, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/philippe-senderos/profil/spieler/4277
Arsenal FC,Jack Wilshere,18,England,Central Midfield,CM,£2.70m,Bolton Wanderers,England,"End of loanMay 30, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/jack-wilshere/profil/spieler/74223
Arsenal FC,Jay Emmanuel-Thomas,18,England,Centre-Forward,CF,-,Arsenal FC U18,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/jay-emmanuel-thomas/profil/spieler/27969
Arsenal FC,Henri Lansbury,19,England,Central Midfield,CM,£540Th.,Watford FC,England,"End of loanMay 30, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/henri-lansbury/profil/spieler/44794
Arsenal FC,Sanchez Watt,19,England,Left Winger,LW,£135Th.,Leeds United,England,"End of loanMay 31, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/sanchez-watt/profil/spieler/67430
Arsenal FC,Sanchez Watt,18,England,Left Winger,LW,-,Arsenal FC U18,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/sanchez-watt/profil/spieler/67430
Arsenal FC,Wojciech Szczesny,20,Poland,Goalkeeper,GK,£428Th.,Brentford FC,England,"End of loanMay 30, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/wojciech-szczesny/profil/spieler/44058
Arsenal FC,Kerrea Gilbert,23,England,Right-Back,RB,£270Th.,Peterborough United,England,"End of loanMay 1, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/kerrea-gilbert/profil/spieler/34562
Arsenal FC,Pedro Botelho,19,Brazil,Left-Back,LB,£450Th.,UD Salamanca,Spain,"End of loanJun 30, 2009",In,2009,s,premier-league,https://www.transfermarkt.co.uk/pedro-botelho/profil/spieler/26239
Arsenal FC,Gavin Hoyte,18,Trinidad and Tobago,Right-Back,RB,£45Th.,Watford FC,England,"End of loanJun 1, 2009",In,2009,s,premier-league,https://www.transfermarkt.co.uk/gavin-hoyte/profil/spieler/44793
Arsenal FC,Philippe Senderos,24,Switzerland,Centre-Back,CB,£4.50m,AC Milan,Italy,"End of loanJun 30, 2009",In,2009,s,premier-league,https://www.transfermarkt.co.uk/philippe-senderos/profil/spieler/4277
Everton FC,Diniyar Bilyaletdinov,24,Russia,Attacking Midfield,AM,£6.03m,Lokomotiv Moscow,Russia,£9.00m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/diniyar-bilyaletdinov/profil/spieler/16690
Everton FC,Johnny Heitinga,25,Netherlands,Centre-Back,CB,£7.20m,Atlético Madrid,Spain,£6.12m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/johnny-heitinga/profil/spieler/4315
Everton FC,Sylvain Distin,31,France,Centre-Back,CB,£7.47m,Portsmouth FC,England,£5.85m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/sylvain-distin/profil/spieler/3356
Everton FC,Anton Peterlin,22,United States,Central Midfield,CM,-,Ventura County Fusion,United States,Free transfer,In,2009,s,premier-league,https://www.transfermarkt.co.uk/anton-peterlin/profil/spieler/110184
Everton FC,Lukas Jutkiewicz,21,England,Centre-Forward,CF,£720Th.,Motherwell FC,Scotland,"End of loanMay 1, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/lukas-jutkiewicz/profil/spieler/33507
Everton FC,James Vaughan,21,England,Centre-Forward,CF,£1.35m,Leicester City,England,"End of loanMay 31, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/james-vaughan/profil/spieler/30471
Everton FC,Adam Forshaw,17,England,Central Midfield,CM,-,Everton FC U18,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/adam-forshaw/profil/spieler/121257
Everton FC,Seamus Coleman,21,Ireland,Right-Back,RB,£900Th.,Blackpool FC,England,"End of loanMay 31, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/seamus-coleman/profil/spieler/68390
Everton FC,Jose Baxter,17,England,Attacking Midfield,AM,£675Th.,Everton FC U18,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/jose-baxter/profil/spieler/82734
Everton FC,John Ruddy,23,England,Goalkeeper,GK,£675Th.,Motherwell FC,Scotland,"End of loanMay 1, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/john-ruddy/profil/spieler/29712
Everton FC,Kieran Agard,19,England,Centre-Forward,CF,£45Th.,Everton FC U21,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/kieran-agard/profil/spieler/57066
Everton FC,Lucas Neill,31,Australia,Centre-Back,CB,£4.32m,,Without Club,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/lucas-neill/profil/spieler/3826
Everton FC,John Paul Kissock,19,England,Left Midfield,LM,£68Th.,Accrington Stanley,England,"End of loanJun 30, 2009",In,2009,s,premier-league,https://www.transfermarkt.co.uk/john-paul-kissock/profil/spieler/57076
Everton FC,John Ruddy,22,England,Goalkeeper,GK,£405Th.,Crewe Alexandra,England,"End of loanJun 30, 2009",In,2009,s,premier-league,https://www.transfermarkt.co.uk/john-ruddy/profil/spieler/29712
Aston Villa,Stewart Downing,24,England,Left Midfield,LM,£9.90m,Middlesbrough FC,England,£11.70m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/stewart-downing/profil/spieler/4063
Aston Villa,Fabian Delph,19,England,Central Midfield,CM,£90Th.,Leeds United,England,£8.55m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/fabian-delph/profil/spieler/50362
Aston Villa,Stephen Warnock,27,England,Left-Back,LB,£4.59m,Blackburn Rovers,England,£8.10m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/stephen-warnock/profil/spieler/3308
Aston Villa,Richard Dunne,29,Ireland,Centre-Back,CB,£8.55m,Manchester City,England,£6.12m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/richard-dunne/profil/spieler/3807
Aston Villa,James Collins,26,Wales,Centre-Back,CB,£1.80m,West Ham United,England,£5.13m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/james-collins/profil/spieler/12691
Aston Villa,Habib Bèye,31,Senegal,Right-Back,RB,£4.14m,Newcastle United,England,£2.61m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/habib-beye/profil/spieler/3923
Aston Villa,Andy Marshall,34,England,Goalkeeper,GK,£450Th.,Coventry City,England,Free transfer,In,2009,s,premier-league,https://www.transfermarkt.co.uk/andy-marshall/profil/spieler/13249
Aston Villa,Jonathan Hogg,20,England,Central Midfield,CM,-,Aston Villa U18,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/jonathan-hogg/profil/spieler/61573
Aston Villa,Shane Lowry,20,Australia,Centre-Back,CB,£203Th.,Leeds United,England,"End of loanMay 1, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/shane-lowry/profil/spieler/61576
Aston Villa,David Bevan,20,Ireland,Goalkeeper,GK,-,Aston Villa U18,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/david-bevan/profil/spieler/61563
Aston Villa,Marc Albrighton,19,England,Right Midfield,RM,-,Aston Villa U23,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/marc-albrighton/profil/spieler/61560
Aston Villa,Nicky Shorey,29,England,Left-Back,LB,£3.60m,Fulham FC,England,"End of loanMay 1, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/nicky-shorey/profil/spieler/13426
Aston Villa,Nathan Baker,18,England,Centre-Back,CB,-,Aston Villa U18,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/nathan-baker/profil/spieler/62638
Aston Villa,Barry Bannan,20,Scotland,Central Midfield,CM,£450Th.,Blackpool FC,England,"End of loanMay 1, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/barry-bannan/profil/spieler/61561
Aston Villa,Eric Lichaj,21,United States,Right-Back,RB,£23Th.,Leyton Orient,England,"End of loanMay 31, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/eric-lichaj/profil/spieler/61575
Aston Villa,Shane Lowry,20,Australia,Centre-Back,CB,-,Aston Villa U18,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/shane-lowry/profil/spieler/61576
Aston Villa,David Bevan,20,Ireland,Goalkeeper,GK,-,Ilkeston Town (liq.),England,"End of loanMay 1, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/david-bevan/profil/spieler/61563
Fulham FC,Damien Duff,30,Ireland,Right Midfield,RM,£5.13m,Newcastle United,England,£3.60m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/damien-duff/profil/spieler/3259
Fulham FC,Björn Helge Riise,26,Norway,Right Midfield,RM,£810Th.,Lillestrøm SK,Norway,£1.80m,In,2009,s,premier-league,https://www.transfermarkt.co.uk/bjorn-helge-riise/profil/spieler/13485
Fulham FC,David Elm,26,Sweden,Centre-Forward,CF,£1.80m,Kalmar FF,Sweden,£540Th.,In,2009,s,premier-league,https://www.transfermarkt.co.uk/david-elm/profil/spieler/36392
Fulham FC,Kagisho Dikgacoi,24,South Africa,Central Midfield,CM,£315Th.,Lamontville Golden Arrows,South Africa,£270Th.,In,2009,s,premier-league,https://www.transfermarkt.co.uk/kagisho-dikgacoi/profil/spieler/63285
Fulham FC,Jonathan Greening,30,England,Central Midfield,CM,£3.69m,West Bromwich Albion,England,Loan,In,2009,s,premier-league,https://www.transfermarkt.co.uk/jonathan-greening/profil/spieler/3865
Fulham FC,Stephen Kelly,25,Ireland,Right-Back,RB,£810Th.,Birmingham City,England,Free transfer,In,2009,s,premier-league,https://www.transfermarkt.co.uk/stephen-kelly/profil/spieler/12125
Fulham FC,Stefan Payne,17,England,Centre-Forward,CF,-,Sutton United,England,£27Th.,In,2009,s,premier-league,https://www.transfermarkt.co.uk/stefan-payne/profil/spieler/126587
Fulham FC,Matthew Saunders,20,England,Central Midfield,CM,£90Th.,Lincoln City,England,?,In,2009,s,premier-league,https://www.transfermarkt.co.uk/matthew-saunders/profil/spieler/61723
Fulham FC,David Stockdale,24,England,Goalkeeper,GK,£675Th.,Plymouth Argyle,England,"End of loanApr 30, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/david-stockdale/profil/spieler/67339
Fulham FC,Diomansy Kamara,29,Senegal,Right Winger,RW,£2.25m,Celtic FC,Scotland,"End of loanMay 1, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/diomansy-kamara/profil/spieler/6053
Fulham FC,Matthew Saunders,19,England,Central Midfield,CM,£45Th.,Fulham FC U18,England,-,In,2009,s,premier-league,https://www.transfermarkt.co.uk/matthew-saunders/profil/spieler/61723
Fulham FC,Eddie Johnson,26,United States,Centre-Forward,CF,£1.13m,Aris Thessaloniki,Greece,"End of loanMay 1, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/eddie-johnson/profil/spieler/38773
Fulham FC,King Gyan,21,Ghana,Defensive Midfield,DM,£270Th.,Germinal Beerschot Antwerpen,Belgium,"End of loanMay 1, 2010",In,2009,s,premier-league,https://www.transfermarkt.co.uk/king-gyan/profil/spieler/46813
