Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Juventus FC,Paulo Dybala,21,Argentina,Second Striker,SS,£20.70m,US Palermo,Italy,£36.00m,In,2015,s,serie-a
Juventus FC,Alex Sandro,24,Brazil,Left-Back,LB,£18.00m,FC Porto,Portugal,£23.40m,In,2015,s,serie-a
Juventus FC,Mario Mandzukic,29,Croatia,Centre-Forward,CF,£23.40m,Atlético Madrid,Spain,£21.06m,In,2015,s,serie-a
Juventus FC,Simone Zaza,24,Italy,Centre-Forward,CF,£9.90m,US Sassuolo,Italy,£16.20m,In,2015,s,serie-a
Juventus FC,Roberto Pereyra,24,Argentina,Attacking Midfield,AM,£11.70m,Udinese Calcio,Italy,£13.50m,In,2015,s,serie-a
Juventus FC,Hernanes,30,Brazil,Attacking Midfield,AM,£12.60m,Inter Milan,Italy,£11.70m,In,2015,s,serie-a
Juventus FC,Alberto Brignoli,23,Italy,Goalkeeper,GK,£1.35m,Ternana Calcio,Italy,£2.12m,In,2015,s,serie-a
Juventus FC,Eric Lanini,21,Italy,Centre-Forward,CF,£225Th.,US Palermo,Italy,£1.80m,In,2015,s,serie-a
Juventus FC,Juan Cuadrado,27,Colombia,Right Winger,RW,£27.00m,Chelsea FC,England,Loan fee:£1.62m,In,2015,s,serie-a
Juventus FC,Andrés Tello,18,Colombia,Central Midfield,CM,£450Th.,Envigado FC,Colombia,£1.44m,In,2015,s,serie-a
Juventus FC,Mame Thiam,22,Senegal,Centre-Forward,CF,£630Th.,SS Virtus Lanciano,Italy,£1.26m,In,2015,s,serie-a
Juventus FC,Joyce Anacoura,20,Italy,Goalkeeper,GK,£113Th.,Parma Calcio 1913,Italy,£675Th.,In,2015,s,serie-a
Juventus FC,Mario Lemina,21,Gabon,Defensive Midfield,DM,£2.70m,Olympique Marseille,France,Loan fee:£450Th.,In,2015,s,serie-a
Juventus FC,Gregorio Luperini,21,Italy,Central Midfield,CM,£248Th.,US Città di Pontedera,Italy,£89Th.,In,2015,s,serie-a
Juventus FC,Neto,25,Brazil,Goalkeeper,GK,£8.10m,ACF Fiorentina,Italy,Free transfer,In,2015,s,serie-a
Juventus FC,Alberto Cerri,19,Italy,Centre-Forward,CF,£2.88m,Parma Calcio 1913,Italy,Free transfer,In,2015,s,serie-a
Juventus FC,Sami Khedira,28,Germany,Central Midfield,CM,£18.00m,Real Madrid,Spain,Free transfer,In,2015,s,serie-a
Juventus FC,Stefano Beltrame,22,Italy,Attacking Midfield,AM,£315Th.,UC Sampdoria,Italy,?,In,2015,s,serie-a
Juventus FC,Vajebah Sakor,19,Norway,Defensive Midfield,DM,£135Th.,Juventus Primavera,Italy,-,In,2015,s,serie-a
Juventus FC,Albert Roussos,19,Greece,Centre-Back,CB,£90Th.,Juventus Primavera,Italy,-,In,2015,s,serie-a
Juventus FC,Mattia Vitale,17,Italy,Central Midfield,CM,£360Th.,Juventus Primavera,Italy,-,In,2015,s,serie-a
Juventus FC,Emil Audero,18,Italy,Goalkeeper,GK,£158Th.,Juventus Primavera,Italy,-,In,2015,s,serie-a
AS Roma,Andrea Bertolacci,24,Italy,Central Midfield,CM,£4.50m,Genoa CFC,Italy,£7.65m,In,2015,s,serie-a
AS Roma,Leandro Paredes,21,Argentina,Defensive Midfield,DM,£3.33m,Club Atlético Boca Juniors,Argentina,£5.40m,In,2015,s,serie-a
AS Roma,Víctor Ibarbo,25,Colombia,Second Striker,SS,£7.20m,Cagliari Calcio,Italy,Loan fee:£4.50m,In,2015,s,serie-a
AS Roma,Mohamed Salah,23,Egypt,Right Winger,RW,£16.20m,Chelsea FC,England,Loan fee:£4.50m,In,2015,s,serie-a
AS Roma,Ezequiel Ponce,18,Argentina,Centre-Forward,CF,£5.40m,Club Atlético Newell's Old Boys,Argentina,£3.78m,In,2015,s,serie-a
AS Roma,Nemanja Radonjic,19,Serbia,Left Winger,LW,£45Th.,Empoli Primavera,Italy,£3.60m,In,2015,s,serie-a
AS Roma,Antonio Rüdiger,22,Germany,Centre-Back,CB,£9.00m,VfB Stuttgart,Germany,Loan fee:£3.60m,In,2015,s,serie-a
AS Roma,Edin Dzeko,29,Bosnia-Herzegovina,Centre-Forward,CF,£18.00m,Manchester City,England,Loan fee:£3.60m,In,2015,s,serie-a
AS Roma,Lucas Digne,22,France,Left-Back,LB,£9.00m,Paris Saint-Germain,France,Loan fee:£2.25m,In,2015,s,serie-a
AS Roma,Iago Falque,25,Spain,Right Winger,RW,£3.60m,Genoa CFC,Italy,Loan fee:£900Th.,In,2015,s,serie-a
AS Roma,Matteo Politano,21,Italy,Right Winger,RW,£1.80m,Delfino Pescara 1936,Italy,£540Th.,In,2015,s,serie-a
AS Roma,William Vainqueur,26,France,Defensive Midfield,DM,£6.30m,Dinamo Moscow,Russia,£521Th.,In,2015,s,serie-a
AS Roma,Norbert Gyömbér,23,Slovakia,Centre-Back,CB,£720Th.,Calcio Catania,Italy,Loan fee:£450Th.,In,2015,s,serie-a
AS Roma,Umar Sadiq,18,Nigeria,Centre-Forward,CF,£360Th.,Spezia Primavera,Italy,Loan fee:£225Th.,In,2015,s,serie-a
AS Roma,Tiago Casasola,20,Argentina,Right-Back,RB,£360Th.,Fulham FC,England,Free transfer,In,2015,s,serie-a
AS Roma,Tomas Vestenicky,19,Slovakia,Centre-Forward,CF,£180Th.,FC Nitra,Slovakia,Free transfer,In,2015,s,serie-a
AS Roma,Emerson,21,Italy,Left-Back,LB,£360Th.,Santos FC,Brazil,Loan,In,2015,s,serie-a
AS Roma,Wojciech Szczesny,25,Poland,Goalkeeper,GK,£9.00m,Arsenal FC,England,Loan,In,2015,s,serie-a
AS Roma,Elio Capradossi,19,Italy,Centre-Back,CB,£225Th.,Roma Primavera,Italy,-,In,2015,s,serie-a
SS Lazio,Sergej Milinkovic-Savic,20,Serbia,Central Midfield,CM,£3.60m,KRC Genk,Belgium,£16.20m,In,2015,s,serie-a
SS Lazio,Dusan Basta,30,Serbia,Right-Back,RB,£4.95m,Udinese Calcio,Italy,£9.45m,In,2015,s,serie-a
SS Lazio,Ricardo Kishna,20,Netherlands,Left Winger,LW,£2.48m,Ajax Amsterdam,Netherlands,£2.70m,In,2015,s,serie-a
SS Lazio,Maurício,26,Brazil,Centre-Back,CB,£4.50m,Sporting CP,Portugal,£2.39m,In,2015,s,serie-a
SS Lazio,Patric,22,Spain,Centre-Back,CB,£720Th.,FC Barcelona B,Spain,£450Th.,In,2015,s,serie-a
SS Lazio,Wesley Hoedt,21,Netherlands,Centre-Back,CB,£1.35m,AZ Alkmaar,Netherlands,Free transfer,In,2015,s,serie-a
SS Lazio,Alessandro Matri,31,Italy,Centre-Forward,CF,£4.50m,AC Milan,Italy,Loan,In,2015,s,serie-a
SS Lazio,Ravel Morrison,22,Jamaica,Attacking Midfield,AM,£3.15m,,Without Club,-,In,2015,s,serie-a
SS Lazio,Moustapha Seck,19,Senegal,Left-Back,LB,£90Th.,Lazio Primavera,Italy,-,In,2015,s,serie-a
SS Lazio,Christopher Oikonomidis,20,Australia,Left Winger,LW,£180Th.,Lazio Primavera,Italy,-,In,2015,s,serie-a
SS Lazio,Alessandro Murgia,18,Italy,Central Midfield,CM,£270Th.,Lazio Primavera,Italy,-,In,2015,s,serie-a
SS Lazio,Franjo Prce,19,Croatia,Centre-Back,CB,£135Th.,Lazio Primavera,Italy,-,In,2015,s,serie-a
ACF Fiorentina,Mario Suárez,28,Spain,Defensive Midfield,DM,£9.00m,Atlético Madrid,Spain,£13.50m,In,2015,s,serie-a
ACF Fiorentina,Nikola Kalinic,27,Croatia,Centre-Forward,CF,£6.30m,Dnipro Dnipropetrovsk,Ukraine,£4.95m,In,2015,s,serie-a
ACF Fiorentina,Jaime Báez,20,Uruguay,Left Winger,LW,£2.25m,Juventud de Las Piedras,Uruguay,£2.07m,In,2015,s,serie-a
ACF Fiorentina,Gilberto,22,Brazil,Right-Back,RB,£1.53m,Botafogo Rio de Janeiro,Brazil,£1.80m,In,2015,s,serie-a
