Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Bayern Munich,Arturo Vidal,28,Chile,Central Midfield,CM,£37.80m,Juventus FC,Italy,£33.75m,In,2015,s,1-bundesliga
Bayern Munich,Douglas Costa,24,Brazil,Right Winger,RW,£20.70m,Shakhtar Donetsk,Ukraine,£27.00m,In,2015,s,1-bundesliga
Bayern Munich,Joshua Kimmich,20,Germany,Defensive Midfield,DM,£4.50m,VfB Stuttgart,Germany,£7.65m,In,2015,s,1-bundesliga
Bayern Munich,Kingsley Coman,19,France,Left Winger,LW,£3.15m,Juventus FC,Italy,Loan fee:£6.30m,In,2015,s,1-bundesliga
Bayern Munich,Sven Ulreich,26,Germany,Goalkeeper,GK,£4.05m,VfB Stuttgart,Germany,£3.15m,In,2015,s,1-bundesliga
Bayern Munich,Jan Kirchhoff,24,Germany,Centre-Back,CB,£2.70m,FC Schalke 04,Germany,"End of loanJun 30, 2015",In,2015,s,1-bundesliga
Bayern Munich,Xherdan Shaqiri,23,Switzerland,Right Winger,RW,£16.20m,Inter Milan,Italy,"End of loanJun 30, 2015",In,2015,s,1-bundesliga
Bayern Munich,Pierre-Emile Höjbjerg,19,Denmark,Central Midfield,CM,£3.60m,FC Augsburg,Germany,"End of loanJun 30, 2015",In,2015,s,1-bundesliga
Bayern Munich,Julian Green,20,United States,Attacking Midfield,AM,£1.35m,Hamburger SV,Germany,"End of loanJun 30, 2015",In,2015,s,1-bundesliga
VfL Wolfsburg,Julian Draxler,21,Germany,Central Midfield,CM,£19.80m,FC Schalke 04,Germany,£38.70m,In,2015,s,1-bundesliga
VfL Wolfsburg,Max Kruse,27,Germany,Second Striker,SS,£10.80m,Borussia Mönchengladbach,Germany,£10.80m,In,2015,s,1-bundesliga
VfL Wolfsburg,Dante,31,Brazil,Centre-Back,CB,£5.40m,Bayern Munich,Germany,£4.05m,In,2015,s,1-bundesliga
VfL Wolfsburg,Francisco Rodríguez,19,Switzerland,Left Midfield,LM,£810Th.,FC Zürich,Switzerland,£1.44m,In,2015,s,1-bundesliga
VfL Wolfsburg,Carlos Ascues,23,Peru,Central Midfield,CM,£450Th.,FBC Melgar,Peru,£1.35m,In,2015,s,1-bundesliga
VfL Wolfsburg,Ismail Azzaoui,17,Belgium,Right Winger,RW,-,Tottenham Hotspur U21,England,£900Th.,In,2015,s,1-bundesliga
VfL Wolfsburg,Oskar Zawada,19,Poland,Centre-Forward,CF,£225Th.,VfL Wolfsburg II,Germany,-,In,2015,s,1-bundesliga
VfL Wolfsburg,Sebastian Stolze,20,Germany,Right Winger,RW,£180Th.,VfL Wolfsburg II,Germany,-,In,2015,s,1-bundesliga
VfL Wolfsburg,Vaclav Pilar,26,Czech Republic,Left Midfield,LM,£1.80m,FC Viktoria Plzen,Czech Republic,"End of loanJun 30, 2015",In,2015,s,1-bundesliga
VfL Wolfsburg,Stefan Kutschke,26,Germany,Centre-Forward,CF,£720Th.,SC Paderborn 07,Germany,"End of loanJun 30, 2015",In,2015,s,1-bundesliga
VfL Wolfsburg,Koen Casteels,23,Belgium,Goalkeeper,GK,£1.35m,SV Werder Bremen,Germany,"End of loanJun 30, 2015",In,2015,s,1-bundesliga
Borussia Mönchengladbach,Josip Drmic,22,Switzerland,Centre-Forward,CF,£7.20m,Bayer 04 Leverkusen,Germany,£9.00m,In,2015,s,1-bundesliga
Borussia Mönchengladbach,Thorgan Hazard,22,Belgium,Left Winger,LW,£9.00m,Chelsea FC,England,£7.20m,In,2015,s,1-bundesliga
Borussia Mönchengladbach,Nico Schulz,22,Germany,Left-Back,LB,£3.15m,Hertha BSC,Germany,£3.60m,In,2015,s,1-bundesliga
Borussia Mönchengladbach,Nico Elvedi,18,Switzerland,Centre-Back,CB,£1.35m,FC Zürich,Switzerland,£3.60m,In,2015,s,1-bundesliga
Borussia Mönchengladbach,Lars Stindl,26,Germany,Second Striker,SS,£6.30m,Hannover 96,Germany,£2.70m,In,2015,s,1-bundesliga
Borussia Mönchengladbach,Tobias Sippel,27,Germany,Goalkeeper,GK,£900Th.,1.FC Kaiserslautern,Germany,Free transfer,In,2015,s,1-bundesliga
Borussia Mönchengladbach,Andreas Christensen,19,Denmark,Centre-Back,CB,£1.35m,Chelsea FC,England,Loan,In,2015,s,1-bundesliga
Borussia Mönchengladbach,Peniel Mlapa,24,Togo,Centre-Forward,CF,£540Th.,1.FC Nuremberg,Germany,"End of loanJun 30, 2015",In,2015,s,1-bundesliga
Borussia Mönchengladbach,Amin Younes,21,Germany,Left Winger,LW,£900Th.,1.FC Kaiserslautern,Germany,"End of loanJun 30, 2015",In,2015,s,1-bundesliga
Bayer 04 Leverkusen,Charles Aránguiz,26,Chile,Central Midfield,CM,£8.55m,Sport Club Internacional,Brazil,£11.70m,In,2015,s,1-bundesliga
Bayer 04 Leverkusen,Chicharito,27,Mexico,Centre-Forward,CF,£9.00m,Manchester United,England,£10.80m,In,2015,s,1-bundesliga
Bayer 04 Leverkusen,Kevin Kampl,24,Slovenia,Central Midfield,CM,£8.10m,Borussia Dortmund,Germany,£9.90m,In,2015,s,1-bundesliga
Bayer 04 Leverkusen,Admir Mehmedi,24,Switzerland,Second Striker,SS,£5.40m,SC Freiburg,Germany,£7.20m,In,2015,s,1-bundesliga
Bayer 04 Leverkusen,Jonathan Tah,19,Germany,Centre-Back,CB,£5.40m,Hamburger SV,Germany,£6.75m,In,2015,s,1-bundesliga
Bayer 04 Leverkusen,Kyriakos Papadopoulos,23,Greece,Centre-Back,CB,£6.75m,FC Schalke 04,Germany,£5.85m,In,2015,s,1-bundesliga
