Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Milan AC,Ibrahim Bá,23,France,Right Midfield,RM,-,FC Girondins Bordeaux,France,£10.80m,In,1997,s,serie-a,https://www.transfermarkt.co.uk/ibrahim-ba/profil/spieler/5815
Milan AC,Leonardo,27,Brazil,Attacking Midfield,AM,-,Paris Saint-Germain,France,£7.65m,In,1997,s,serie-a,https://www.transfermarkt.co.uk/leonardo/profil/spieler/102586
Milan AC,Christian Ziege,25,Germany,Left Midfield,LM,-,Bayern Munich,Germany,£4.61m,In,1997,s,serie-a,https://www.transfermarkt.co.uk/christian-ziege/profil/spieler/916
Milan AC,Andreas Andersson,23,Sweden,Centre-Forward,CF,-,IFK Göteborg,Sweden,£3.15m,In,1997,s,serie-a,https://www.transfermarkt.co.uk/andreas-andersson/profil/spieler/15351
Milan AC,André Cruz,28,Brazil,Centre-Back,CB,-,SSC Napoli,Italy,£2.70m,In,1997,s,serie-a,https://www.transfermarkt.co.uk/andre-cruz/profil/spieler/17558
Milan AC,Patrick Kluivert,21,Netherlands,Centre-Forward,CF,-,Ajax Amsterdam,Netherlands,£1.80m,In,1997,s,serie-a,https://www.transfermarkt.co.uk/patrick-kluivert/profil/spieler/4385
Milan AC,Steinar Nilsen,25,Norway,Centre-Back,CB,-,Tromsø IL,Norway,£900Th.,In,1997,s,serie-a,https://www.transfermarkt.co.uk/steinar-nilsen/profil/spieler/26288
Milan AC,Dario Smoje,18,Croatia,Centre-Back,CB,-,HNK Rijeka,Croatia,£720Th.,In,1997,s,serie-a,https://www.transfermarkt.co.uk/dario-smoje/profil/spieler/28172
Milan AC,Massimo Taibi,27,Italy,Goalkeeper,GK,-,Piacenza FC,Italy,£585Th.,In,1997,s,serie-a,https://www.transfermarkt.co.uk/massimo-taibi/profil/spieler/3527
Milan AC,Roberto Donadoni,33,Italy,Right Midfield,RM,-,MetroStars,United States,Free transfer,In,1997,s,serie-a,https://www.transfermarkt.co.uk/roberto-donadoni/profil/spieler/102474
Milan AC,Marco Bonura,17,Italy,Central Midfield,CM,-,Calcio Monza,Italy,?,In,1997,s,serie-a,https://www.transfermarkt.co.uk/marco-bonura/profil/spieler/84829
Milan AC,Francesco Moriero,28,Italy,Right Winger,RW,-,AS Roma,Italy,?,In,1997,s,serie-a,https://www.transfermarkt.co.uk/francesco-moriero/profil/spieler/108638
Milan AC,Samir Beloufa,17,Algeria,Centre-Back,CB,-,AS Cannes,France,?,In,1997,s,serie-a,https://www.transfermarkt.co.uk/samir-beloufa/profil/spieler/13266
Milan AC,Winston Bogarde,26,Netherlands,Centre-Back,CB,-,Ajax Amsterdam,Netherlands,?,In,1997,s,serie-a,https://www.transfermarkt.co.uk/winston-bogarde/profil/spieler/3155
Milan AC,Simone Braglia,34,Italy,Goalkeeper,GK,-,AS Lucchese Libertas,Italy,?,In,1997,s,serie-a,https://www.transfermarkt.co.uk/simone-braglia/profil/spieler/223453
Milan AC,Giuseppe Cardone,23,Italy,Right-Back,RB,-,Bologna FC 1909,Italy,?,In,1997,s,serie-a,https://www.transfermarkt.co.uk/giuseppe-cardone/profil/spieler/16811
Milan AC,Marcello Campolonghi,22,Italy,Second Striker,SS,-,Brescia Calcio,Italy,?,In,1997,s,serie-a,https://www.transfermarkt.co.uk/marcello-campolonghi/profil/spieler/30623
Milan AC,Giampiero Maini,25,Italy,Defensive Midfield,DM,-,Vicenza Calcio,Italy,?,In,1997,s,serie-a,https://www.transfermarkt.co.uk/giampiero-maini/profil/spieler/16851
Milan AC,Massimo Maccarone,18,Italy,Centre-Forward,CF,-,Milan Primavera,Italy,-,In,1997,s,serie-a,https://www.transfermarkt.co.uk/massimo-maccarone/profil/spieler/3713
Milan AC,Matteo Pelatti,19,Italy,Centre-Forward,CF,-,Milan Primavera,Italy,-,In,1997,s,serie-a,https://www.transfermarkt.co.uk/matteo-pelatti/profil/spieler/42121
Milan AC,Daniele Daino,17,Italy,Right-Back,RB,-,Milan Primavera,Italy,-,In,1997,s,serie-a,https://www.transfermarkt.co.uk/daniele-daino/profil/spieler/15458
