Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Cardiff City,Kevin Nugent,28,England,Forward,Forward,-,Bristol City,England,£72k,In,1997,s,championship
Cardiff City,Andy Saville,32,England,Centre-Forward,CF,-,Wigan Athletic,England,£60k,In,1997,s,championship
Cardiff City,Glen Crowe,19,Ireland,Centre-Forward,CF,-,Wolverhampton Wanderers,England,Loan,In,1997,s,championship
Cardiff City,Jon Hallworth,31,England,Goalkeeper,GK,-,Oldham Athletic,England,Free transfer,In,1997,s,championship
Cardiff City,Wayne O'Sullivan,23,Ireland,Right Midfield,RM,-,Swindon Town,England,?,In,1997,s,championship
Cardiff City,Dave Penney,32,England,Midfielder,Midfielder,-,Swansea City,Wales,?,In,1997,s,championship
Cardiff City,Chris Greenacre,19,England,Centre-Forward,CF,-,Manchester City,England,Loan,In,1997,s,championship
Cardiff City,Jimmy Rollo,21,England,Centre-Back,CB,-,Ebbw Vale FC,Wales,"End of loanMay 1, 1998",In,1997,s,championship
Cardiff City,Christian Roberts,17,Wales,Centre-Forward,CF,-,Cardiff City U18,Wales,-,In,1997,s,championship
Cardiff City,Tony Philliskirk,33,England,Centre-Forward,CF,-,Macclesfield Town,England,"End of loanMay 31, 1998",In,1997,s,championship
Cardiff City,Pat Mountain,20,Wales,Goalkeeper,GK,-,Barry Town United FC,Wales,"End of loanJun 30, 1997",In,1997,s,championship
Fulham FC,Paul Peschisolido,26,Canada,Centre-Forward,CF,-,West Bromwich Albion,England,£1.49m,In,1997,s,championship
Fulham FC,André Arendse,30,South Africa,Goalkeeper,GK,-,Cape Town Spurs,South Africa,£450k,In,1997,s,championship
Fulham FC,Paul Moody,30,England,Forward,Forward,-,Oxford United,England,£203k,In,1997,s,championship
Fulham FC,Steven Hayward,25,England,Midfielder,Midfielder,-,Carlisle United,England,£197k,In,1997,s,championship
Fulham FC,Aidan Newhouse,25,England,Forward,Forward,-,Wimbledon FC,England,£114k,In,1997,s,championship
Fulham FC,Jimmy Aggrey,18,England,Defender,Defender,-,Chelsea FC,England,Free transfer,In,1997,s,championship
Fulham FC,Leon McKenzie,19,England,Centre-Forward,CF,-,Crystal Palace,England,Loan,In,1997,s,championship
Fulham FC,Paul Bracewell,34,England,Central Midfield,CM,-,Sunderland AFC,England,?,In,1997,s,championship
Fulham FC,Andy Arnott,23,England,Defensive Midfield,DM,-,Leyton Orient,England,?,In,1997,s,championship
Fulham FC,Neil Smith,25,England,Midfielder,Midfielder,-,Gillingham FC,England,?,In,1997,s,championship
Fulham FC,Ian Selley,23,England,Midfielder,Midfielder,-,Arsenal FC,England,?,In,1997,s,championship
Fulham FC,Steve McAnespie,26,Scotland,Right-Back,RB,-,Bradford City,England,"End of loanMay 3, 1998",In,1997,s,championship
Huddersfield Town,Wayne Allison,28,England,Centre-Forward,CF,-,Swindon Town,England,£1.04m,In,1997,s,championship
Huddersfield Town,Lee Richardson,28,England,Midfielder,Midfielder,-,Oldham Athletic,England,£72k,In,1997,s,championship
Huddersfield Town,Lee Martin,29,England,Left-Back,LB,-,Bristol Rovers,England,Loan,In,1997,s,championship
Huddersfield Town,Barry Horne,35,Wales,Defensive Midfield,DM,-,Birmingham City,England,?,In,1997,s,championship
Huddersfield Town,David Phillips,33,Wales,Right Midfield,RM,-,Nottingham Forest,England,?,In,1997,s,championship
Huddersfield Town,Paul Scott,17,England,Right-Back,RB,-,Huddersfield Town U18,England,-,In,1997,s,championship
Leeds United,David Hopkin,26,Scotland,Right Midfield,RM,-,Crystal Palace,England,£4.41m,In,1997,s,championship
Leeds United,Jimmy Floyd Hasselbaink,25,Netherlands,Centre-Forward,CF,-,Boavista Porto FC,Portugal,£2.50m,In,1997,s,championship
Leeds United,Alf-Inge Haaland,24,Norway,Defensive Midfield,DM,-,Nottingham Forest,England,£2.16m,In,1997,s,championship
Leeds United,Danny Granville,22,England,Left-Back,LB,-,Chelsea FC,England,£1.98m,In,1997,s,championship
Leeds United,David Robertson,28,Scotland,Left-Back,LB,-,Rangers FC,Scotland,£675k,In,1997,s,championship
Leeds United,Bruno Ribeiro,21,Portugal,Left Midfield,LM,-,Vitória Setúbal FC,Portugal,£630k,In,1997,s,championship
Leeds United,Stephen McPhail,17,Ireland,Left Midfield,LM,-,Leeds United U18,England,-,In,1997,s,championship
Leeds United,Sean Hessey,18,England,Centre-Back,CB,-,Leeds United U18,England,-,In,1997,s,championship
Leeds United,Lee Matthews,18,England,Central Midfield,CM,-,Leeds United U18,England,-,In,1997,s,championship
Leeds United,Paul Evans,23,South Africa,Goalkeeper,GK,-,Bradford City,England,"End of loanJun 30, 1997",In,1997,s,championship
West Bromwich Albion,Kevin Kilbane,20,Ireland,Left Midfield,LM,-,Preston North End,England,£2.03m,In,1997,s,championship
West Bromwich Albion,Mickey Evans,24,Ireland,Centre-Forward,CF,-,Southampton FC,England,£810k,In,1997,s,championship
West Bromwich Albion,Lee Hughes,21,England,Centre-Forward,CF,-,Kidderminster Harriers,England,£338k,In,1997,s,championship
West Bromwich Albion,Sean Flynn,29,England,Midfielder,Midfielder,-,Derby County,England,£284k,In,1997,s,championship
West Bromwich Albion,James Thomas,18,Wales,Forward,Forward,-,Blackburn Rovers,England,Loan,In,1997,s,championship
West Bromwich Albion,Mike Sheron,25,England,Centre-Forward,CF,-,Queens Park Rangers,England,?,In,1997,s,championship
West Bromwich Albion,Tony Dobson,28,England,Midfielder,Midfielder,-,Portsmouth FC,England,?,In,1997,s,championship
West Bromwich Albion,Roger Joseph,31,England,Defender,Defender,-,Leyton Orient,England,?,In,1997,s,championship
West Bromwich Albion,Graham Potter,23,England,Left-Back,LB,-,Northampton Town,England,"End of loanMay 31, 1998",In,1997,s,championship
West Bromwich Albion,Adam Oliver,16,England,Midfielder,Midfielder,-,West Bromwich Albion U18,England,-,In,1997,s,championship
West Bromwich Albion,Tony James,18,Wales,Centre-Back,CB,-,West Bromwich Albion U18,England,-,In,1997,s,championship
West Bromwich Albion,Bob Taylor,31,England,Centre-Forward,CF,-,Bolton Wanderers,England,"End of loanMay 1, 1998",In,1997,s,championship
West Bromwich Albion,Chris Adamson,18,England,Goalkeeper,GK,-,West Bromwich Albion U18,England,-,In,1997,s,championship
Derby County,Deon Burton,20,Jamaica,Centre-Forward,CF,-,Portsmouth FC,England,£1.13m,In,1997,s,championship
Derby County,Jonathan Hunt,25,England,Forward,Forward,-,Birmingham City,England,£675k,In,1997,s,championship
Derby County,Rory Delap,21,Ireland,Central Midfield,CM,-,Carlisle United,England,£270k,In,1997,s,championship
Derby County,Jacob Laursen,25,Denmark,Centre-Back,CB,-,Silkeborg IF,Denmark,Free transfer,In,1997,s,championship
Derby County,Stefano Eranio,30,Italy,Right Midfield,RM,-,Milan AC,Italy,?,In,1997,s,championship
Derby County,Francesco Baiano,29,Italy,Right Winger,RW,-,AC Fiorentina,Italy,?,In,1997,s,championship
Derby County,Richard Knight,17,England,Goalkeeper,GK,-,Burton Albion,England,?,In,1997,s,championship
Derby County,Marc Bridge-Wilkinson,18,England,Central Midfield,CM,-,Derby County U18,England,-,In,1997,s,championship
Derby County,Steve Elliott,18,England,Centre-Back,CB,-,Derby County U18,England,-,In,1997,s,championship
Derby County,Rob Kozluk,19,England,Right-Back,RB,-,Derby County U18,England,-,In,1997,s,championship
Middlesbrough FC,Émerson,25,Brazil,Defensive Midfield,DM,-,FC Porto,Portugal,£3.60m,In,1997,s,championship
Middlesbrough FC,Hámilton Ricard,23,Colombia,Centre-Forward,CF,-,Deportivo Cali,Colombia,£2.07m,In,1997,s,championship
Middlesbrough FC,Andy Townsend,34,Ireland,Central Midfield,CM,-,Aston Villa,England,£518k,In,1997,s,championship
Middlesbrough FC,Neil Maddison,28,England,Midfielder,Midfielder,-,Southampton FC,England,£286k,In,1997,s,championship
Middlesbrough FC,Jason Gavin,17,Ireland,Defender,Defender,-,Crumlin United,Ireland,?,In,1997,s,championship
Middlesbrough FC,Gianluca Festa,28,Italy,Right-Back,RB,-,FC Internazionale,Italy,?,In,1997,s,championship
Middlesbrough FC,Paul Connor,18,England,Forward,Forward,-,Hartlepool United,England,"End of loanJun 30, 1997",In,1997,s,championship
Middlesbrough FC,Paul Connor,18,England,Forward,Forward,-,Gateshead FC,England,"End of loanJun 30, 1997",In,1997,s,championship
Bristol City,Steve Torpey,26,England,Centre-Forward,CF,-,Swansea City,Wales,£540k,In,1997,s,championship
Bristol City,Steve Phillips,19,England,Goalkeeper,GK,-,Paulton Rovers,England,Free transfer,In,1997,s,championship
Bristol City,Paul Tisdale,24,England,Midfielder,Midfielder,-,Southampton FC,England,Free transfer,In,1997,s,championship
Bristol City,Jason Roberts,20,Grenada,Centre-Forward,CF,-,Wolverhampton Wanderers,England,Loan,In,1997,s,championship
Bristol City,Sean Dyche,26,England,Centre-Back,CB,-,Chesterfield FC,England,?,In,1997,s,championship
Bristol City,Colin Cramb,23,Scotland,Centre-Forward,CF,-,Doncaster Rovers,England,?,In,1997,s,championship
Bristol City,Andy Jordan,17,Scotland,Defender,Defender,-,,Unknown,?,In,1997,s,championship
Nottingham Forest,Andy Johnson,23,Wales,Attacking Midfield,AM,-,Norwich City,England,£2.97m,In,1997,s,championship
Nottingham Forest,Alan Rogers,20,England,Left-Back,LB,-,Tranmere Rovers,England,£2.70m,In,1997,s,championship
Nottingham Forest,Jon Olav Hjelde,24,Norway,Centre-Back,CB,-,Rosenborg BK,Norway,£810k,In,1997,s,championship
Nottingham Forest,Dave Beasant,38,England,Goalkeeper,GK,-,Southampton FC,England,Free transfer,In,1997,s,championship
Nottingham Forest,Chris Doig,16,Scotland,Centre-Back,CB,-,Queen of the South FC,Scotland,Free transfer,In,1997,s,championship
Nottingham Forest,Geoff Thomas,32,England,Central Midfield,CM,-,Wolverhampton Wanderers,England,Free transfer,In,1997,s,championship
Nottingham Forest,Marco Pascolo,31,Switzerland,Goalkeeper,GK,-,Cagliari Calcio,Italy,?,In,1997,s,championship
Nottingham Forest,Thierry Bonalair,31,France,Left-Back,LB,-,Neuchâtel Xamax,Switzerland,?,In,1997,s,championship
Nottingham Forest,Ian Thomas-Moore,18,England,Centre-Forward,CF,-,West Ham United,England,?,In,1997,s,championship
Nottingham Forest,Steve Guinan,22,England,Centre-Forward,CF,-,Crewe Alexandra,England,"End of loanApr 1, 1998",In,1997,s,championship
Nottingham Forest,Mark Crossley,28,Wales,Goalkeeper,GK,-,Millwall FC,England,"End of loanMay 1, 1998",In,1997,s,championship
Nottingham Forest,Andrea Silenzi,31,Italy,Centre-Forward,CF,-,AC Venezia 1907,Italy,"End of loanJun 30, 1997",In,1997,s,championship
Nottingham Forest,Stephen Howe,23,England,Midfielder,Midfielder,-,Ipswich Town,England,"End of loanJun 30, 1997",In,1997,s,championship
Swansea City,Aidan Newhouse,25,England,Forward,Forward,-,Fulham FC,England,Free transfer,In,1997,s,championship
Swansea City,Gary Jones,20,England,Central Midfield,CM,-,Caernarfon Town,Wales,Free transfer,In,1997,s,championship
Swansea City,John Hills,19,England,Left-Back,LB,-,Blackpool FC,England,Loan,In,1997,s,championship
Swansea City,Tony Bird,22,Wales,Forward,Forward,-,Barry Town United FC,Wales,?,In,1997,s,championship
Swansea City,David O'Gorman,25,England,Right Winger,RW,-,Barry Town United FC,Wales,?,In,1997,s,championship
Swansea City,Nicholas Cusack,31,England,Midfielder,Midfielder,-,Fulham FC,England,?,In,1997,s,championship
Swansea City,Lee Jones,27,Wales,Goalkeeper,GK,-,Bristol Rovers,England,"End of loanMay 31, 1998",In,1997,s,championship
Brentford FC,Danny Cullip,20,England,Centre-Back,CB,-,Fulham FC,England,£113k,In,1997,s,championship
Brentford FC,Paul Watson,22,England,Right-Back,RB,-,Fulham FC,England,£63k,In,1997,s,championship
Brentford FC,Gareth Hall,28,Wales,Defensive Midfield,DM,-,Sunderland AFC,England,Loan,In,1997,s,championship
Brentford FC,Simon Wormull,20,England,Midfielder,Midfielder,-,Tottenham Hotspur U21,England,Free transfer,In,1997,s,championship
Brentford FC,Charlie Oatway,23,England,Central Midfield,CM,-,Torquay United FC,England,£14k,In,1997,s,championship
Brentford FC,Graham Benstead,33,England,Goalkeeper,GK,-,Rushden & Diamonds (liq.),England,?,In,1997,s,championship
