Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Atlético Madrid,Filipe Luís,24,Brazil,Left-Back,LB,£9.00m,Deportivo de La Coruña,Spain,£10.80m,In,2010,s,laliga
Atlético Madrid,Diego Godín,24,Uruguay,Centre-Back,CB,£10.80m,Villarreal CF,Spain,£7.20m,In,2010,s,laliga
Atlético Madrid,Mario Suárez,23,Spain,Defensive Midfield,DM,£3.60m,RCD Mallorca,Spain,£1.62m,In,2010,s,laliga
Atlético Madrid,Diego Costa,21,Spain,Centre-Forward,CF,£4.50m,Real Valladolid CF,Spain,£900Th.,In,2010,s,laliga
Atlético Madrid,Fran Mérida,20,Spain,Central Midfield,CM,£1.80m,Arsenal FC,England,Free transfer,In,2010,s,laliga
Atlético Madrid,Rubén Pérez,21,Spain,Defensive Midfield,DM,-,Atlético Madrid B,Spain,-,In,2010,s,laliga
Atlético Madrid,Roberto,24,Spain,Goalkeeper,GK,£1.80m,Real Zaragoza,Spain,"End of loanJun 30, 2010",In,2010,s,laliga
FC Barcelona,David Villa,28,Spain,Centre-Forward,CF,£40.50m,Valencia CF,Spain,£36.00m,In,2010,s,laliga
FC Barcelona,Javier Mascherano,26,Argentina,Defensive Midfield,DM,£23.40m,Liverpool FC,England,£18.00m,In,2010,s,laliga
FC Barcelona,Adriano,25,Brazil,Left-Back,LB,£18.00m,Sevilla FC,Spain,£8.55m,In,2010,s,laliga
FC Barcelona,Aleksandr Hleb,29,Belarus,Attacking Midfield,AM,£9.00m,VfB Stuttgart,Germany,"End of loanJun 30, 2010",In,2010,s,laliga
FC Barcelona,Víctor Sánchez,22,Spain,Central Midfield,CM,£720Th.,Xerez CD,Spain,"End of loanJun 30, 2010",In,2010,s,laliga
FC Barcelona,Keirrison,21,Brazil,Centre-Forward,CF,£9.90m,ACF Fiorentina,Italy,"End of loanJun 30, 2010",In,2010,s,laliga
FC Barcelona,Martín Cáceres,23,Uruguay,Centre-Back,CB,£6.75m,Juventus FC,Italy,"End of loanJun 30, 2010",In,2010,s,laliga
Real Zaragoza,Matteo Contini,30,Italy,Centre-Back,CB,£2.16m,SSC Napoli,Italy,£2.07m,In,2010,s,laliga
Real Zaragoza,Ádám Pintér,22,Hungary,Centre-Back,CB,£360Th.,MTK Budapest,Hungary,£1.08m,In,2010,s,laliga
Real Zaragoza,Florent Sinama-Pongolle,25,France,Second Striker,SS,£5.58m,Sporting CP,Portugal,Loan fee:£450Th.,In,2010,s,laliga
Real Zaragoza,Toni Doblas,29,Spain,Goalkeeper,GK,£450Th.,SD Huesca,Spain,Free transfer,In,2010,s,laliga
Real Zaragoza,Leo Franco,33,Argentina,Goalkeeper,GK,£3.60m,Galatasaray SK,Turkey,Free transfer,In,2010,s,laliga
Real Zaragoza,Maurizio Lanzaro,28,Italy,Centre-Back,CB,£900Th.,Reggina Calcio,Italy,Free transfer,In,2010,s,laliga
Real Zaragoza,Marco Pérez,19,Colombia,Centre-Forward,CF,£900Th.,Boyacá Chicó FC,Colombia,Loan,In,2010,s,laliga
