Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Torino Calcio,Federico Magallanes,25,Uruguay,Centre-Forward,CF,-,AC Venezia 1907,Italy,£360Th.,In,2002,s,serie-a
Torino Calcio,Francesco Statuto,30,Italy,Central Midfield,CM,-,Piacenza FC,Italy,?,In,2002,s,serie-a
Torino Calcio,Giammarco Frezza,26,Italy,Left Midfield,LM,-,US Palermo,Italy,?,In,2002,s,serie-a
Torino Calcio,Alessandro Conticchio,28,Italy,Central Midfield,CM,-,US Lecce,Italy,?,In,2002,s,serie-a
Torino Calcio,Alessandro Campo,18,Italy,Right Winger,RW,-,AC Prato,Italy,?,In,2002,s,serie-a
Torino Calcio,Luca Mezzano,24,Italy,Centre-Back,CB,-,FC Internazionale,Italy,?,In,2002,s,serie-a
Torino Calcio,Andrea Soncin,18,Italy,Centre-Back,CB,-,AC Perugia,Italy,?,In,2002,s,serie-a
Torino Calcio,Vincenzo Sommese,26,Italy,Right Winger,RW,-,Piacenza FC,Italy,?,In,2002,s,serie-a
Torino Calcio,Alberto Maria Fontana,27,Italy,Goalkeeper,GK,-,US Palermo,Italy,?,In,2002,s,serie-a
Torino Calcio,Fabio Giordano,18,Italy,Defensive Midfield,DM,-,Torino Primavera,Italy,-,In,2002,s,serie-a
Torino Calcio,Segun Omolade,19,Nigeria,Forward,Forward,-,Torino Primavera,Italy,-,In,2002,s,serie-a
Torino Calcio,Federico Marchetti,19,Italy,Goalkeeper,GK,-,Torino Primavera,Italy,-,In,2002,s,serie-a
Torino Calcio,Ronaldo Vanin,19,Brazil,Right-Back,RB,-,Torino Primavera,Italy,-,In,2002,s,serie-a
Torino Calcio,Stefano Bianciardi,17,Italy,Left-Back,LB,-,Torino Primavera,Italy,-,In,2002,s,serie-a
Torino Calcio,Andrea Mantovani,18,Italy,Centre-Back,CB,-,Torino Primavera,Italy,-,In,2002,s,serie-a
Juventus FC,Marco Di Vaio,26,Italy,Centre-Forward,CF,-,AC Parma,Italy,£18.90m,In,2002,s,serie-a
Juventus FC,Manuele Blasi,21,Italy,Central Midfield,CM,-,AC Perugia,Italy,£15.93m,In,2002,s,serie-a
Juventus FC,Mauro Camoranesi,25,Italy,Right Midfield,RM,-,Hellas Verona,Italy,£7.65m,In,2002,s,serie-a
