Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Atlético Madrid,Falcao,25,Colombia,Centre-Forward,CF,£22.50m,FC Porto,Portugal,£36.00m,In,2011,s,laliga,https://www.transfermarkt.co.uk/falcao/profil/spieler/39152
Atlético Madrid,Arda Turan,24,Turkey,Left Winger,LW,£13.95m,Galatasaray SK,Turkey,£11.70m,In,2011,s,laliga,https://www.transfermarkt.co.uk/arda-turan/profil/spieler/21369
Atlético Madrid,Sílvio,23,Portugal,Right-Back,RB,£6.75m,SC Braga,Portugal,£7.20m,In,2011,s,laliga,https://www.transfermarkt.co.uk/silvio/profil/spieler/84511
Atlético Madrid,Rúben Micael,24,Portugal,Central Midfield,CM,£4.41m,FC Porto,Portugal,£4.50m,In,2011,s,laliga,https://www.transfermarkt.co.uk/ruben-micael/profil/spieler/84491
Atlético Madrid,Gabi,27,Spain,Defensive Midfield,DM,£2.70m,Real Zaragoza,Spain,£2.70m,In,2011,s,laliga,https://www.transfermarkt.co.uk/gabi/profil/spieler/22969
Atlético Madrid,Pizzi,21,Portugal,Right Midfield,RM,£4.14m,SC Braga,Portugal,Loan fee:£1.35m,In,2011,s,laliga,https://www.transfermarkt.co.uk/pizzi/profil/spieler/64339
Atlético Madrid,Thibaut Courtois,19,Belgium,Goalkeeper,GK,£3.60m,Chelsea FC,England,Loan fee:£1.08m,In,2011,s,laliga,https://www.transfermarkt.co.uk/thibaut-courtois/profil/spieler/108390
Atlético Madrid,Adrián López,23,Spain,Centre-Forward,CF,£3.15m,Deportivo de La Coruña,Spain,Free transfer,In,2011,s,laliga,https://www.transfermarkt.co.uk/adrian-lopez/profil/spieler/45383
Atlético Madrid,Diego,26,Brazil,Attacking Midfield,AM,£10.80m,VfL Wolfsburg,Germany,Loan,In,2011,s,laliga,https://www.transfermarkt.co.uk/diego/profil/spieler/4248
Atlético Madrid,Tiago,30,Portugal,Central Midfield,CM,£7.20m,Juventus FC,Italy,Free transfer,In,2011,s,laliga,https://www.transfermarkt.co.uk/tiago/profil/spieler/8538
Atlético Madrid,Miranda,26,Brazil,Centre-Back,CB,£5.85m,São Paulo Futebol Clube,Brazil,Free transfer,In,2011,s,laliga,https://www.transfermarkt.co.uk/miranda/profil/spieler/33357
Atlético Madrid,Dani Pacheco,20,Spain,Left Winger,LW,£90Th.,Liverpool FC,England,Loan,In,2011,s,laliga,https://www.transfermarkt.co.uk/dani-pacheco/profil/spieler/28285
Atlético Madrid,Borja Bastón,18,Spain,Centre-Forward,CF,-,Atlético Madrid B,Spain,-,In,2011,s,laliga,https://www.transfermarkt.co.uk/borja-baston/profil/spieler/85324
Atlético Madrid,Jorge Pulido,20,Spain,Centre-Back,CB,-,Atlético Madrid B,Spain,-,In,2011,s,laliga,https://www.transfermarkt.co.uk/jorge-pulido/profil/spieler/67546
Atlético Madrid,Rubén Pérez,22,Spain,Defensive Midfield,DM,£2.25m,Deportivo de La Coruña,Spain,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/ruben-perez/profil/spieler/113045
Atlético Madrid,Ibrahima Baldé,22,Senegal,Centre-Forward,CF,£900Th.,CD Numancia,Spain,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/ibrahima-balde/profil/spieler/134497
Atlético Madrid,Eduardo Salvio,20,Argentina,Right Winger,RW,£9.00m,SL Benfica,Portugal,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/eduardo-salvio/profil/spieler/84535
Atlético Madrid,Leandro Cabrera,20,Uruguay,Centre-Back,CB,£720Th.,Recreativo Huelva,Spain,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/leandro-cabrera/profil/spieler/102423
Atlético Madrid,Sergio Asenjo,22,Spain,Goalkeeper,GK,£4.50m,Málaga CF,Spain,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/sergio-asenjo/profil/spieler/51710
FC Barcelona,Cesc Fàbregas,24,Spain,Central Midfield,CM,£48.60m,Arsenal FC,England,£30.60m,In,2011,s,laliga,https://www.transfermarkt.co.uk/cesc-fabregas/profil/spieler/8806
FC Barcelona,Alexis Sánchez,22,Chile,Left Winger,LW,£22.50m,Udinese Calcio,Italy,£23.40m,In,2011,s,laliga,https://www.transfermarkt.co.uk/alexis-sanchez/profil/spieler/40433
FC Barcelona,Thiago,20,Spain,Central Midfield,CM,£4.50m,FC Barcelona B,Spain,-,In,2011,s,laliga,https://www.transfermarkt.co.uk/thiago/profil/spieler/60444
FC Barcelona,Zlatan Ibrahimovic,29,Sweden,Centre-Forward,CF,£31.50m,AC Milan,Italy,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/zlatan-ibrahimovic/profil/spieler/3455
FC Barcelona,Henrique,24,Brazil,Centre-Back,CB,£4.50m,Racing Santander,Spain,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/henrique/profil/spieler/52513
FC Barcelona,Martín Cáceres,24,Uruguay,Centre-Back,CB,£6.30m,Sevilla FC,Spain,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/martin-caceres/profil/spieler/54935
FC Barcelona,Víctor Sánchez,23,Spain,Central Midfield,CM,£900Th.,Getafe CF,Spain,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/victor-sanchez/profil/spieler/63290
FC Barcelona,Aleksandr Hleb,30,Belarus,Attacking Midfield,AM,£4.50m,Birmingham City,England,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/aleksandr-hleb/profil/spieler/597
FC Barcelona,Keirrison,22,Brazil,Centre-Forward,CF,£1.80m,Santos FC,Brazil,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/keirrison/profil/spieler/68821
Real Zaragoza,Roberto,25,Spain,Goalkeeper,GK,£5.04m,SL Benfica,Portugal,£7.74m,In,2011,s,laliga,https://www.transfermarkt.co.uk/roberto/profil/spieler/37403
Real Zaragoza,Hélder Postiga,29,Portugal,Centre-Forward,CF,£6.03m,Sporting CP,Portugal,£1.17m,In,2011,s,laliga,https://www.transfermarkt.co.uk/helder-postiga/profil/spieler/5169
Real Zaragoza,Luis García,30,Spain,Central Midfield,CM,£4.50m,RCD Espanyol Barcelona,Spain,£900Th.,In,2011,s,laliga,https://www.transfermarkt.co.uk/luis-garcia/profil/spieler/8006
Real Zaragoza,Franco Zuculini,20,Argentina,Central Midfield,CM,£2.70m,TSG 1899 Hoffenheim,Germany,Loan fee:£360Th.,In,2011,s,laliga,https://www.transfermarkt.co.uk/franco-zuculini/profil/spieler/73083
Real Zaragoza,David Mateos,24,Spain,Centre-Back,CB,£450Th.,Real Madrid Castilla,Spain,Loan fee:£180Th.,In,2011,s,laliga,https://www.transfermarkt.co.uk/david-mateos/profil/spieler/45304
Real Zaragoza,Abraham Minero,25,Spain,Left-Back,LB,£630Th.,FC Barcelona B,Spain,Free transfer,In,2011,s,laliga,https://www.transfermarkt.co.uk/abraham-minero/profil/spieler/95483
Real Zaragoza,Fernando Meira,33,Portugal,Centre-Back,CB,£1.80m,Zenit St. Petersburg,Russia,Free transfer,In,2011,s,laliga,https://www.transfermarkt.co.uk/fernando-meira/profil/spieler/1432
Real Zaragoza,Antonio Tomás,26,Spain,Central Midfield,CM,£1.80m,Deportivo de La Coruña,Spain,Free transfer,In,2011,s,laliga,https://www.transfermarkt.co.uk/antonio-tomas/profil/spieler/37340
Real Zaragoza,Edu Oriol,24,Spain,Left Winger,LW,£360Th.,FC Barcelona B,Spain,Free transfer,In,2011,s,laliga,https://www.transfermarkt.co.uk/edu-oriol/profil/spieler/95488
Real Zaragoza,Efraín Juárez,23,Mexico,Right-Back,RB,£2.25m,Celtic FC,Scotland,Loan,In,2011,s,laliga,https://www.transfermarkt.co.uk/efrain-juarez/profil/spieler/66130
Real Zaragoza,Juankar,21,Spain,Left-Back,LB,-,SC Braga,Portugal,Loan,In,2011,s,laliga,https://www.transfermarkt.co.uk/juankar/profil/spieler/126625
Real Zaragoza,Pablo Barrera,24,Mexico,Right Winger,RW,£3.15m,West Ham United,England,Loan,In,2011,s,laliga,https://www.transfermarkt.co.uk/pablo-barrera/profil/spieler/51079
Real Zaragoza,Rúben Micael,24,Portugal,Central Midfield,CM,£4.41m,Atlético Madrid,Spain,Loan,In,2011,s,laliga,https://www.transfermarkt.co.uk/ruben-micael/profil/spieler/84491
Real Zaragoza,Pablo,22,Brazil,Right Midfield,RM,£675Th.,Cruzeiro Esporte Clube,Brazil,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/pablo/profil/spieler/74753
Real Zaragoza,Raúl Goni,22,Spain,Centre-Back,CB,-,Real Madrid Castilla,Spain,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/raul-goni/profil/spieler/61869
Real Betis Balompié,Roque Santa Cruz,30,Paraguay,Centre-Forward,CF,£3.60m,Manchester City,England,Loan fee:£1.35m,In,2011,s,laliga,https://www.transfermarkt.co.uk/roque-santa-cruz/profil/spieler/215
Real Betis Balompié,Javier Matilla,22,Spain,Central Midfield,CM,£1.35m,Villarreal CF,Spain,£1.22m,In,2011,s,laliga,https://www.transfermarkt.co.uk/javier-matilla/profil/spieler/73269
Real Betis Balompié,Dusko Tosic,26,Serbia,Centre-Back,CB,£900Th.,Red Star Belgrade,Serbia,Loan fee:£270Th.,In,2011,s,laliga,https://www.transfermarkt.co.uk/dusko-tosic/profil/spieler/17184
Real Betis Balompié,Antonio Amaya,28,Spain,Centre-Back,CB,£720Th.,Wigan Athletic,England,£257Th.,In,2011,s,laliga,https://www.transfermarkt.co.uk/antonio-amaya/profil/spieler/71904
Real Betis Balompié,Javi Chica,26,Spain,Right-Back,RB,£1.80m,RCD Espanyol Barcelona,Spain,Free transfer,In,2011,s,laliga,https://www.transfermarkt.co.uk/javi-chica/profil/spieler/44860
Real Betis Balompié,Fabri,23,Spain,Goalkeeper,GK,£450Th.,Real Valladolid CF,Spain,Free transfer,In,2011,s,laliga,https://www.transfermarkt.co.uk/fabri/profil/spieler/45882
Real Betis Balompié,Mario Álvarez,29,Spain,Centre-Back,CB,£1.35m,Getafe CF,Spain,Free transfer,In,2011,s,laliga,https://www.transfermarkt.co.uk/mario-alvarez/profil/spieler/7803
Real Betis Balompié,Jefferson Montero,21,Ecuador,Left Winger,LW,£2.70m,Villarreal CF,Spain,Loan,In,2011,s,laliga,https://www.transfermarkt.co.uk/jefferson-montero/profil/spieler/77932
Real Betis Balompié,Ustaritz,28,Spain,Centre-Back,CB,£1.62m,Athletic Bilbao,Spain,Loan,In,2011,s,laliga,https://www.transfermarkt.co.uk/ustaritz/profil/spieler/35554
Real Betis Balompié,Mariano Pavone,29,Argentina,Centre-Forward,CF,£1.08m,Club Atlético River Plate,Argentina,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/mariano-pavone/profil/spieler/27462
Real Betis Balompié,Rodri,25,Spain,Right Midfield,RM,£540Th.,FC Cartagena,Spain,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/rodri/profil/spieler/63725
Real Betis Balompié,Juande,24,Spain,Defensive Midfield,DM,£810Th.,Granada CF,Spain,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/juande/profil/spieler/36355
Real Betis Balompié,Nélson,28,Portugal,Right-Back,RB,£2.70m,CA Osasuna,Spain,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/nelson/profil/spieler/17555
RCD Mallorca,Marvin Ogunjimi,23,Belgium,Centre-Forward,CF,£3.15m,KRC Genk,Belgium,£2.16m,In,2011,s,laliga,https://www.transfermarkt.co.uk/marvin-ogunjimi/profil/spieler/33870
RCD Mallorca,Alejandro Alfaro,24,Spain,Left Winger,LW,£2.70m,Sevilla FC,Spain,£540Th.,In,2011,s,laliga,https://www.transfermarkt.co.uk/alejandro-alfaro/profil/spieler/39783
RCD Mallorca,Pablo Cáceres,26,Uruguay,Left-Back,LB,£270Th.,Club Atlético Tigre,Argentina,£360Th.,In,2011,s,laliga,https://www.transfermarkt.co.uk/pablo-caceres/profil/spieler/40790
RCD Mallorca,Chico,24,Spain,Centre-Back,CB,£2.70m,Genoa CFC,Italy,Loan fee:£180Th.,In,2011,s,laliga,https://www.transfermarkt.co.uk/chico/profil/spieler/51681
RCD Mallorca,Gianni Zuiverloon,24,Netherlands,Centre-Back,CB,£3.60m,West Bromwich Albion,England,Free transfer,In,2011,s,laliga,https://www.transfermarkt.co.uk/gianni-zuiverloon/profil/spieler/27304
RCD Mallorca,Juan Calatayud,31,Spain,Goalkeeper,GK,£2.25m,Hércules CF,Spain,Free transfer,In,2011,s,laliga,https://www.transfermarkt.co.uk/juan-calatayud/profil/spieler/15980
RCD Mallorca,Tomer Hemed,24,Israel,Centre-Forward,CF,£450Th.,Maccabi Haifa,Israel,Free transfer,In,2011,s,laliga,https://www.transfermarkt.co.uk/tomer-hemed/profil/spieler/112668
RCD Mallorca,Fernando Tissone,25,Argentina,Central Midfield,CM,£2.16m,UC Sampdoria,Italy,Loan,In,2011,s,laliga,https://www.transfermarkt.co.uk/fernando-tissone/profil/spieler/35871
RCD Mallorca,Óscar Trejo,23,Argentina,Attacking Midfield,AM,£1.35m,Rayo Vallecano,Spain,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/oscar-trejo/profil/spieler/30321
RCD Mallorca,Edson Ratinho,25,Brazil,Right-Back,RB,£900Th.,São Paulo Futebol Clube,Brazil,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/edson-ratinho/profil/spieler/50778
RCD Mallorca,Tuni,29,Spain,Right Winger,RW,£810Th.,Gimnàstic de Tarragona,Spain,"End of loanJun 30, 2011",In,2011,s,laliga,https://www.transfermarkt.co.uk/tuni/profil/spieler/26062
CA Osasuna,Roland Lamah,23,Belgium,Left Winger,LW,£900Th.,FC Le Mans,France,£1.35m,In,2011,s,laliga,https://www.transfermarkt.co.uk/roland-lamah/profil/spieler/35035
CA Osasuna,Ibrahima Baldé,22,Senegal,Centre-Forward,CF,£900Th.,Atlético Madrid,Spain,£900Th.,In,2011,s,laliga,https://www.transfermarkt.co.uk/ibrahima-balde/profil/spieler/134497
CA Osasuna,Jukka Raitala,22,Finland,Left-Back,LB,£675Th.,TSG 1899 Hoffenheim,Germany,Loan fee:£90Th.,In,2011,s,laliga,https://www.transfermarkt.co.uk/jukka-raitala/profil/spieler/47785
CA Osasuna,Marc Bertrán,29,Spain,Right-Back,RB,£1.62m,CD Tenerife,Spain,Free transfer,In,2011,s,laliga,https://www.transfermarkt.co.uk/marc-bertran/profil/spieler/15761
CA Osasuna,Rubén González,29,Spain,Centre-Back,CB,£1.08m,RCD Mallorca,Spain,Free transfer,In,2011,s,laliga,https://www.transfermarkt.co.uk/ruben-gonzalez/profil/spieler/7519
CA Osasuna,Nino,31,Spain,Centre-Forward,CF,£2.25m,CD Tenerife,Spain,?,In,2011,s,laliga,https://www.transfermarkt.co.uk/nino/profil/spieler/29178
CA Osasuna,Raúl García,25,Spain,Attacking Midfield,AM,£3.60m,Atlético Madrid,Spain,Loan,In,2011,s,laliga,https://www.transfermarkt.co.uk/raul-garcia/profil/spieler/34601
CA Osasuna,Xavier Annunziata,23,Spain,Left Winger,LW,-,CA Osasuna Promesas,Spain,-,In,2011,s,laliga,https://www.transfermarkt.co.uk/xavier-annunziata/profil/spieler/94910
