Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Manchester United,Dimitar Berbatov,27,Bulgaria,Centre-Forward,CF,£23.40m,Tottenham Hotspur,England,£34.20m,In,2008,s,premier-league,https://www.transfermarkt.co.uk/dimitar-berbatov/profil/spieler/65
Manchester United,Danny Simpson,22,England,Right-Back,RB,£900Th.,Blackburn Rovers,England,"End of loanMay 8, 2009",In,2008,s,premier-league,https://www.transfermarkt.co.uk/danny-simpson/profil/spieler/37442
Manchester United,David Gray,20,Scotland,Right-Back,RB,£90Th.,Plymouth Argyle,England,"End of loanMay 1, 2009",In,2008,s,premier-league,https://www.transfermarkt.co.uk/david-gray/profil/spieler/37678
Manchester United,Fábio,17,Brazil,Right-Back,RB,-,Manchester United U18,England,-,In,2008,s,premier-league,https://www.transfermarkt.co.uk/fabio/profil/spieler/61891
Manchester United,James Chester,19,Wales,Centre-Back,CB,-,Manchester United U18,England,-,In,2008,s,premier-league,https://www.transfermarkt.co.uk/james-chester/profil/spieler/73482
Manchester United,Tom Cleverley,18,England,Central Midfield,CM,-,Manchester United U18,England,-,In,2008,s,premier-league,https://www.transfermarkt.co.uk/tom-cleverley/profil/spieler/73484
Manchester United,Sam Hewson,20,England,Central Midfield,CM,-,Hereford United (liq.),England,"End of loanMay 1, 2009",In,2008,s,premier-league,https://www.transfermarkt.co.uk/sam-hewson/profil/spieler/73514
Manchester United,Tom Cleverley,19,England,Central Midfield,CM,-,Leicester City,England,"End of loanMay 25, 2009",In,2008,s,premier-league,https://www.transfermarkt.co.uk/tom-cleverley/profil/spieler/73484
Manchester United,Danny Welbeck,17,England,Centre-Forward,CF,-,Manchester United U18,England,-,In,2008,s,premier-league,https://www.transfermarkt.co.uk/danny-welbeck/profil/spieler/67063
Manchester United,Danny Drinkwater,18,England,Central Midfield,CM,-,Manchester United U18,England,-,In,2008,s,premier-league,https://www.transfermarkt.co.uk/danny-drinkwater/profil/spieler/73491
Manchester United,Manucho,26,Angola,Centre-Forward,CF,£1.80m,Hull City,England,"End of loanMay 1, 2009",In,2008,s,premier-league,https://www.transfermarkt.co.uk/manucho/profil/spieler/64484
Manchester United,Tom Heaton,23,England,Goalkeeper,GK,£1.35m,Cardiff City,England,"End of loanMay 31, 2009",In,2008,s,premier-league,https://www.transfermarkt.co.uk/tom-heaton/profil/spieler/34130
Manchester United,Rafael,17,Brazil,Right-Back,RB,-,Manchester United U18,England,-,In,2008,s,premier-league,https://www.transfermarkt.co.uk/rafael/profil/spieler/61892
Manchester United,Ben Amos,18,England,Goalkeeper,GK,-,Manchester United U18,England,-,In,2008,s,premier-league,https://www.transfermarkt.co.uk/ben-amos/profil/spieler/73472
Manchester United,Darron Gibson,20,Ireland,Central Midfield,CM,£270Th.,Manchester United U23,England,-,In,2008,s,premier-league,https://www.transfermarkt.co.uk/darron-gibson/profil/spieler/42413
Manchester United,Manucho,25,Angola,Centre-Forward,CF,£1.80m,Panathinaikos Athens,Greece,"End of loanJun 30, 2008",In,2008,s,premier-league,https://www.transfermarkt.co.uk/manucho/profil/spieler/64484
