Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
FC Internazionale,Ricardo Quaresma,24,Portugal,Right Winger,RW,£20.70m,FC Porto,Portugal,£22.14m,In,2008,s,serie-a,https://www.transfermarkt.co.uk/ricardo-quaresma/profil/spieler/4188
FC Internazionale,Sulley Muntari,23,Ghana,Central Midfield,CM,£10.80m,Portsmouth FC,England,£12.60m,In,2008,s,serie-a,https://www.transfermarkt.co.uk/sulley-muntari/profil/spieler/17129
FC Internazionale,Mancini,27,Brazil,Left Winger,LW,£15.75m,AS Roma,Italy,£11.70m,In,2008,s,serie-a,https://www.transfermarkt.co.uk/mancini/profil/spieler/15291
FC Internazionale,Luis Jiménez,24,Chile,Attacking Midfield,AM,£8.10m,Ternana Calcio,Italy,£5.67m,In,2008,s,serie-a,https://www.transfermarkt.co.uk/luis-jimenez/profil/spieler/21821
FC Internazionale,Philippe Coutinho,16,Brazil,Attacking Midfield,AM,-,Club de Regatas Vasco da Gama U17,Brazil,£3.42m,In,2008,s,serie-a,https://www.transfermarkt.co.uk/philippe-coutinho/profil/spieler/80444
FC Internazionale,Riccardo Meggiorini,23,Italy,Second Striker,SS,£1.35m,AS Cittadella,Italy,£2.25m,In,2008,s,serie-a,https://www.transfermarkt.co.uk/riccardo-meggiorini/profil/spieler/28936
FC Internazionale,Victor Obinna,21,Nigeria,Second Striker,SS,£4.50m,Chievo Verona,Italy,£1.08m,In,2008,s,serie-a,https://www.transfermarkt.co.uk/victor-obinna/profil/spieler/35852
FC Internazionale,Hernán Crespo,32,Argentina,Centre-Forward,CF,£9.90m,Chelsea FC,England,Free transfer,In,2008,s,serie-a,https://www.transfermarkt.co.uk/hernan-crespo/profil/spieler/3410
FC Internazionale,Zule,18,Spain,Left Winger,LW,-,Málaga CF,Spain,?,In,2008,s,serie-a,https://www.transfermarkt.co.uk/zule/profil/spieler/247192
FC Internazionale,Dennis Esposito,20,Italy,Centre-Back,CB,-,Inter Milan Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/dennis-esposito/profil/spieler/84565
FC Internazionale,Luca Siligardi,20,Italy,Right Winger,RW,-,Inter Milan Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/luca-siligardi/profil/spieler/86079
FC Internazionale,Paolo Tornaghi,20,Italy,Goalkeeper,GK,£45Th.,Inter Milan Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/paolo-tornaghi/profil/spieler/45583
FC Internazionale,Davide Santon,17,Italy,Right-Back,RB,-,Inter Milan Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/davide-santon/profil/spieler/84344
FC Internazionale,Gabriele Puccio,18,Italy,Central Midfield,CM,-,Inter Milan Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/gabriele-puccio/profil/spieler/84546
FC Internazionale,Alberto Gerbo,19,Italy,Central Midfield,CM,-,Inter Milan Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/alberto-gerbo/profil/spieler/88690
FC Internazionale,Andrea Mei,19,Italy,Centre-Back,CB,-,Inter Milan Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/andrea-mei/profil/spieler/84323
AS Roma,Jérémy Ménez,21,France,Right Winger,RW,£6.75m,AS Monaco,France,£10.80m,In,2008,s,serie-a,https://www.transfermarkt.co.uk/jeremy-menez/profil/spieler/16993
AS Roma,Júlio Baptista,26,Brazil,Attacking Midfield,AM,£9.90m,Real Madrid,Spain,£9.00m,In,2008,s,serie-a,https://www.transfermarkt.co.uk/julio-baptista/profil/spieler/15952
AS Roma,John Arne Riise,27,Norway,Left-Back,LB,£11.25m,Liverpool FC,England,£4.95m,In,2008,s,serie-a,https://www.transfermarkt.co.uk/john-arne-riise/profil/spieler/3220
AS Roma,Simone Loria,31,Italy,Centre-Back,CB,£3.33m,AC Siena,Italy,£2.52m,In,2008,s,serie-a,https://www.transfermarkt.co.uk/simone-loria/profil/spieler/20741
AS Roma,Vitorino Antunes,21,Portugal,Left-Back,LB,£900Th.,FC Paços de Ferreira,Portugal,£1.08m,In,2008,s,serie-a,https://www.transfermarkt.co.uk/vitorino-antunes/profil/spieler/44699
AS Roma,Artur Moraes,27,Brazil,Goalkeeper,GK,£360Th.,AC Siena,Italy,£675Th.,In,2008,s,serie-a,https://www.transfermarkt.co.uk/artur-moraes/profil/spieler/20394
AS Roma,Leandro Greco,21,Italy,Central Midfield,CM,£90Th.,Hellas Verona,Italy,£135Th.,In,2008,s,serie-a,https://www.transfermarkt.co.uk/leandro-greco/profil/spieler/39831
AS Roma,Filipe,21,Brazil,Defensive Midfield,DM,-,Fiorentina Primavera,Italy,Free transfer,In,2008,s,serie-a,https://www.transfermarkt.co.uk/filipe/profil/spieler/34779
AS Roma,Federico Maria Erba,19,Italy,Centre-Back,CB,-,Roma Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/federico-maria-erba/profil/spieler/55784
AS Roma,Cristian Palumbo,19,Italy,Defender,Defender,-,Roma Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/cristian-palumbo/profil/spieler/55776
AS Roma,Giuliano Falco,19,Italy,Centre-Back,CB,-,Roma Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/giuliano-falco/profil/spieler/55785
AS Roma,Mirco Zazza,18,Italy,Centre-Back,CB,-,Roma Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/mirco-zazza/profil/spieler/107984
AS Roma,Manuel Mancini,19,Italy,Left Midfield,LM,-,Roma Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/manuel-mancini/profil/spieler/55790
AS Roma,Marco Viviano,19,Italy,Central Midfield,CM,-,Roma Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/marco-viviano/profil/spieler/55797
AS Roma,Alessandro Triola,17,Italy,Right Winger,RW,-,Roma Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/alessandro-triola/profil/spieler/107978
AS Roma,João Paulo,19,Brazil,Right Midfield,RM,-,Roma Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/joao-paulo/profil/spieler/99926
AS Roma,Alessandro Ianniciello,20,Italy,Centre-Back,CB,-,Roma Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/alessandro-ianniciello/profil/spieler/55771
AS Roma,Emiliano Tortolano,19,Italy,Right Winger,RW,-,Roma Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/emiliano-tortolano/profil/spieler/125710
AS Roma,Claudio Della Penna,19,Italy,Attacking Midfield,AM,£90Th.,Roma Primavera,Italy,-,In,2008,s,serie-a,https://www.transfermarkt.co.uk/claudio-della-penna/profil/spieler/55783
AC Milan,Ronaldinho,28,Brazil,Attacking Midfield,AM,£31.50m,FC Barcelona,Spain,£21.74m,In,2008,s,serie-a,https://www.transfermarkt.co.uk/ronaldinho/profil/spieler/3373
AC Milan,Gianluca Zambrotta,31,Italy,Right-Back,RB,£14.40m,FC Barcelona,Spain,£9.45m,In,2008,s,serie-a,https://www.transfermarkt.co.uk/gianluca-zambrotta/profil/spieler/5757
