Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
AC Milan,Jaap Stam,31,Netherlands,Centre-Back,CB,-,SS Lazio,Italy,£9.45m,In,2004,s,serie-a
AC Milan,Hernán Crespo,29,Argentina,Centre-Forward,CF,-,Chelsea FC,England,Loan,In,2004,s,serie-a
AC Milan,Sandro Bloudek,18,Slovenia,Attacking Midfield,AM,-,NK Maribor U19,Slovenia,Free transfer,In,2004,s,serie-a
AC Milan,Vikash Dhorasoo,30,France,Central Midfield,CM,-,Olympique Lyon,France,Free transfer,In,2004,s,serie-a
AS Roma,Matteo Brighi,23,Italy,Central Midfield,CM,-,Juventus FC,Italy,£14.40m,In,2004,s,serie-a
AS Roma,Simone Perrotta,26,Italy,Attacking Midfield,AM,-,Chievo Verona,Italy,£6.48m,In,2004,s,serie-a
AS Roma,Matteo Ferrari,24,Italy,Centre-Back,CB,-,Parma FC,Italy,£6.30m,In,2004,s,serie-a
AS Roma,Philippe Mexès,22,France,Centre-Back,CB,-,AJ Auxerre,France,£6.30m,In,2004,s,serie-a
AS Roma,Mido,21,Egypt,Centre-Forward,CF,-,Olympique Marseille,France,£5.40m,In,2004,s,serie-a
AS Roma,Cesare Bovo,21,Italy,Centre-Back,CB,-,US Lecce,Italy,£9Th.,In,2004,s,serie-a
AS Roma,Valerio Virga,18,Italy,Right-Back,RB,-,Roma Primavera,Italy,-,In,2004,s,serie-a
AS Roma,Giuseppe Scurto,20,Italy,Centre-Back,CB,-,Roma Primavera,Italy,-,In,2004,s,serie-a
AS Roma,Luigi Stillo,20,Italy,Midfielder,Midfielder,-,Roma Primavera,Italy,-,In,2004,s,serie-a
AS Roma,Gianluca Curci,18,Italy,Goalkeeper,GK,-,Roma Primavera,Italy,-,In,2004,s,serie-a
AS Roma,Pietro Pipolo,18,Italy,Goalkeeper,GK,-,Roma Primavera,Italy,-,In,2004,s,serie-a
AS Roma,Simone Piva,20,Italy,Left-Back,LB,-,Roma Primavera,Italy,-,In,2004,s,serie-a
AS Roma,Andrea Briotti,18,Italy,Left-Back,LB,-,Roma Primavera,Italy,-,In,2004,s,serie-a
AS Roma,Leandro Greco,17,Italy,Central Midfield,CM,-,Roma Primavera,Italy,-,In,2004,s,serie-a
FC Internazionale,Nicolás Burdisso,23,Argentina,Centre-Back,CB,-,Club Atlético Boca Juniors,Argentina,£3.15m,In,2004,s,serie-a
FC Internazionale,Edgar Davids,31,Netherlands,Central Midfield,CM,-,Juventus FC,Italy,Free transfer,In,2004,s,serie-a
FC Internazionale,Esteban Cambiasso,23,Argentina,Defensive Midfield,DM,-,Real Madrid,Spain,Free transfer,In,2004,s,serie-a
FC Internazionale,Sinisa Mihajlovic,35,Serbia,Centre-Back,CB,-,SS Lazio,Italy,Free transfer,In,2004,s,serie-a
FC Internazionale,Juan Sebastián Verón,29,Argentina,Central Midfield,CM,-,Chelsea FC,England,Loan,In,2004,s,serie-a
FC Internazionale,Fabián Carini,24,Uruguay,Goalkeeper,GK,-,Juventus FC,Italy,Free transfer,In,2004,s,serie-a
FC Internazionale,Giuseppe Favalli,32,Italy,Left-Back,LB,-,SS Lazio,Italy,Free transfer,In,2004,s,serie-a
FC Internazionale,Lampros Choutos,24,Greece,Centre-Forward,CF,-,Olympiacos Piraeus,Greece,Free transfer,In,2004,s,serie-a
FC Internazionale,Zé Maria,30,Brazil,Right-Back,RB,-,AC Perugia,Italy,Free transfer,In,2004,s,serie-a
FC Internazionale,Ilario Aloe,17,Italy,Right Winger,RW,-,Varese 1910,Italy,?,In,2004,s,serie-a
FC Internazionale,Riccardo Meggiorini,18,Italy,Second Striker,SS,-,Inter Milan Primavera,Italy,-,In,2004,s,serie-a
FC Internazionale,Carl Valeri,19,Australia,Central Midfield,CM,-,Inter Milan Primavera,Italy,-,In,2004,s,serie-a
Parma FC,Massimo Maccarone,24,Italy,Centre-Forward,CF,-,Middlesbrough FC,England,Loan fee:£900Th.,In,2004,s,serie-a
Parma FC,Matteo Contini,24,Italy,Centre-Back,CB,-,US Avellino,Italy,£522Th.,In,2004,s,serie-a
Parma FC,Alessandro Budel,23,Italy,Defensive Midfield,DM,-,AC Milan,Italy,Loan fee:£360Th.,In,2004,s,serie-a
Parma FC,Cesare Bovo,21,Italy,Centre-Back,CB,-,AS Roma,Italy,Loan fee:£90Th.,In,2004,s,serie-a
Parma FC,Gianluca Berti,37,Italy,Goalkeeper,GK,-,US Palermo,Italy,Free transfer,In,2004,s,serie-a
Parma FC,Vince Grella,24,Australia,Central Midfield,CM,-,FC Empoli,Italy,Free transfer,In,2004,s,serie-a
Parma FC,Fábio Simplício,24,Brazil,Central Midfield,CM,-,São Paulo Futebol Clube,Brazil,Free transfer,In,2004,s,serie-a
Parma FC,Andrea Pisanu,22,Italy,Right Midfield,RM,-,Hellas Verona,Italy,?,In,2004,s,serie-a
Parma FC,Mario Rebecchi,20,Italy,Central Midfield,CM,-,FC Internazionale,Italy,?,In,2004,s,serie-a
