Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Cardiff City,Charlie Oatway,20,England,Central Midfield,CM,-,Yeading FC,England,Free transfer,In,1994,s,championship
Cardiff City,Wayne Fereday,31,England,Right Winger,RW,-,West Bromwich Albion,England,?,In,1994,s,championship
Cardiff City,Mark Aizlewood,34,Wales,Centre-Back,CB,-,Bristol City,England,?,In,1994,s,championship
Cardiff City,Paul Ramsey,31,Northern Ireland,Defensive Midfield,DM,-,St. Johnstone FC,Scotland,Loan,In,1994,s,championship
Cardiff City,Scott Young,18,Wales,Centre-Back,CB,-,Cardiff City U18,Wales,-,In,1994,s,championship
Fulham FC,Micky Adams,32,England,Left-Back,LB,-,Southampton FC,England,Free transfer,In,1994,s,championship
Fulham FC,Alan Cork,35,England,Forward,Forward,-,Sheffield United,England,Free transfer,In,1994,s,championship
Fulham FC,Tony Finnigan,31,England,Central Midfield,CM,-,Enfield FC,England,Free transfer,In,1994,s,championship
Fulham FC,Mark Stallard,19,England,Centre-Forward,CF,-,Derby County,England,Loan,In,1994,s,championship
Fulham FC,Kevin Moore,36,England,Defender,Defender,-,Southampton FC,England,Free transfer,In,1994,s,championship
Fulham FC,Mark Blake,26,England,Centre-Back,CB,-,Shrewsbury Town,England,Free transfer,In,1994,s,championship
Fulham FC,Terry Hurlock,35,England,Central Midfield,CM,-,Southampton FC,England,?,In,1994,s,championship
Huddersfield Town,Robbie Ryan,17,Ireland,Left-Back,LB,-,Belvedere FC,Ireland,Free transfer,In,1994,s,championship
Huddersfield Town,Gary Crosby,30,England,Midfielder,Midfielder,-,Nottingham Forest,England,Free transfer,In,1994,s,championship
Huddersfield Town,Kevin Gray,22,England,Centre-Back,CB,-,Mansfield Town,England,£27k,In,1994,s,championship
Huddersfield Town,Tom Cowan,24,Scotland,Left-Back,LB,-,Sheffield United,England,?,In,1994,s,championship
Huddersfield Town,Sam Collins,17,England,Centre-Back,CB,-,Huddersfield Town U18,England,-,In,1994,s,championship
Leeds United,Carlton Palmer,28,England,Defensive Midfield,DM,-,Sheffield Wednesday,England,£2.84m,In,1994,s,championship
Leeds United,Nigel Worthington,32,Northern Ireland,Left-Back,LB,-,Sheffield Wednesday,England,£360k,In,1994,s,championship
Leeds United,Lucas Radebe,25,South Africa,Centre-Back,CB,-,Kaizer Chiefs,South Africa,£338k,In,1994,s,championship
Leeds United,Philemon Masinga,25,South Africa,Centre-Forward,CF,-,Mamelodi Sundowns FC,South Africa,?,In,1994,s,championship
Leeds United,Paul Pettinger,19,England,Goalkeeper,GK,-,FC Halifax Town,England,"End of loanMay 1, 1995",In,1994,s,championship
Leeds United,Ryan Nicholls,21,Wales,Forward,Forward,-,Strømsgodset IF,Norway,"End of loanAug 31, 1994",In,1994,s,championship
Leeds United,Nathan Lowndes,17,England,Centre-Forward,CF,-,Leeds United U18,England,-,In,1994,s,championship
West Bromwich Albion,Mike Phelan,31,England,Defensive Midfield,DM,-,Manchester United,England,Free transfer,In,1994,s,championship
West Bromwich Albion,Jeroen Boere,26,Netherlands,Centre-Forward,CF,-,West Ham United,England,Loan,In,1994,s,championship
Derby County,Andy Quy,17,England,Goalkeeper,GK,-,Tottenham Hotspur,England,Free transfer,In,1994,s,championship
Derby County,Ian Ashbee,17,England,Defensive Midfield,DM,-,Derby County U18,England,-,In,1994,s,championship
Derby County,Darren Wrack,18,England,Central Midfield,CM,-,Derby County U18,England,-,In,1994,s,championship
