Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Borussia Dortmund,Sunday Oliseh,25,Nigeria,Defensive Midfield,DM,-,Juventus FC,Italy,£6.75m,In,2000,s,1-bundesliga
Borussia Dortmund,Jörg Heinrich,30,Germany,Left-Back,LB,-,AC Fiorentina,Italy,£3.69m,In,2000,s,1-bundesliga
Borussia Dortmund,Dr. Philipp Laux,27,Germany,Goalkeeper,GK,-,SSV Ulm 1846,Germany,£203Th.,In,2000,s,1-bundesliga
Borussia Dortmund,Christoph Metzelder,19,Germany,Centre-Back,CB,-,Preußen Münster,Germany,£180Th.,In,2000,s,1-bundesliga
Borussia Dortmund,Francis Bugri,19,Germany,Attacking Midfield,AM,-,Borussia Dortmund II,Germany,-,In,2000,s,1-bundesliga
Bayer 04 Leverkusen,Marquinhos,18,Brazil,Attacking Midfield,AM,-,Avaí Futebol Clube (SC),Brazil,£4.05m,In,2000,s,1-bundesliga
Bayer 04 Leverkusen,Pascal Ojigwe,23,Nigeria,Defensive Midfield,DM,-,1. FC Köln,Germany,£1.89m,In,2000,s,1-bundesliga
Bayer 04 Leverkusen,Pascal Zuberbühler,29,Switzerland,Goalkeeper,GK,-,FC Basel 1893,Switzerland,Loan fee:£1.35m,In,2000,s,1-bundesliga
Bayer 04 Leverkusen,Andreas Neuendorf,25,Germany,Central Midfield,CM,-,Hertha BSC,Germany,£675Th.,In,2000,s,1-bundesliga
Bayer 04 Leverkusen,Seyed Ali Mousavi,26,Iran,Centre-Forward,CF,-,SC Fortuna Köln,Germany,?,In,2000,s,1-bundesliga
Bayer 04 Leverkusen,Tom Starke,19,Germany,Goalkeeper,GK,-,Bayer 04 Leverkusen U19,Germany,-,In,2000,s,1-bundesliga
Bayer 04 Leverkusen,Landon Donovan,18,United States,Second Striker,SS,-,Bayer 04 Leverkusen II,Germany,-,In,2000,s,1-bundesliga
Bayer 04 Leverkusen,Anel Dzaka,19,Germany,Attacking Midfield,AM,-,Bayer 04 Leverkusen II,Germany,-,In,2000,s,1-bundesliga
Bayer 04 Leverkusen,Mehdi Pashazadeh,26,Iran,Centre-Back,CB,-,SC Fortuna Köln,Germany,"End of loanJun 30, 2000",In,2000,s,1-bundesliga
Bayer 04 Leverkusen,Andreas Voss,21,Germany,Defensive Midfield,DM,-,MSV Duisburg,Germany,"End of loanJun 30, 2000",In,2000,s,1-bundesliga
Bayern Munich,Willy Sagnol,23,France,Right-Back,RB,-,AS Monaco,France,£6.93m,In,2000,s,1-bundesliga
Bayern Munich,Ciriaco Sforza,30,Switzerland,Central Midfield,CM,-,1.FC Kaiserslautern,Germany,£2.07m,In,2000,s,1-bundesliga
Bayern Munich,Alou Diarra,18,France,Defensive Midfield,DM,-,CS Louhans-Cuiseaux 71,France,Free transfer,In,2000,s,1-bundesliga
Bayern Munich,Owen Hargreaves,19,England,Defensive Midfield,DM,-,FC Bayern Munich II,Germany,-,In,2000,s,1-bundesliga
Bayern Munich,Berkant Göktan,19,Turkey,Centre-Forward,CF,-,Arminia Bielefeld,Germany,"End of loanJun 30, 2000",In,2000,s,1-bundesliga
Bayern Munich,Alexander Bugera,21,Germany,Left-Back,LB,-,MSV Duisburg,Germany,"End of loanJun 30, 2000",In,2000,s,1-bundesliga
TSV 1860 Munich,Vidar Riseth,28,Norway,Centre-Back,CB,-,Celtic FC,Scotland,£1.35m,In,2000,s,1-bundesliga
TSV 1860 Munich,Simon Jentzsch,24,Germany,Goalkeeper,GK,-,Karlsruher SC,Germany,£450Th.,In,2000,s,1-bundesliga
TSV 1860 Munich,Mate Lacic,19,Croatia,Centre-Back,CB,-,RNK Split,Croatia,£135Th.,In,2000,s,1-bundesliga
TSV 1860 Munich,Markus Beierle,28,Germany,Centre-Forward,CF,-,MSV Duisburg,Germany,Free transfer,In,2000,s,1-bundesliga
TSV 1860 Munich,Erik Mykland,28,Norway,Central Midfield,CM,-,Panathinaikos Athens,Greece,Free transfer,In,2000,s,1-bundesliga
TSV 1860 Munich,Achim Pfuderer,24,Germany,Centre-Back,CB,-,Stuttgarter Kickers,Germany,Free transfer,In,2000,s,1-bundesliga
TSV 1860 Munich,Daniel Bierofka,21,Germany,Left Midfield,LM,-,FC Bayern Munich II,Germany,Free transfer,In,2000,s,1-bundesliga
TSV 1860 Munich,Thomas Weller,19,Germany,Defensive Midfield,DM,-,SC Paderborn 07,Germany,Free transfer,In,2000,s,1-bundesliga
TSV 1860 Munich,Jochen Kientz,27,Germany,Centre-Back,CB,-,Panionios Athens,Greece,"End of loanJun 30, 2000",In,2000,s,1-bundesliga
1.FC Kaiserslautern,Vratislav Lokvenc,26,Czech Republic,Centre-Forward,CF,-,AC Sparta Praha,Czech Republic,£2.84m,In,2000,s,1-bundesliga
1.FC Kaiserslautern,Petr Gabriel,27,Czech Republic,Centre-Back,CB,-,AC Sparta Praha,Czech Republic,£1.35m,In,2000,s,1-bundesliga
1.FC Kaiserslautern,Dimitrios Grammozis,21,Greece,Defensive Midfield,DM,-,Hamburger SV,Germany,£810Th.,In,2000,s,1-bundesliga
1.FC Kaiserslautern,Alan Grozdanic,18,Bosnia-Herzegovina,Midfielder,Midfielder,-,NK Rudar Velenje,Slovenia,Free transfer,In,2000,s,1-bundesliga
1.FC Kaiserslautern,Murat Yakin,25,Switzerland,Centre-Back,CB,-,FC Basel 1893,Switzerland,?,In,2000,s,1-bundesliga
1.FC Kaiserslautern,Miroslav Klose,22,Germany,Centre-Forward,CF,-,1.FC Kaiserslautern II,Germany,-,In,2000,s,1-bundesliga
1.FC Kaiserslautern,Rüdiger Ziehl,22,Germany,Defensive Midfield,DM,-,1.FC Kaiserslautern II,Germany,-,In,2000,s,1-bundesliga
1.FC Kaiserslautern,Samir Kamouna,28,Egypt,Sweeper,SW,-,Bursaspor,Turkey,"End of loanJun 30, 2000",In,2000,s,1-bundesliga
Hamburger SV,Milan Fukal,25,Czech Republic,Centre-Back,CB,-,AC Sparta Praha,Czech Republic,£2.61m,In,2000,s,1-bundesliga
Hamburger SV,Marcel Ketelaer,22,Germany,Left Midfield,LM,-,Borussia Mönchengladbach,Germany,£2.52m,In,2000,s,1-bundesliga
Hamburger SV,Sergej Barbarez,28,Bosnia-Herzegovina,Second Striker,SS,-,Borussia Dortmund,Germany,£1.62m,In,2000,s,1-bundesliga
Hamburger SV,Marek Heinz,22,Czech Republic,Centre-Forward,CF,-,SK Sigma Olomouc,Czech Republic,£1.44m,In,2000,s,1-bundesliga
Hamburger SV,Carsten Wehlmann,28,Germany,Goalkeeper,GK,-,FC St. Pauli,Germany,£360Th.,In,2000,s,1-bundesliga
Hamburger SV,Mathias Schober,24,Germany,Goalkeeper,GK,-,FC Schalke 04,Germany,Loan fee:£90Th.,In,2000,s,1-bundesliga
Hamburger SV,Jan Sandmann,22,Germany,Right-Back,RB,-,1.FC Magdeburg,Germany,Free transfer,In,2000,s,1-bundesliga
Hamburger SV,Stig Töfting,30,Denmark,Defensive Midfield,DM,-,Aarhus GF,Denmark,Free transfer,In,2000,s,1-bundesliga
