Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
FC Barcelona,Marc Overmars,27,Netherlands,Left Winger,LW,-,Arsenal FC,England,£36.00m,In,2000,s,laliga
FC Barcelona,Gerard López,21,Spain,Central Midfield,CM,-,Valencia CF,Spain,£19.44m,In,2000,s,laliga
FC Barcelona,Alfonso,27,Spain,Centre-Forward,CF,-,Real Betis Balompié,Spain,£14.85m,In,2000,s,laliga
FC Barcelona,Emmanuel Petit,29,France,Defensive Midfield,DM,-,Arsenal FC,England,£13.50m,In,2000,s,laliga
FC Barcelona,Richard Dutruel,27,France,Goalkeeper,GK,-,Celta de Vigo,Spain,£3.60m,In,2000,s,laliga
FC Barcelona,Iván De La Peña,24,Spain,Attacking Midfield,AM,-,SS Lazio,Italy,Loan,In,2000,s,laliga
FC Barcelona,Sergio Santamaría,19,Spain,Right Winger,RW,-,FC Barcelona B,Spain,-,In,2000,s,laliga
FC Barcelona,Mikel Arteta,18,Spain,Central Midfield,CM,-,FC Barcelona B,Spain,-,In,2000,s,laliga
FC Barcelona,Pepe Reina,17,Spain,Goalkeeper,GK,-,FC Barcelona B,Spain,-,In,2000,s,laliga
FC Barcelona,Dragan Ciric,25,Serbia,Attacking Midfield,AM,-,AEK Athens,Greece,"End of loanJun 30, 2000",In,2000,s,laliga
FC Barcelona,Samuel Okunowo,21,Nigeria,Right-Back,RB,-,SL Benfica,Portugal,"End of loanJun 30, 2000",In,2000,s,laliga
FC Barcelona,Luis García,22,Spain,Right Winger,RW,-,CD Toledo,Spain,"End of loanJun 30, 2000",In,2000,s,laliga
Real Zaragoza,Miguel Rebosio,23,Peru,Centre-Back,CB,-,Sporting Cristal Lima,Peru,Free transfer,In,2000,s,laliga
Real Zaragoza,Fernando de Ornelas,23,Venezuela,Right Winger,RW,-,Deportivo Italchacao,Venezuela,?,In,2000,s,laliga
Real Zaragoza,Daniel Montenegro,21,Argentina,Attacking Midfield,AM,-,Olympique Marseille,France,Loan,In,2000,s,laliga
Real Zaragoza,Alen Peternac,28,Croatia,Centre-Forward,CF,-,Real Valladolid CF,Spain,?,In,2000,s,laliga
Real Zaragoza,César Jiménez,22,Spain,Centre-Back,CB,-,Real Zaragoza B,Spain,-,In,2000,s,laliga
Real Zaragoza,Cani,18,Spain,Attacking Midfield,AM,-,Real Zaragoza B,Spain,-,In,2000,s,laliga
RCD Mallorca,Marcos Martín,31,Spain,Defensive Midfield,DM,-,Mérida UD,Spain,?,In,2000,s,laliga
RCD Mallorca,Finidi George,29,Nigeria,Right Winger,RW,-,Real Betis Balompié,Spain,?,In,2000,s,laliga
RCD Mallorca,Miki,24,Spain,Goalkeeper,GK,-,RCD Mallorca B,Spain,-,In,2000,s,laliga
RCD Mallorca,Albert Riera,18,Spain,Left Winger,LW,-,RCD Mallorca B,Spain,-,In,2000,s,laliga
RCD Mallorca,Ariel López,26,Argentina,Centre-Forward,CF,-,Club Atlético San Lorenzo de Almagro,Argentina,"End of loanJun 30, 2000",In,2000,s,laliga
RCD Mallorca,Albert Luque,22,Spain,Left Winger,LW,-,Málaga CF,Spain,"End of loanJun 30, 2000",In,2000,s,laliga
CA Osasuna,Nuno Espírito Santo,26,Portugal,Goalkeeper,GK,-,Deportivo de La Coruña,Spain,Loan,In,2000,s,laliga
CA Osasuna,Leandro Sena,23,Brazil,Central Midfield,CM,-,Mérida UD,Spain,Free transfer,In,2000,s,laliga
