Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Manchester United,Dimitar Berbatov,27,Bulgaria,Centre-Forward,CF,£23.40m,Tottenham Hotspur,England,£34.20m,In,2008,s,premier-league
Manchester United,Danny Simpson,22,England,Right-Back,RB,£900k,Blackburn Rovers,England,"End of loanMay 8, 2009",In,2008,s,premier-league
Manchester United,David Gray,20,Scotland,Right-Back,RB,£90k,Plymouth Argyle,England,"End of loanMay 1, 2009",In,2008,s,premier-league
Manchester United,Fábio,17,Brazil,Right-Back,RB,-,Manchester United U18,England,-,In,2008,s,premier-league
Manchester United,James Chester,19,Wales,Centre-Back,CB,-,Manchester United U18,England,-,In,2008,s,premier-league
Manchester United,Tom Cleverley,18,England,Central Midfield,CM,-,Manchester United U18,England,-,In,2008,s,premier-league
Manchester United,Sam Hewson,20,England,Central Midfield,CM,-,Hereford United (liq.),England,"End of loanMay 1, 2009",In,2008,s,premier-league
Manchester United,Tom Cleverley,19,England,Central Midfield,CM,-,Leicester City,England,"End of loanMay 25, 2009",In,2008,s,premier-league
Manchester United,Danny Welbeck,17,England,Centre-Forward,CF,-,Manchester United U18,England,-,In,2008,s,premier-league
Manchester United,Danny Drinkwater,18,England,Central Midfield,CM,-,Manchester United U18,England,-,In,2008,s,premier-league
Manchester United,Manucho,26,Angola,Centre-Forward,CF,£1.80m,Hull City,England,"End of loanMay 1, 2009",In,2008,s,premier-league
Manchester United,Tom Heaton,23,England,Goalkeeper,GK,£1.35m,Cardiff City,England,"End of loanMay 31, 2009",In,2008,s,premier-league
Manchester United,Rafael,17,Brazil,Right-Back,RB,-,Manchester United U18,England,-,In,2008,s,premier-league
Manchester United,Ben Amos,18,England,Goalkeeper,GK,-,Manchester United U18,England,-,In,2008,s,premier-league
Manchester United,Darron Gibson,20,Ireland,Central Midfield,CM,£270k,Manchester United U23,England,-,In,2008,s,premier-league
Manchester United,Manucho,25,Angola,Centre-Forward,CF,£1.80m,Panathinaikos Athens,Greece,"End of loanJun 30, 2008",In,2008,s,premier-league
Chelsea FC,Bosingwa,25,Portugal,Right-Back,RB,£15.30m,FC Porto,Portugal,£18.45m,In,2008,s,premier-league
Chelsea FC,Deco,30,Portugal,Attacking Midfield,AM,£16.20m,FC Barcelona,Spain,£9.00m,In,2008,s,premier-league
Chelsea FC,Fábio Paim,20,Portugal,Right Midfield,RM,£360k,Sporting CP,Portugal,Loan,In,2008,s,premier-league
Chelsea FC,Carl Magnay,20,Northern Ireland,Right-Back,RB,-,Northampton Town,England,"End of loanApr 9, 2009",In,2008,s,premier-league
Chelsea FC,Lee Sawyer,19,England,Central Midfield,CM,-,Wycombe Wanderers,England,"End of loanMay 1, 2009",In,2008,s,premier-league
Chelsea FC,Ryan Bertrand,19,England,Left-Back,LB,£675k,Norwich City,England,"End of loanMay 31, 2009",In,2008,s,premier-league
Chelsea FC,Carl Magnay,19,Northern Ireland,Right-Back,RB,-,Chelsea FC U18,England,-,In,2008,s,premier-league
Chelsea FC,Gaël Kakuta,17,DR Congo,Attacking Midfield,AM,-,Chelsea FC U18,England,-,In,2008,s,premier-league
Chelsea FC,Conor Clifford,17,Ireland,Central Midfield,CM,-,Chelsea FC U18,England,-,In,2008,s,premier-league
Chelsea FC,Scott Sinclair,20,England,Left Winger,LW,£900k,Birmingham City,England,"End of loanMay 25, 2009",In,2008,s,premier-league
Chelsea FC,Jack Cork,19,England,Defensive Midfield,DM,£675k,Watford FC,England,"End of loanMay 1, 2009",In,2008,s,premier-league
Chelsea FC,Mineiro,33,Brazil,Defensive Midfield,DM,£2.70m,,Without Club,-,In,2008,s,premier-league
Chelsea FC,Alcides,23,Brazil,Centre-Back,CB,£2.70m,PSV Eindhoven,Netherlands,"End of loanJun 30, 2008",In,2008,s,premier-league
Chelsea FC,Hernán Crespo,32,Argentina,Centre-Forward,CF,£9.90m,FC Internazionale,Italy,"End of loanJun 30, 2008",In,2008,s,premier-league
Chelsea FC,Khalid Boulahrouz,26,Netherlands,Centre-Back,CB,£4.50m,Sevilla FC,Spain,"End of loanJun 30, 2008",In,2008,s,premier-league
Chelsea FC,Slobodan Rajkovic,19,Serbia,Centre-Back,CB,£1.17m,PSV Eindhoven,Netherlands,"End of loanJun 30, 2008",In,2008,s,premier-league
Arsenal FC,Samir Nasri,21,France,Attacking Midfield,AM,£13.50m,Olympique Marseille,France,£14.40m,In,2008,s,premier-league
Arsenal FC,Aaron Ramsey,17,Wales,Central Midfield,CM,£4.50m,Cardiff City,England,£5.76m,In,2008,s,premier-league
Arsenal FC,Mikaël Silvestre,31,France,Centre-Back,CB,£3.15m,Manchester United,England,£855k,In,2008,s,premier-league
Arsenal FC,Amaury Bischoff,21,Portugal,Central Midfield,CM,£270k,SV Werder Bremen II,Germany,£270k,In,2008,s,premier-league
Arsenal FC,Armand Traoré,19,Senegal,Left-Back,LB,£1.98m,Portsmouth FC,England,"End of loanMay 1, 2009",In,2008,s,premier-league
Arsenal FC,Henri Lansbury,18,England,Central Midfield,CM,£45k,Scunthorpe United,England,"End of loanMay 25, 2009",In,2008,s,premier-league
Arsenal FC,Jack Wilshere,16,England,Central Midfield,CM,-,Arsenal FC U18,England,-,In,2008,s,premier-league
Arsenal FC,Rene Steer,19,England,Left-Back,LB,-,Gillingham FC,England,"End of loanMay 1, 2009",In,2008,s,premier-league
Arsenal FC,Wojciech Szczesny,18,Poland,Goalkeeper,GK,£90k,Arsenal FC U18,England,-,In,2008,s,premier-league
Arsenal FC,Henri Lansbury,17,England,Central Midfield,CM,£45k,Arsenal FC U18,England,-,In,2008,s,premier-league
Arsenal FC,Kerrea Gilbert,22,England,Right-Back,RB,£270k,Leicester City,England,"End of loanMay 1, 2009",In,2008,s,premier-league
Arsenal FC,Nacer Barazite,18,Netherlands,Attacking Midfield,AM,£900k,Derby County,England,"End of loanMay 25, 2009",In,2008,s,premier-league
Arsenal FC,Nacer Barazite,18,Netherlands,Attacking Midfield,AM,-,Arsenal FC U18,England,-,In,2008,s,premier-league
Arsenal FC,Carlos Vela,19,Mexico,Right Winger,RW,£5.40m,CA Osasuna,Spain,"End of loanJun 30, 2008",In,2008,s,premier-league
Arsenal FC,Fran Mérida,18,Spain,Central Midfield,CM,£2.34m,Real Sociedad,Spain,"End of loanJun 30, 2008",In,2008,s,premier-league
Liverpool FC,Robbie Keane,28,Ireland,Centre-Forward,CF,£16.20m,Tottenham Hotspur,England,£21.60m,In,2008,s,premier-league
Liverpool FC,Javier Mascherano,24,Argentina,Defensive Midfield,DM,£20.25m,West Ham United,England,£20.25m,In,2008,s,premier-league
Liverpool FC,Albert Riera,26,Spain,Left Winger,LW,£10.80m,RCD Espanyol Barcelona,Spain,£8.82m,In,2008,s,premier-league
Liverpool FC,Andrea Dossena,26,Italy,Left Midfield,LM,£5.85m,Udinese Calcio,Italy,£8.10m,In,2008,s,premier-league
Liverpool FC,Diego Cavalieri,25,Brazil,Goalkeeper,GK,£1.08m,Sociedade Esportiva Palmeiras,Brazil,£3.96m,In,2008,s,premier-league
Liverpool FC,David N'Gog,19,France,Centre-Forward,CF,£900k,Paris Saint-Germain,France,£1.35m,In,2008,s,premier-league
Liverpool FC,Péter Gulácsi,18,Hungary,Goalkeeper,GK,-,MTK Budapest U19,Hungary,£225k,In,2008,s,premier-league
Liverpool FC,Philipp Degen,25,Switzerland,Right-Back,RB,£2.25m,Borussia Dortmund,Germany,Free transfer,In,2008,s,premier-league
Liverpool FC,Jermaine Pennant,26,England,Right Winger,RW,£5.40m,Portsmouth FC,England,"End of loanMay 31, 2009",In,2008,s,premier-league
Liverpool FC,Craig Lindfield,20,England,Right Midfield,RM,£90k,Accrington Stanley,England,"End of loanMay 31, 2009",In,2008,s,premier-league
Liverpool FC,Robbie Threlfall,20,England,Left-Back,LB,£90k,Stockport County,England,"End of loanMay 1, 2009",In,2008,s,premier-league
Liverpool FC,Daniel Ayala,17,Spain,Centre-Back,CB,-,Liverpool FC U18,England,-,In,2008,s,premier-league
