Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
FC Girondins Bordeaux,Evan Chevalier,20,France,Left Winger,LW,-,FC Girondins Bordeaux B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/evan-chevalier/profil/spieler/126550
FC Girondins Bordeaux,Hadi Sacko,18,Mali,Right Winger,RW,-,FC Girondins Bordeaux B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/hadi-sacko/profil/spieler/198728
FC Girondins Bordeaux,Salif Sané,21,Senegal,Centre-Back,CB,£1.80m,AS Nancy-Lorraine,France,"End of loanJun 30, 2012",In,2012,s,ligue-1,https://www.transfermarkt.co.uk/salif-sane/profil/spieler/126534
FC Girondins Bordeaux,Grzegorz Krychowiak,22,Poland,Defensive Midfield,DM,£900Th.,FC Nantes,France,"End of loanJun 30, 2012",In,2012,s,ligue-1,https://www.transfermarkt.co.uk/grzegorz-krychowiak/profil/spieler/45184
FC Girondins Bordeaux,Maxime Poundjé,19,France,Left-Back,LB,-,Nîmes Olympique,France,"End of loanJun 30, 2012",In,2012,s,ligue-1,https://www.transfermarkt.co.uk/maxime-poundje/profil/spieler/126528
Olympique Marseille,Lucas Mendes,22,Brazil,Centre-Back,CB,£540Th.,Coritiba Foot Ball Club,Brazil,£2.07m,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/lucas-mendes/profil/spieler/83983
Olympique Marseille,Kassim Abdallah,25,Comoros,Right-Back,RB,£1.35m,CS Sedan-Ardennes,France,£450Th.,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/kassim-abdallah/profil/spieler/120091
Olympique Marseille,Joey Barton,29,England,Central Midfield,CM,£4.50m,Queens Park Rangers,England,Loan,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/joey-barton/profil/spieler/3292
Olympique Marseille,Florian Raspentino,23,France,Centre-Forward,CF,£720Th.,FC Nantes,France,Free transfer,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/florian-raspentino/profil/spieler/189940
Olympique Marseille,Najib Ammari,20,Algeria,Attacking Midfield,AM,-,FC Rouen 1899,France,"End of loanApr 9, 2013",In,2012,s,ligue-1,https://www.transfermarkt.co.uk/najib-ammari/profil/spieler/131908
Olympique Marseille,Rafidine Abdullah,18,Comoros,Defensive Midfield,DM,-,Olympique de Marseille B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/rafidine-abdullah/profil/spieler/215652
Olympique Marseille,Najib Ammari,20,Algeria,Attacking Midfield,AM,-,Olympique de Marseille B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/najib-ammari/profil/spieler/131908
Olympique Marseille,Leyti N'Diaye,26,Senegal,Centre-Back,CB,£630Th.,AC Ajaccio,France,"End of loanJun 30, 2012",In,2012,s,ligue-1,https://www.transfermarkt.co.uk/leyti-ndiaye/profil/spieler/18894
Olympique Marseille,Pape M'Bow,24,Senegal,Centre-Back,CB,£180Th.,RAEC Mons,Belgium,"End of loanJun 30, 2012",In,2012,s,ligue-1,https://www.transfermarkt.co.uk/pape-mbow/profil/spieler/56796
Olympique Marseille,Alexander N'Doumbou,20,Gabon,Defensive Midfield,DM,£135Th.,US Orléans,France,"End of loanJun 30, 2012",In,2012,s,ligue-1,https://www.transfermarkt.co.uk/alexander-ndoumbou/profil/spieler/127144
Stade Rennais FC,Sadio Diallo,21,Guinea,Central Midfield,CM,£2.25m,SC Bastia,France,£3.60m,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/sadio-diallo/profil/spieler/137438
Stade Rennais FC,Romain Alessandrini,23,France,Right Winger,RW,£1.80m,Clermont Foot 63,France,£2.25m,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/romain-alessandrini/profil/spieler/98334
Stade Rennais FC,Jean II Makoun,29,Cameroon,Defensive Midfield,DM,£5.40m,Aston Villa,England,Loan,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/jean-ii-makoun/profil/spieler/5648
Stade Rennais FC,Cheick Diarra,20,Mali,Centre-Forward,CF,-,FC Stade Rennes B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/cheick-diarra/profil/spieler/179408
Stade Rennais FC,Abdoulaye Sané,19,Senegal,Centre-Forward,CF,-,FC Stade Rennes B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/abdoulaye-sane/profil/spieler/193584
Stade Rennais FC,Abdoulaye Doucouré,19,France,Central Midfield,CM,-,FC Stade Rennes B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/abdoulaye-doucoure/profil/spieler/127187
Stade Rennais FC,Axel Ngando,18,France,Attacking Midfield,AM,-,FC Stade Rennes B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/axel-ngando/profil/spieler/170478
Stade Rennais FC,Franck Julienne,21,France,Attacking Midfield,AM,£270Th.,AC Le Havre,France,"End of loanJun 30, 2012",In,2012,s,ligue-1,https://www.transfermarkt.co.uk/franck-julienne/profil/spieler/126693
Stade Rennais FC,John Verhoek,23,Netherlands,Centre-Forward,CF,£720Th.,ADO Den Haag,Netherlands,"End of loanJun 30, 2012",In,2012,s,ligue-1,https://www.transfermarkt.co.uk/john-verhoek/profil/spieler/75295
Stade Rennais FC,Johann Carrasso,24,France,Goalkeeper,GK,£360Th.,AS Monaco,France,"End of loanJun 30, 2012",In,2012,s,ligue-1,https://www.transfermarkt.co.uk/johann-carrasso/profil/spieler/57367
FC Toulouse,Olivier Blondel,32,France,Goalkeeper,GK,£630Th.,ES Troyes AC,France,Free transfer,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/olivier-blondel/profil/spieler/23897
FC Toulouse,Jonathan Zebina,33,France,Centre-Back,CB,£900Th.,Stade Brest 29,France,Free transfer,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/jonathan-zebina/profil/spieler/5942
FC Toulouse,Issiaga Sylla,18,Guinea,Left-Back,LB,-,Horoya AC,Guinea,?,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/issiaga-sylla/profil/spieler/220878
FC Toulouse,Yannick Djaló,26,Portugal,Left Winger,LW,£2.97m,SL Benfica,Portugal,Loan,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/yannick-djalo/profil/spieler/43845
FC Toulouse,Yannick Aguemon,20,Benin,Left Winger,LW,-,FC Toulouse B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/yannick-aguemon/profil/spieler/170485
FC Toulouse,Amadou Soukouna,20,France,Centre-Forward,CF,-,FC Toulouse B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/amadou-soukouna/profil/spieler/105874
FC Toulouse,Steeve Yago,19,Burkina Faso,Centre-Back,CB,-,FC Toulouse B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/steeve-yago/profil/spieler/170903
OGC Nice,Jérémy Pied,23,France,Right-Back,RB,£1.58m,Olympique Lyon,France,£2.70m,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/jeremy-pied/profil/spieler/60583
OGC Nice,Darío Cvitanich,28,Argentina,Centre-Forward,CF,£1.35m,Ajax Amsterdam,Netherlands,£1.35m,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/dario-cvitanich/profil/spieler/30758
OGC Nice,Kévin Diaz,24,France,Right Midfield,RM,£360Th.,AS Monaco,France,Free transfer,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/kevin-diaz/profil/spieler/60530
OGC Nice,Eric Bauthéac,24,France,Left Winger,LW,£1.80m,FCO Dijon,France,Free transfer,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/eric-bautheac/profil/spieler/111482
OGC Nice,Joris Delle,22,France,Goalkeeper,GK,£810Th.,FC Metz,France,Free transfer,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/joris-delle/profil/spieler/56778
OGC Nice,Romain Genevois,24,Haiti,Centre-Back,CB,£675Th.,Tours FC,France,Free transfer,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/romain-genevois/profil/spieler/57525
OGC Nice,Valentin Eysseric,20,France,Attacking Midfield,AM,£720Th.,AS Monaco,France,Loan,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/valentin-eysseric/profil/spieler/126687
OGC Nice,Timothée Kolodziejczak,20,France,Centre-Back,CB,£540Th.,Olympique Lyon,France,Free transfer,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/timothee-kolodziejczak/profil/spieler/84085
OGC Nice,Grégoire Puel,21,France,Right-Back,RB,-,OGC Nice B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/gregoire-puel/profil/spieler/156487
OGC Nice,Stéphane Bahoken,20,Cameroon,Centre-Forward,CF,-,OGC Nice B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/stephane-bahoken/profil/spieler/170953
OGC Nice,Diacko Fofana,17,France,Right-Back,RB,-,OGC Nice B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/diacko-fofana/profil/spieler/214219
OGC Nice,Moussa M'Bow,20,Senegal,Right-Back,RB,-,OGC Nice B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/moussa-mbow/profil/spieler/168330
OGC Nice,Fabien Dao Castellana,18,France,Defensive Midfield,DM,-,OGC Nice B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/fabien-dao-castellana/profil/spieler/227356
OGC Nice,Alexy Bosetti,19,France,Centre-Forward,CF,-,OGC Nice B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/alexy-bosetti/profil/spieler/212937
OGC Nice,Mahamane Traoré,23,Mali,Central Midfield,CM,£450Th.,FC Metz,France,"End of loanJun 30, 2012",In,2012,s,ligue-1,https://www.transfermarkt.co.uk/mahamane-traore/profil/spieler/45475
OGC Nice,Julien Berthomier,22,France,Centre-Back,CB,£135Th.,Red Star FC 93,France,"End of loanJun 30, 2012",In,2012,s,ligue-1,https://www.transfermarkt.co.uk/julien-berthomier/profil/spieler/138051
Paris Saint-Germain,Thiago Silva,27,Brazil,Centre-Back,CB,£34.20m,AC Milan,Italy,£37.80m,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/thiago-silva/profil/spieler/29241
Paris Saint-Germain,Ezequiel Lavezzi,27,Argentina,Second Striker,SS,£27.00m,SSC Napoli,Italy,£27.00m,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/ezequiel-lavezzi/profil/spieler/50570
Paris Saint-Germain,Zlatan Ibrahimovic,30,Sweden,Centre-Forward,CF,£33.30m,AC Milan,Italy,£18.90m,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/zlatan-ibrahimovic/profil/spieler/3455
Paris Saint-Germain,Marco Verratti,19,Italy,Central Midfield,CM,£9.00m,Delfino Pescara 1936,Italy,£10.80m,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/marco-verratti/profil/spieler/102558
Paris Saint-Germain,Gregory van der Wiel,24,Netherlands,Right-Back,RB,£8.10m,Ajax Amsterdam,Netherlands,£5.40m,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/gregory-van-der-wiel/profil/spieler/45548
Paris Saint-Germain,Adrien Rabiot,17,France,Central Midfield,CM,-,Paris Saint-Germain U19,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/adrien-rabiot/profil/spieler/182913
Paris Saint-Germain,Granddi N'Goyi,24,DR Congo,Defensive Midfield,DM,£810Th.,FC Nantes,France,"End of loanJun 30, 2012",In,2012,s,ligue-1,https://www.transfermarkt.co.uk/granddi-ngoyi/profil/spieler/55385
Paris Saint-Germain,Jean-Eudes Maurice,26,Haiti,Centre-Forward,CF,£450Th.,RC Lens,France,"End of loanJun 30, 2012",In,2012,s,ligue-1,https://www.transfermarkt.co.uk/jean-eudes-maurice/profil/spieler/80698
Paris Saint-Germain,Loïck Landre,20,France,Centre-Back,CB,£270Th.,Clermont Foot 63,France,"End of loanJun 30, 2012",In,2012,s,ligue-1,https://www.transfermarkt.co.uk/loick-landre/profil/spieler/164912
SC Bastia,Julian Palmieri,25,France,Left-Back,LB,£720Th.,FC Istres Ouest Provence ,France,Free transfer,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/julian-palmieri/profil/spieler/45237
SC Bastia,Sambou Yatabaré,23,Mali,Central Midfield,CM,£630Th.,AS Monaco,France,Free transfer,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/sambou-yatabare/profil/spieler/93309
SC Bastia,Landry Bonnefoi,28,France,Goalkeeper,GK,£360Th.,SC Amiens,France,Free transfer,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/landry-bonnefoi/profil/spieler/19119
SC Bastia,Ilan,31,Brazil,Centre-Forward,CF,£630Th.,AC Ajaccio,France,Free transfer,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/ilan/profil/spieler/17244
SC Bastia,Gaëtan Varenne,22,Israel,Centre-Forward,CF,-,FC Cournon-d'Auvergne,France,Free transfer,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/gaetan-varenne/profil/spieler/231610
SC Bastia,Sylvain Marchal,32,France,Centre-Back,CB,£1.80m,AS Saint-Étienne,France,Free transfer,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/sylvain-marchal/profil/spieler/12093
SC Bastia,Anthony Modeste,24,France,Centre-Forward,CF,£3.15m,FC Girondins Bordeaux,France,Loan,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/anthony-modeste/profil/spieler/50512
SC Bastia,Olivier Vanucci,20,France,Centre-Back,CB,-,SC Bastia B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/olivier-vanucci/profil/spieler/142342
SC Bastia,Christophe Vincent,19,France,Defensive Midfield,DM,-,SC Bastia B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/christophe-vincent/profil/spieler/203324
SC Bastia,Florent André,21,France,Left Winger,LW,-,SC Bastia B,France,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/florent-andre/profil/spieler/127118
SC Bastia,Julien Sablé,32,France,Defensive Midfield,DM,£675Th.,,Without Club,-,In,2012,s,ligue-1,https://www.transfermarkt.co.uk/julien-sable/profil/spieler/17441
