Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Paris Saint-Germain,Edinson Cavani,26,Uruguay,Centre-Forward,CF,£49.50m,SSC Napoli,Italy,£58.05m,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/edinson-cavani/profil/spieler/48280
Paris Saint-Germain,Marquinhos,19,Brazil,Centre-Back,CB,£13.50m,AS Roma,Italy,£28.26m,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/marquinhos/profil/spieler/181767
Paris Saint-Germain,Lucas Digne,19,France,Left-Back,LB,£9.00m,LOSC Lille,France,£13.50m,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/lucas-digne/profil/spieler/126664
Paris Saint-Germain,Antoine Conte,19,France,Centre-Back,CB,-,FC Paris Saint-Germain B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/antoine-conte/profil/spieler/181373
Paris Saint-Germain,Hervin Ongenda,18,France,Left Winger,LW,-,FC Paris Saint-Germain B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/hervin-ongenda/profil/spieler/182910
Paris Saint-Germain,Youssouf Sabaly,20,Senegal,Right-Back,RB,-,FC Paris Saint-Germain B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/youssouf-sabaly/profil/spieler/135492
Paris Saint-Germain,Mike Maignan,17,France,Goalkeeper,GK,-,FC Paris Saint-Germain B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/mike-maignan/profil/spieler/182906
Paris Saint-Germain,Kingsley Coman,17,France,Left Winger,LW,-,Paris Saint-Germain U19,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/kingsley-coman/profil/spieler/243714
Paris Saint-Germain,Jean-Christophe Bahebeck,20,France,Centre-Forward,CF,£1.35m,ES Troyes AC,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/jean-christophe-bahebeck/profil/spieler/164897
Paris Saint-Germain,Jean-Eudes Maurice,27,Haiti,Centre-Forward,CF,£270Th.,FC Le Mans,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/jean-eudes-maurice/profil/spieler/80698
Paris Saint-Germain,Mohamed Sissoko,28,Mali,Defensive Midfield,DM,£3.24m,ACF Fiorentina,Italy,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/mohamed-sissoko/profil/spieler/6119
Paris Saint-Germain,Loïck Landre,21,France,Centre-Back,CB,£360Th.,GFC Ajaccio,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/loick-landre/profil/spieler/164912
Paris Saint-Germain,Adrien Rabiot,18,France,Central Midfield,CM,£2.25m,FC Toulouse,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/adrien-rabiot/profil/spieler/182913
Paris Saint-Germain,Neeskens Kebano,21,DR Congo,Attacking Midfield,AM,£360Th.,SM Caen,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/neeskens-kebano/profil/spieler/111422
Paris Saint-Germain,Diego Lugano,32,Uruguay,Centre-Back,CB,£1.08m,Málaga CF,Spain,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/diego-lugano/profil/spieler/13829
Paris Saint-Germain,Mathieu Bodmer,30,France,Defensive Midfield,DM,£2.25m,AS Saint-Étienne,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/mathieu-bodmer/profil/spieler/27305
Olympique Marseille,Florian Thauvin,20,France,Right Winger,RW,£5.40m,LOSC Lille,France,£10.80m,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/florian-thauvin/profil/spieler/184892
Olympique Marseille,Dimitri Payet,26,France,Left Winger,LW,£13.50m,LOSC Lille,France,£7.83m,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/dimitri-payet/profil/spieler/37647
Olympique Marseille,Giannelli Imbula,20,DR Congo,Defensive Midfield,DM,£2.70m,EA Guingamp,France,£6.75m,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/giannelli-imbula/profil/spieler/130756
Olympique Marseille,Mario Lemina,20,Gabon,Defensive Midfield,DM,£900Th.,FC Lorient,France,£3.60m,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/mario-lemina/profil/spieler/170934
Olympique Marseille,Benjamin Mendy,18,France,Left-Back,LB,£1.80m,AC Le Havre,France,£3.60m,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/benjamin-mendy/profil/spieler/157495
Olympique Marseille,Saber Khalifa,26,Tunisia,Centre-Forward,CF,£3.15m,FC Évian Thonon Gaillard,France,£2.25m,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/saber-khalifa/profil/spieler/69101
Olympique Marseille,Laurent Abergel,20,France,Defensive Midfield,DM,-,Olympique de Marseille B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/laurent-abergel/profil/spieler/238626
Olympique Marseille,Larry Azouni,19,Tunisia,Central Midfield,CM,£180Th.,Olympique de Marseille B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/larry-azouni/profil/spieler/204347
Olympique Marseille,Chris Gadi,21,France,Right Winger,RW,£180Th.,US Boulogne,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/chris-gadi/profil/spieler/111046
Olympique Marseille,Pape M'Bow,25,Senegal,Centre-Back,CB,£225Th.,SC Amiens,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/pape-mbow/profil/spieler/56796
Olympique Marseille,Senah Mango,21,Togo,Centre-Back,CB,£225Th.,Entente sportive Uzès Pont du Gard,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/senah-mango/profil/spieler/77845
Olympique Marseille,Florian Raspentino,24,France,Centre-Forward,CF,£1.35m,Stade Brest 29,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/florian-raspentino/profil/spieler/189940
Olympique Lyon,Henri Bedimo,29,Cameroon,Left-Back,LB,£3.15m,HSC Montpellier,France,£1.80m,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/henri-bedimo/profil/spieler/6803
Olympique Lyon,Gaël Danic,31,France,Left Winger,LW,£2.70m,Valenciennes FC,France,£900Th.,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/gael-danic/profil/spieler/5457
Olympique Lyon,Miguel Lopes,26,Portugal,Right-Back,RB,£3.24m,Sporting CP,Portugal,Loan fee:£900Th.,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/miguel-lopes/profil/spieler/59248
Olympique Lyon,Fabián Monzón,26,Argentina,Left-Back,LB,£2.25m,Fluminense Football Club,Brazil,"End of loanJul 15, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/fabian-monzon/profil/spieler/67084
Olympique Lyon,Naby Sarr,19,Senegal,Centre-Back,CB,-,Olympique Lyon B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/naby-sarr/profil/spieler/203532
Olympique Lyon,Théo Defourny,21,Belgium,Goalkeeper,GK,-,Olympique Lyon B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/theo-defourny/profil/spieler/104543
Olympique Lyon,Farès Bahlouli,18,France,Attacking Midfield,AM,-,Olympique Lyon B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/fares-bahlouli/profil/spieler/190333
Olympique Lyon,Zakarie Labidi,18,France,Attacking Midfield,AM,-,Olympique Lyon B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/zakarie-labidi/profil/spieler/182903
Olympique Lyon,Michel Bastos,29,Brazil,Left Midfield,LM,£6.30m,FC Schalke 04,Germany,"End of loanJul 31, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/michel-bastos/profil/spieler/12142
Olympique Lyon,Nabil Fekir,19,France,Attacking Midfield,AM,-,Olympique Lyon B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/nabil-fekir/profil/spieler/203496
Olympique Lyon,Jérémy Frick,20,Switzerland,Goalkeeper,GK,£45Th.,Olympique Lyon B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/jeremy-frick/profil/spieler/170344
Olympique Lyon,Mohamed Yattara,19,Guinea,Centre-Forward,CF,£900Th.,ES Troyes AC,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/mohamed-yattara/profil/spieler/126542
Olympique Lyon,Sidy Koné,21,Mali,Defensive Midfield,DM,£270Th.,SM Caen,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/sidy-kone/profil/spieler/157166
Olympique Lyon,Harry Novillo,21,Martinique,Left Winger,LW,£225Th.,GFC Ajaccio,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/harry-novillo/profil/spieler/118294
OGC Nice,Christian Brüls,24,Belgium,Attacking Midfield,AM,£1.80m,KAA Gent,Belgium,Loan,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/christian-bruls/profil/spieler/38978
OGC Nice,Nampalys Mendy,21,France,Defensive Midfield,DM,£3.60m,AS Monaco,France,Free transfer,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/nampalys-mendy/profil/spieler/111051
OGC Nice,Mathieu Bodmer,30,France,Defensive Midfield,DM,£2.25m,Paris Saint-Germain,France,Free transfer,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/mathieu-bodmer/profil/spieler/27305
OGC Nice,Stéphane Bahoken,22,Cameroon,Centre-Forward,CF,£540Th.,St. Mirren FC,Scotland,"End of loanMay 31, 2014",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/stephane-bahoken/profil/spieler/170953
OGC Nice,Jordan Astier,21,France,Centre-Forward,CF,-,OGC Nice B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/jordan-astier/profil/spieler/170952
OGC Nice,Jordan Amavi,19,France,Left-Back,LB,-,OGC Nice B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/jordan-amavi/profil/spieler/241229
OGC Nice,Stéphan Raheriharimanana,19,Madagascar,Central Midfield,CM,-,OGC Nice B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/stephan-raheriharimanana/profil/spieler/170957
OGC Nice,Mouez Hassen,18,Tunisia,Goalkeeper,GK,£225Th.,OGC Nizza U19,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/mouez-hassen/profil/spieler/215677
OGC Nice,Lucas Veronese,22,France,Goalkeeper,GK,£135Th.,FC Istres Ouest Provence ,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/lucas-veronese/profil/spieler/156489
OGC Nice,Abraham Gneki Guié,26,Cote d'Ivoire,Centre-Forward,CF,£450Th.,FC Lausanne-Sport,Switzerland,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/abraham-gneki-guie/profil/spieler/55044
AS Saint-Étienne,Benjamin Corgnet,26,France,Attacking Midfield,AM,£4.50m,FC Lorient,France,£4.50m,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/benjamin-corgnet/profil/spieler/154171
AS Saint-Étienne,Franck Tabanou,24,France,Left-Back,LB,£5.40m,FC Toulouse,France,£4.50m,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/franck-tabanou/profil/spieler/66413
AS Saint-Étienne,Mevlüt Erdinc,26,Turkey,Centre-Forward,CF,£5.40m,Stade Rennais FC,France,£4.05m,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/mevlut-erdinc/profil/spieler/38360
AS Saint-Étienne,Paul Baysse,25,France,Centre-Back,CB,£2.25m,Stade Brest 29,France,£900Th.,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/paul-baysse/profil/spieler/43256
AS Saint-Étienne,Ibrahim Sissoko,21,Cote d'Ivoire,Right Winger,RW,£1.58m,VfL Wolfsburg,Germany,Loan fee:£90Th.,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/ibrahim-sissoko/profil/spieler/157058
AS Saint-Étienne,Baptiste Valette,20,France,Goalkeeper,GK,£45Th.,HSC Montpellier,France,Free transfer,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/baptiste-valette/profil/spieler/170509
AS Saint-Étienne,Yohan Mollo,24,France,Left Winger,LW,£5.40m,AS Nancy-Lorraine,France,Loan,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/yohan-mollo/profil/spieler/60570
AS Saint-Étienne,Pierre-Yves Polomat,19,Martinique,Left-Back,LB,-,AS Saint-Étienne B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/pierre-yves-polomat/profil/spieler/203764
AS Saint-Étienne,Allan Saint-Maximin,16,France,Left Winger,LW,-,AS Saint-Étienne U19,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/allan-saint-maximin/profil/spieler/272642
AS Saint-Étienne,Yoric Ravet,23,France,Right Winger,RW,£450Th.,SCO Angers,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/yoric-ravet/profil/spieler/82461
AS Saint-Étienne,Idriss Saadi,21,Algeria,Centre-Forward,CF,£360Th.,GFC Ajaccio,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/idriss-saadi/profil/spieler/111057
AS Saint-Étienne,Lynel Kitambala,24,France,Centre-Forward,CF,£540Th.,SG Dynamo Dresden,Germany,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/lynel-kitambala/profil/spieler/56789
AS Saint-Étienne,Guirane N'Daw,29,Senegal,Defensive Midfield,DM,£1.35m,Ipswich Town,England,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/guirane-ndaw/profil/spieler/12515
AS Saint-Étienne,Florentin Pogba,22,Guinea,Centre-Back,CB,£900Th.,CS Sedan-Ardennes,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/florentin-pogba/profil/spieler/140497
LOSC Lille,Simon Kjaer,24,Denmark,Centre-Back,CB,£6.30m,VfL Wolfsburg,Germany,£2.25m,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/simon-kjaer/profil/spieler/48859
LOSC Lille,Julian Jeanvier,21,Guinea,Centre-Back,CB,£450Th.,AS Nancy-Lorraine,France,£405Th.,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/julian-jeanvier/profil/spieler/134277
LOSC Lille,Abdoulay Diaby,22,Mali,Right Winger,RW,£810Th.,CS Sedan-Ardennes,France,Free transfer,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/abdoulay-diaby/profil/spieler/148396
LOSC Lille,Jonathan Delaplace,27,France,Central Midfield,CM,£1.80m,SV Zulte Waregem,Belgium,Free transfer,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/jonathan-delaplace/profil/spieler/149551
LOSC Lille,Adama Soumaoro,21,France,Centre-Back,CB,£180Th.,LOSC Lille B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/adama-soumaoro/profil/spieler/126673
LOSC Lille,Divock Origi,18,Belgium,Centre-Forward,CF,-,LOSC Lille B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/divock-origi/profil/spieler/148368
LOSC Lille,Julian Michel,21,France,Central Midfield,CM,-,LOSC Lille B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/julian-michel/profil/spieler/118292
LOSC Lille,Arnaud Souquet,21,France,Right-Back,RB,£135Th.,Mouscron-Péruwelz,Belgium,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/arnaud-souquet/profil/spieler/111058
LOSC Lille,Pape Souaré,23,Senegal,Left-Back,LB,£1.35m,Stade Reims,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/pape-souare/profil/spieler/125868
LOSC Lille,Viktor Klonaridis,20,Belgium,Second Striker,SS,£1.13m,Mouscron-Péruwelz,Belgium,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/viktor-klonaridis/profil/spieler/173589
LOSC Lille,Vincent Enyeama,30,Nigeria,Goalkeeper,GK,£1.35m,Maccabi Tel Aviv,Israel,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/vincent-enyeama/profil/spieler/37760
LOSC Lille,Florian Thauvin,20,France,Right Winger,RW,£5.40m,SC Bastia,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/florian-thauvin/profil/spieler/184892
LOSC Lille,John Jairo Ruiz,19,Costa Rica,Left Winger,LW,£630Th.,Mouscron-Péruwelz,Belgium,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/john-jairo-ruiz/profil/spieler/192347
LOSC Lille,Soualiho Meïté,19,France,Central Midfield,CM,£1.35m,AJ Auxerre,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/soualiho-meite/profil/spieler/164913
LOSC Lille,Omar Wade,23,Senegal,Second Striker,SS,£90Th.,US Jeanne d'Arc Carquefou,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/omar-wade/profil/spieler/126675
FC Girondins Bordeaux,Lucas Orbán,24,Argentina,Centre-Back,CB,£1.35m,Club Atlético Tigre,Argentina,£3.15m,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/lucas-orban/profil/spieler/110309
FC Girondins Bordeaux,Jérémie Bréchet,33,France,Centre-Back,CB,£450Th.,ES Troyes AC,France,Free transfer,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/jeremie-brechet/profil/spieler/5339
FC Girondins Bordeaux,Rodrigo Castro,20,Argentina,Attacking Midfield,AM,-,FC Girondins Bordeaux B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/rodrigo-castro/profil/spieler/238661
FC Girondins Bordeaux,Younès Kaabouni,18,France,Defensive Midfield,DM,-,FC Girondins Bordeaux B,France,-,In,2013,s,ligue-1,https://www.transfermarkt.co.uk/younes-kaabouni/profil/spieler/182898
FC Girondins Bordeaux,Vujadin Savic,22,Serbia,Centre-Back,CB,£720Th.,SG Dynamo Dresden,Germany,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/vujadin-savic/profil/spieler/68283
FC Girondins Bordeaux,Matthieu Chalmé,32,France,Right-Back,RB,£540Th.,AC Ajaccio,France,"End of loanJun 30, 2013",In,2013,s,ligue-1,https://www.transfermarkt.co.uk/matthieu-chalme/profil/spieler/5635
