Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Atlético Madrid,Josuha Guilavogui,22,France,Defensive Midfield,DM,£5.85m,AS Saint-Étienne,France,£9.00m,In,2013,s,laliga
Atlético Madrid,Toby Alderweireld,24,Belgium,Centre-Back,CB,£9.00m,Ajax Amsterdam,Netherlands,£6.30m,In,2013,s,laliga
Atlético Madrid,Leo Baptistão,20,Brazil,Right Winger,RW,£6.30m,Rayo Vallecano,Spain,£6.30m,In,2013,s,laliga
Atlético Madrid,Roberto,27,Spain,Goalkeeper,GK,£3.60m,SL Benfica,Portugal,£5.40m,In,2013,s,laliga
Atlético Madrid,David Villa,31,Spain,Centre-Forward,CF,£10.80m,FC Barcelona,Spain,£1.89m,In,2013,s,laliga
Atlético Madrid,José Giménez,18,Uruguay,Centre-Back,CB,£90Th.,Danubio FC,Uruguay,£810Th.,In,2013,s,laliga
Atlético Madrid,Daniel Aranzubia,33,Spain,Goalkeeper,GK,£1.80m,Deportivo de La Coruña,Spain,Free transfer,In,2013,s,laliga
Atlético Madrid,Martín Demichelis,32,Argentina,Centre-Back,CB,£2.70m,Málaga CF,Spain,Free transfer,In,2013,s,laliga
Atlético Madrid,Óliver Torres,18,Spain,Central Midfield,CM,£3.60m,Atlético Madrid B,Spain,-,In,2013,s,laliga
Atlético Madrid,Javier Manquillo,19,Spain,Right-Back,RB,£1.80m,Atlético Madrid B,Spain,-,In,2013,s,laliga
Atlético Madrid,Saúl Ñíguez,18,Spain,Central Midfield,CM,£1.80m,Atlético Madrid B,Spain,-,In,2013,s,laliga
Atlético Madrid,Rúben Micael,26,Portugal,Central Midfield,CM,£5.40m,SC Braga,Portugal,"End of loanJun 30, 2013",In,2013,s,laliga
Atlético Madrid,Sílvio,25,Portugal,Right-Back,RB,£4.50m,Deportivo de La Coruña,Spain,"End of loanJun 30, 2013",In,2013,s,laliga
Atlético Madrid,Pizzi,23,Portugal,Right Midfield,RM,£5.40m,Deportivo de La Coruña,Spain,"End of loanJun 30, 2013",In,2013,s,laliga
Atlético Madrid,Borja Bastón,20,Spain,Centre-Forward,CF,£450Th.,SD Huesca,Spain,"End of loanJun 30, 2013",In,2013,s,laliga
Atlético Madrid,Rubén Pérez,24,Spain,Defensive Midfield,DM,£2.70m,Real Betis Balompié,Spain,"End of loanJun 30, 2013",In,2013,s,laliga
Atlético Madrid,Leandro Cabrera,22,Uruguay,Centre-Back,CB,£1.35m,Hércules CF,Spain,"End of loanJun 30, 2013",In,2013,s,laliga
