Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
SC Amiens,Serhou Guirassy,23,France,Centre-Forward,CF,£3.15m,1. FC Köln,Germany,£5.40m,In,2019,s,ligue-1
SC Amiens,Gaël Kakuta,28,DR Congo,Attacking Midfield,AM,£1.80m,Rayo Vallecano,Spain,£2.70m,In,2019,s,ligue-1
SC Amiens,Eddy Gnahoré,25,France,Central Midfield,CM,£3.60m,SSD Palermo,Italy,£2.25m,In,2019,s,ligue-1
SC Amiens,Jack Lahne,17,Sweden,Centre-Forward,CF,£900Th.,IF Brommapojkarna,Sweden,£1.80m,In,2019,s,ligue-1
SC Amiens,Emil Krafth,24,Sweden,Right-Back,RB,£2.25m,Bologna FC 1909,Italy,£1.80m,In,2019,s,ligue-1
SC Amiens,Alexis Blin,22,France,Defensive Midfield,DM,£4.50m,FC Toulouse,France,£1.49m,In,2019,s,ligue-1
SC Amiens,Chadrac Akolo,24,DR Congo,Left Winger,LW,£1.80m,VfB Stuttgart,Germany,Loan fee:£450Th.,In,2019,s,ligue-1
SC Amiens,Ulrick Eneme Ella,18,France,Attacking Midfield,AM,-,FC Liefering,Austria,£270Th.,In,2019,s,ligue-1
SC Amiens,Aurélien Chedjou,34,Cameroon,Centre-Back,CB,£360Th.,Istanbul Basaksehir FK,Turkey,£180Th.,In,2019,s,ligue-1
SC Amiens,Christophe Jallet,35,France,Right-Back,RB,£450Th.,OGC Nice,France,Free transfer,In,2019,s,ligue-1
SC Amiens,Boris Essele,19,Cameroon,Goalkeeper,GK,-,Nkufo Academy Sports,Cameroon,Free transfer,In,2019,s,ligue-1
SC Amiens,Jayson Papeau,23,France,Attacking Midfield,AM,-,Sainte-Geneviève Sports,France,Free transfer,In,2019,s,ligue-1
SC Amiens,Haitam Aleesami,27,Norway,Left-Back,LB,£1.35m,SSD Palermo,Italy,Free transfer,In,2019,s,ligue-1
SC Amiens,Jonathan Bumbu,20,France,Central Midfield,CM,-,LOSC Lille B,France,Free transfer,In,2019,s,ligue-1
SC Amiens,Fousseni Diabaté,23,Mali,Right Winger,RW,£2.70m,Leicester City,England,Loan,In,2019,s,ligue-1
SC Amiens,Arturo Calabresi,23,Italy,Centre-Back,CB,£1.62m,Bologna FC 1909,Italy,Loan,In,2019,s,ligue-1
SC Amiens,Valentin Gendrey,19,France,Right-Back,RB,£135Th.,SC Amiens B,France,-,In,2019,s,ligue-1
SC Amiens,Darell Tokpa,18,France,Centre-Forward,CF,-,SC Amiens U19,France,-,In,2019,s,ligue-1
SC Amiens,Yannick Mamilonne,27,Guadeloupe,Centre-Forward,CF,£270Th.,Paris FC,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
SC Amiens,Rafal Kurzawa,26,Poland,Left Winger,LW,£1.35m,FC Midtjylland,Denmark,"End of loanJun 30, 2019",In,2019,s,ligue-1
SC Amiens,Madih Talal,21,France,Central Midfield,CM,£270Th.,Entente SSG,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
SC Amiens,Réda Rabeï,24,Algeria,Attacking Midfield,AM,£225Th.,US Avranches,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
SC Amiens,Brighton Labeau,23,France,Centre-Forward,CF,£225Th.,FC Villefranche-Beaujolais,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
SC Amiens,Sanasi Sy,19,France,Left-Back,LB,£135Th.,AFC Tubize,Belgium,"End of loanJun 30, 2019",In,2019,s,ligue-1
SCO Angers,Sada Thioub,24,Senegal,Right Winger,RW,£4.95m,Nîmes Olympique,France,£3.15m,In,2019,s,ligue-1
SCO Angers,Casimir Ninga,26,Chad,Left Winger,LW,£2.70m,SM Caen,France,£2.70m,In,2019,s,ligue-1
SCO Angers,Mathias Pereira Lage,22,Portugal,Left Midfield,LM,£1.35m,Clermont Foot 63,France,£1.35m,In,2019,s,ligue-1
SCO Angers,Antonin Bobichon,23,France,Central Midfield,CM,£4.50m,Nîmes Olympique,France,£1.35m,In,2019,s,ligue-1
SCO Angers,Danijel Petkovic,26,Montenegro,Goalkeeper,GK,£630Th.,FC Lorient,France,£810Th.,In,2019,s,ligue-1
SCO Angers,Rachid Alioui,27,Morocco,Centre-Forward,CF,£3.60m,Nîmes Olympique,France,Free transfer,In,2019,s,ligue-1
SCO Angers,Haithem Loucif,23,Algeria,Right-Back,RB,£585Th.,Paradou AC,Algeria,?,In,2019,s,ligue-1
SCO Angers,Zinédine Ould Khaled,19,France,Defensive Midfield,DM,-,SCO Angers B,France,-,In,2019,s,ligue-1
SCO Angers,Anthony Gomez Mancini,18,France,Attacking Midfield,AM,-,SCO Angers U19,France,-,In,2019,s,ligue-1
SCO Angers,Baptiste Guillaume,24,Belgium,Centre-Forward,CF,£2.70m,Nîmes Olympique,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
SCO Angers,Dorian Bertrand,26,France,Left Winger,LW,£270Th.,AS Béziers,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
SCO Angers,Saliou Ciss,29,Senegal,Left-Back,LB,£720Th.,Valenciennes FC ,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
SCO Angers,Harisson Manzala,25,DR Congo,Right Midfield,RM,£900Th.,Maccabi Petah Tikva,Israel,"End of loanJun 30, 2019",In,2019,s,ligue-1
SCO Angers,Alexandre Letellier,28,France,Goalkeeper,GK,£540Th.,ES Troyes AC,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
SCO Angers,Thomas Touré,25,Cote d'Ivoire,Left Winger,LW,£1.35m,Paris FC,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
FC Girondins Bordeaux,Laurent Koscielny,33,France,Centre-Back,CB,£7.20m,Arsenal FC,England,£4.50m,In,2019,s,ligue-1
FC Girondins Bordeaux,Ui-jo Hwang,26,"Korea, South",Centre-Forward,CF,£1.44m,Gamba Osaka,Japan,£1.80m,In,2019,s,ligue-1
FC Girondins Bordeaux,Mexer,30,Mozambique,Centre-Back,CB,£3.60m,Stade Rennais FC,France,Free transfer,In,2019,s,ligue-1
FC Girondins Bordeaux,Youssef Aït Bennasser,23,Morocco,Central Midfield,CM,£9.00m,AS Monaco,France,Loan,In,2019,s,ligue-1
FC Girondins Bordeaux,Enock Kwateng,22,France,Right-Back,RB,£3.60m,FC Nantes,France,Free transfer,In,2019,s,ligue-1
FC Girondins Bordeaux,Loris Benito,27,Switzerland,Left-Back,LB,£3.60m,BSC Young Boys,Switzerland,Free transfer,In,2019,s,ligue-1
FC Girondins Bordeaux,Yassine Benrahou,20,Morocco,Attacking Midfield,AM,£225Th.,FC Girondins Bordeaux B,France,-,In,2019,s,ligue-1
FC Girondins Bordeaux,Daniel Mancini,22,Argentina,Right Midfield,RM,£900Th.,AJ Auxerre,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
FC Girondins Bordeaux,Aaron Boupendza,22,Gabon,Centre-Forward,CF,£135Th.,Tours FC,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
FC Girondins Bordeaux,Raoul Bellanova,19,Italy,Right-Back,RB,£900Th.,Milan Primavera,Italy,"End of loanJun 30, 2019",In,2019,s,ligue-1
FC Girondins Bordeaux,Paul Baysse,31,France,Centre-Back,CB,£1.80m,SM Caen,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
FC Girondins Bordeaux,Lukas Lerager,25,Denmark,Central Midfield,CM,£5.40m,Genoa CFC,Italy,"End of loanJun 30, 2019",In,2019,s,ligue-1
FC Girondins Bordeaux,Jonathan Cafú,27,Brazil,Right Winger,RW,£1.80m,Red Star Belgrade,Serbia,"End of loanJun 30, 2019",In,2019,s,ligue-1
FC Girondins Bordeaux,Alexandre Mendy,25,France,Centre-Forward,CF,£2.03m,EA Guingamp,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
FC Girondins Bordeaux,Valentín Vada,23,Argentina,Central Midfield,CM,£3.60m,AS Saint-Étienne,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
Stade Brest 29,Jean-Kevin Duverne,22,France,Centre-Back,CB,£1.80m,RC Lens,France,£1.80m,In,2019,s,ligue-1
Stade Brest 29,Romain Perraud,21,France,Left-Back,LB,£1.35m,OGC Nice,France,£1.80m,In,2019,s,ligue-1
Stade Brest 29,Ibrahima Diallo,20,France,Defensive Midfield,DM,£2.25m,AS Monaco,France,£1.80m,In,2019,s,ligue-1
Stade Brest 29,Irvin Cardona,22,France,Centre-Forward,CF,£1.35m,AS Monaco,France,£1.35m,In,2019,s,ligue-1
Stade Brest 29,Denys Bain,25,France,Centre-Back,CB,£1.35m,AC Le Havre,France,Free transfer,In,2019,s,ligue-1
Stade Brest 29,Samuel Grandsir,22,France,Right Midfield,RM,£2.70m,AS Monaco,France,Loan,In,2019,s,ligue-1
Stade Brest 29,Ludovic Baal,33,French Guiana,Left-Back,LB,£450Th.,Stade Rennais FC,France,Free transfer,In,2019,s,ligue-1
Stade Brest 29,Alexandre Mendy,25,France,Centre-Forward,CF,£2.03m,FC Girondins Bordeaux,France,Loan,In,2019,s,ligue-1
Stade Brest 29,Paul Lasne,30,France,Defensive Midfield,DM,£2.25m,HSC Montpellier,France,Free transfer,In,2019,s,ligue-1
Stade Brest 29,Hianga'a M'Bock,19,France,Central Midfield,CM,-,Stade Brest 29 B,France,-,In,2019,s,ligue-1
Stade Brest 29,Corentin Jacob,22,France,Centre-Back,CB,£360Th.,Tours FC,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
Stade Brest 29,David Kiki,25,Benin,Left-Back,LB,£540Th.,Red Star FC,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
FCO Dijon,Mounir Chouiar,20,France,Left Winger,LW,£900Th.,RC Lens,France,£3.15m,In,2019,s,ligue-1
FCO Dijon,Bruno Ecuele Manga,31,Gabon,Centre-Back,CB,£2.70m,Cardiff City,England,£1.80m,In,2019,s,ligue-1
FCO Dijon,Alfred Gomis,25,Senegal,Goalkeeper,GK,£1.80m,SPAL,Italy,£900Th.,In,2019,s,ligue-1
FCO Dijon,Hamza Mendyl,21,Morocco,Left-Back,LB,£3.60m,FC Schalke 04,Germany,Loan fee:£450Th.,In,2019,s,ligue-1
FCO Dijon,Ngonda Muzinga,24,DR Congo,Left-Back,LB,£270Th.,AS Vita Club Kinshasa,DR Congo,£270Th.,In,2019,s,ligue-1
FCO Dijon,Bryan Soumaré,20,France,Attacking Midfield,AM,-,Olympique Saint-Quentin,France,Free transfer,In,2019,s,ligue-1
FCO Dijon,Mama Baldé,23,Guinea-Bissau,Right Winger,RW,£2.25m,Sporting CP U23,Portugal,Free transfer,In,2019,s,ligue-1
FCO Dijon,Matheus Pereira,21,Brazil,Attacking Midfield,AM,£405Th.,Juventus U23,Italy,Loan,In,2019,s,ligue-1
FCO Dijon,Jhonder Cádiz,24,Venezuela,Centre-Forward,CF,£1.80m,SL Benfica,Portugal,Loan,In,2019,s,ligue-1
FCO Dijon,Didier Ndong,25,Gabon,Central Midfield,CM,£3.60m,EA Guingamp,France,?,In,2019,s,ligue-1
FCO Dijon,Stephy Mavididi,21,England,Centre-Forward,CF,£495Th.,Juventus U23,Italy,Loan,In,2019,s,ligue-1
FCO Dijon,Théo Barbet,18,France,Centre-Back,CB,-,FCO Dijon U19,France,-,In,2019,s,ligue-1
FCO Dijon,Rayan Philippe,19,France,Centre-Forward,CF,-,FCO Dijon B,France,-,In,2019,s,ligue-1
FCO Dijon,Eden Massouema,22,Congo,Defensive Midfield,DM,£450Th.,Valenciennes FC ,France,"End of loanJun 30, 2019",In,2019,s,ligue-1
LOSC Lille,Renato Sanches,22,Portugal,Central Midfield,CM,£16.20m,Bayern Munich,Germany,£18.00m,In,2019,s,ligue-1
LOSC Lille,Yusuf Yazici,22,Turkey,Attacking Midfield,AM,£11.70m,Trabzonspor,Turkey,£15.75m,In,2019,s,ligue-1
LOSC Lille,Victor Osimhen,20,Nigeria,Centre-Forward,CF,£11.70m,RSC Charleroi,Belgium,£10.80m,In,2019,s,ligue-1
LOSC Lille,Timothy Weah,19,United States,Centre-Forward,CF,£5.40m,Paris Saint-Germain,France,£9.00m,In,2019,s,ligue-1
LOSC Lille,Benjamin André,28,France,Central Midfield,CM,£9.00m,Stade Rennais FC,France,£6.30m,In,2019,s,ligue-1
LOSC Lille,Domagoj Bradaric,19,Croatia,Left-Back,LB,£900Th.,HNK Hajduk Split,Croatia,£5.85m,In,2019,s,ligue-1
LOSC Lille,Léo Jardim,24,Brazil,Goalkeeper,GK,£900Th.,Rio Ave FC,Portugal,£5.40m,In,2019,s,ligue-1
LOSC Lille,Tiago Djaló,19,Portugal,Centre-Back,CB,£158Th.,AC Milan,Italy,£4.50m,In,2019,s,ligue-1
LOSC Lille,Reinildo Mandava,25,Mozambique,Left-Back,LB,£540Th.,Belenenses SAD,Portugal,£2.70m,In,2019,s,ligue-1
