Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
FC Internazionale,Wálter Samuel,27,Argentina,Centre-Back,CB,£16.20m,Real Madrid,Spain,£14.40m,In,2005,s,serie-a
FC Internazionale,David Pizarro,25,Chile,Central Midfield,CM,£10.80m,Udinese Calcio,Italy,£10.80m,In,2005,s,serie-a
FC Internazionale,Santiago Solari,28,Argentina,Left Midfield,LM,£6.30m,Real Madrid,Spain,£1.80m,In,2005,s,serie-a
FC Internazionale,Pierre Womé,26,Cameroon,Left-Back,LB,£2.70m,Brescia Calcio,Italy,Free transfer,In,2005,s,serie-a
FC Internazionale,Luís Figo,32,Portugal,Right Winger,RW,£18.00m,Real Madrid,Spain,Free transfer,In,2005,s,serie-a
FC Internazionale,Robert Acquafresca,17,Italy,Centre-Forward,CF,-,Torino Primavera,Italy,Free transfer,In,2005,s,serie-a
FC Internazionale,Paolo Orlandoni,32,Italy,Goalkeeper,GK,£135Th.,Piacenza FC,Italy,Free transfer,In,2005,s,serie-a
FC Internazionale,Daniel Maa Boumsong,18,Cameroon,Defensive Midfield,DM,-,Inter Milan Primavera,Italy,-,In,2005,s,serie-a
FC Internazionale,Matteo Lombardo,20,Italy,Left Midfield,LM,-,Inter Milan Primavera,Italy,-,In,2005,s,serie-a
FC Internazionale,Marco Andreolli,19,Italy,Centre-Back,CB,-,Inter Milan Primavera,Italy,-,In,2005,s,serie-a
FC Internazionale,Giacomo Bindi,18,Italy,Goalkeeper,GK,-,Inter Milan Primavera,Italy,-,In,2005,s,serie-a
Juventus FC,Patrick Vieira,29,France,Defensive Midfield,DM,£31.50m,Arsenal FC,England,£18.00m,In,2005,s,serie-a
Juventus FC,Giorgio Chiellini,20,Italy,Centre-Back,CB,£8.10m,ACF Fiorentina,Italy,£6.93m,In,2005,s,serie-a
Juventus FC,Fabrizio Miccoli,26,Italy,Centre-Forward,CF,£13.50m,ACF Fiorentina,Italy,£2.15m,In,2005,s,serie-a
Juventus FC,Douglas Packer,18,Brazil,Attacking Midfield,AM,-,Ipatinga Futebol Clube,Brazil,£135Th.,In,2005,s,serie-a
Juventus FC,Gladstone,20,Brazil,Centre-Back,CB,-,Cruzeiro Esporte Clube,Brazil,Loan fee:£135Th.,In,2005,s,serie-a
Juventus FC,Robert Kovac,31,Croatia,Centre-Back,CB,£4.05m,Bayern Munich,Germany,Free transfer,In,2005,s,serie-a
Juventus FC,Christian Abbiati,28,Italy,Goalkeeper,GK,£3.60m,AC Milan,Italy,Loan,In,2005,s,serie-a
Juventus FC,Giuliano Giannichedda,30,Italy,Defensive Midfield,DM,£3.60m,SS Lazio,Italy,Free transfer,In,2005,s,serie-a
Juventus FC,Federico Balzaretti,23,Italy,Left-Back,LB,-,Torino FC,Italy,Free transfer,In,2005,s,serie-a
Juventus FC,Simone Bentivoglio,20,Italy,Central Midfield,CM,-,Juventus Primavera,Italy,-,In,2005,s,serie-a
Juventus FC,Claudio Marchisio,19,Italy,Central Midfield,CM,-,Juventus Primavera,Italy,-,In,2005,s,serie-a
Juventus FC,Alessandro La Vecchia,20,Italy,Midfielder,Midfielder,-,Juventus Primavera,Italy,-,In,2005,s,serie-a
Juventus FC,Andrea Rossi,18,Italy,Left-Back,LB,-,Juventus Primavera,Italy,-,In,2005,s,serie-a
Juventus FC,Andrea Luci,20,Italy,Defensive Midfield,DM,-,Juventus Primavera,Italy,-,In,2005,s,serie-a
AS Roma,Massimo Bonanni,23,Italy,Left Midfield,LM,£630Th.,Vicenza Calcio,Italy,£450Th.,In,2005,s,serie-a
AS Roma,Samuel Kuffour,28,Ghana,Centre-Back,CB,£4.95m,Bayern Munich,Germany,Free transfer,In,2005,s,serie-a
AS Roma,Shabani Nonda,28,DR Congo,Centre-Forward,CF,£5.40m,AS Monaco,France,Free transfer,In,2005,s,serie-a
