Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Milan AC,Andriy Shevchenko,22,Ukraine,Centre-Forward,CF,-,Dynamo Kyiv,Ukraine,£21.52m,In,1999,s,serie-a
Milan AC,Serginho,28,Brazil,Left Midfield,LM,-,São Paulo Futebol Clube,Brazil,£8.01m,In,1999,s,serie-a
Milan AC,Gennaro Gattuso,21,Italy,Central Midfield,CM,-,US Salernitana,Italy,£7.20m,In,1999,s,serie-a
Milan AC,Fabricio Coloccini,17,Argentina,Centre-Back,CB,-,Club Atlético Boca Juniors,Argentina,£6.75m,In,1999,s,serie-a
Milan AC,Mattia Graffiedi,19,Italy,Centre-Forward,CF,-,AC Cesena,Italy,?,In,1999,s,serie-a
Milan AC,Mirco Sadotti,24,Italy,Centre-Back,CB,-,Calcio Monza,Italy,?,In,1999,s,serie-a
Milan AC,Max Tonetto,24,Italy,Left-Back,LB,-,FC Empoli,Italy,?,In,1999,s,serie-a
Milan AC,Valerio Fiori,30,Italy,Goalkeeper,GK,-,Piacenza FC,Italy,?,In,1999,s,serie-a
Milan AC,Diego De Ascentis,22,Italy,Defensive Midfield,DM,-,AS Bari,Italy,?,In,1999,s,serie-a
Milan AC,Alessandro Budel,18,Italy,Defensive Midfield,DM,-,Milan Primavera,Italy,-,In,1999,s,serie-a
AS Roma,Vincenzo Montella,25,Italy,Centre-Forward,CF,-,UC Sampdoria,Italy,£23.24m,In,1999,s,serie-a
AS Roma,Sergey Gurenko,26,Belarus,Right-Back,RB,-,Lokomotiv Moscow,Russia,£4.91m,In,1999,s,serie-a
AS Roma,Joseph Dayo Oshadogan,23,Italy,Centre-Back,CB,-,Foggia Calcio,Italy,£495Th.,In,1999,s,serie-a
AS Roma,Nesat Gülünoglu,20,Turkey,Attacking Midfield,AM,-,VfL Bochum,Germany,?,In,1999,s,serie-a
AS Roma,Francesco Antonioli,29,Italy,Goalkeeper,GK,-,Bologna FC 1909,Italy,?,In,1999,s,serie-a
AS Roma,Giuseppe Colucci,18,Italy,Central Midfield,CM,-,Foggia Calcio,Italy,?,In,1999,s,serie-a
AS Roma,Alessandro Rinaldi,24,Italy,Right-Back,RB,-,Bologna FC 1909,Italy,?,In,1999,s,serie-a
AS Roma,Marcos Assunção,22,Brazil,Central Midfield,CM,-,Clube de Regatas do Flamengo,Brazil,?,In,1999,s,serie-a
AS Roma,Amedeo Mangone,30,Italy,Left-Back,LB,-,Bologna FC 1909,Italy,?,In,1999,s,serie-a
AS Roma,Cristiano Lupatelli,21,Italy,Goalkeeper,GK,-,AS Fidelis Andria,Italy,?,In,1999,s,serie-a
AS Roma,Cristiano Zanetti,22,Italy,Defensive Midfield,DM,-,Cagliari Calcio,Italy,?,In,1999,s,serie-a
AS Roma,Ednilson,16,Guinea-Bissau,Defensive Midfield,DM,-,Roma Primavera,Italy,-,In,1999,s,serie-a
AS Roma,Luca Ferri,19,Italy,Right-Back,RB,-,Roma Primavera,Italy,-,In,1999,s,serie-a
FC Internazionale,Christian Vieri,25,Italy,Centre-Forward,CF,-,SS Lazio,Italy,£41.83m,In,1999,s,serie-a
FC Internazionale,Angelo Peruzzi,29,Italy,Goalkeeper,GK,-,Juventus FC,Italy,£17.10m,In,1999,s,serie-a
FC Internazionale,Christian Panucci,26,Italy,Right-Back,RB,-,Real Madrid,Spain,£8.37m,In,1999,s,serie-a
FC Internazionale,Michele Serena,29,Italy,Left-Back,LB,-,Atlético Madrid,Spain,£6.75m,In,1999,s,serie-a
FC Internazionale,Grigoris Georgatos,26,Greece,Left-Back,LB,-,Olympiacos Piraeus,Greece,£6.30m,In,1999,s,serie-a
FC Internazionale,Cyril Domoraud,27,Cote d'Ivoire,Centre-Back,CB,-,Olympique Marseille,France,£6.30m,In,1999,s,serie-a
FC Internazionale,Laurent Blanc,33,France,Sweeper,SW,-,Olympique Marseille,France,£5.40m,In,1999,s,serie-a
FC Internazionale,Vladimir Jugovic,29,Serbia,Left Midfield,LM,-,Atlético Madrid,Spain,£1.80m,In,1999,s,serie-a
FC Internazionale,Tiago Henrique,17,Brazil,Right Winger,RW,-,Comercial Futebol Clube (SP),Brazil,£180Th.,In,1999,s,serie-a
FC Internazionale,Edinho,19,Brazil,Left-Back,LB,-,Madureira Esporte Clube (RJ),Brazil,Free transfer,In,1999,s,serie-a
FC Internazionale,Fabrizio Ferron,33,Italy,Goalkeeper,GK,-,UC Sampdoria,Italy,?,In,1999,s,serie-a
FC Internazionale,Luigi Di Biagio,28,Italy,Defensive Midfield,DM,-,AS Roma,Italy,?,In,1999,s,serie-a
FC Internazionale,Giorgio Frezzolini,23,Italy,Goalkeeper,GK,-,Milan AC,Italy,?,In,1999,s,serie-a
FC Internazionale,Giuseppe Ticli,20,Italy,Left Midfield,LM,-,Inter Milan Primavera,Italy,-,In,1999,s,serie-a
AC Parma,Márcio Amoroso,24,Brazil,Centre-Forward,CF,-,Udinese Calcio,Italy,£25.20m,In,1999,s,serie-a
AC Parma,Ousmane Dabo,22,France,Defensive Midfield,DM,-,FC Internazionale,Italy,£13.94m,In,1999,s,serie-a
