Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Bayern Munich,Paulo Sérgio,30,Brazil,Left Winger,LW,-,AS Roma,Italy,£5.94m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/paulo-sergio/profil/spieler/218
Bayern Munich,Roque Santa Cruz,17,Paraguay,Centre-Forward,CF,-,Olimpia Asunción,Paraguay,£4.50m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/roque-santa-cruz/profil/spieler/215
Bayern Munich,Patrik Andersson,27,Sweden,Centre-Back,CB,-,Borussia Mönchengladbach,Germany,£2.70m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/patrik-andersson/profil/spieler/191
Bayern Munich,Michael Wiesinger,26,Germany,Right Midfield,RM,-,1.FC Nuremberg,Germany,£1.13m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/michael-wiesinger/profil/spieler/225
Bayern Munich,Stefan Wessels,20,Germany,Goalkeeper,GK,-,FC Bayern Munich II,Germany,-,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/stefan-wessels/profil/spieler/223
Bayern Munich,Berkant Göktan,18,Turkey,Centre-Forward,CF,-,Borussia Mönchengladbach,Germany,"End of loanJun 30, 1999",In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/berkant-goktan/profil/spieler/200
MSV Duisburg,Marijan Kovacevic,25,Croatia,Centre-Back,CB,-,VfL Wolfsburg,Germany,£387Th.,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/marijan-kovacevic/profil/spieler/372
MSV Duisburg,Pavel Drsek,22,Czech Republic,Centre-Back,CB,-,FK Chmel Blsany,Czech Republic,£270Th.,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/pavel-drsek/profil/spieler/364
MSV Duisburg,Andreas Voss,20,Germany,Defensive Midfield,DM,-,Bayer 04 Leverkusen,Germany,Loan fee:£135Th.,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/andreas-voss/profil/spieler/677
MSV Duisburg,Sercan Güvenisik,19,Turkey,Centre-Forward,CF,-,FC Augsburg,Germany,Free transfer,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/sercan-guvenisik/profil/spieler/367
MSV Duisburg,Ralf Keidel,22,Germany,Right-Back,RB,-,Newcastle United,England,Free transfer,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/ralf-keidel/profil/spieler/371
MSV Duisburg,Piotr Reiss,27,Poland,Centre-Forward,CF,-,Hertha BSC,Germany,Loan,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/piotr-reiss/profil/spieler/376
MSV Duisburg,Michael Zeyer,31,Germany,Central Midfield,CM,-,VfB Stuttgart,Germany,Free transfer,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/michael-zeyer/profil/spieler/389
MSV Duisburg,Martin Schneider,30,Germany,Defensive Midfield,DM,-,Borussia Mönchengladbach,Germany,?,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/martin-schneider/profil/spieler/377
MSV Duisburg,Stefan Trienekens,28,Germany,Centre-Forward,CF,-,FC Wegberg-Beeck,Germany,?,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/stefan-trienekens/profil/spieler/105537
MSV Duisburg,Rainer Torres,19,Peru,Defensive Midfield,DM,-,MSV Duisburg U19,Germany,-,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/rainer-torres/profil/spieler/384
Bayer 04 Leverkusen,Robson Ponté,22,Brazil,Attacking Midfield,AM,-,Guarani Futebol Clube (SP),Brazil,£4.05m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/robson-ponte/profil/spieler/85
Bayer 04 Leverkusen,Oliver Neuville,26,Germany,Centre-Forward,CF,-,FC Hansa Rostock,Germany,£4.05m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/oliver-neuville/profil/spieler/81
Bayer 04 Leverkusen,Michael Ballack,22,Germany,Central Midfield,CM,-,1.FC Kaiserslautern,Germany,£3.60m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/michael-ballack/profil/spieler/63
Bayer 04 Leverkusen,Bernd Schneider,25,Germany,Right Midfield,RM,-,Eintracht Frankfurt,Germany,£1.13m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/bernd-schneider/profil/spieler/90
Bayer 04 Leverkusen,Vratislav Gresko,21,Slovakia,Left-Back,LB,-,Inter Bratislava,Slovakia,£900Th.,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/vratislav-gresko/profil/spieler/71
Bayer 04 Leverkusen,Frank Juric,25,Australia,Goalkeeper,GK,-,Fortuna Düsseldorf,Germany,Free transfer,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/frank-juric/profil/spieler/73
Bayer 04 Leverkusen,Thomas Brdaric,24,Germany,Centre-Forward,CF,-,SC Fortuna Köln,Germany,Free transfer,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/thomas-brdaric/profil/spieler/66
Bayer 04 Leverkusen,Torben Hoffmann,24,Germany,Centre-Back,CB,-,SC Freiburg,Germany,Free transfer,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/torben-hoffmann/profil/spieler/555
Bayer 04 Leverkusen,Miroslaw Spizak,20,Poland,Centre-Forward,CF,-,KFC Uerdingen 05,Germany,Free transfer,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/miroslaw-spizak/profil/spieler/91
Bayer 04 Leverkusen,Markus Daun,18,Germany,Centre-Forward,CF,-,Bayer 04 Leverkusen U19,Germany,-,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/markus-daun/profil/spieler/67
Hertha BSC,Marko Rehmer,27,Germany,Right-Back,RB,-,FC Hansa Rostock,Germany,£3.24m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/marko-rehmer/profil/spieler/349
Hertha BSC,Ali Daei,30,Iran,Centre-Forward,CF,-,Bayern Munich,Germany,£2.43m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/ali-daei/profil/spieler/335
Hertha BSC,Sebastian Deisler,19,Germany,Right Midfield,RM,-,Borussia Mönchengladbach,Germany,£1.80m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/sebastian-deisler/profil/spieler/337
Hertha BSC,Konstantinos Konstantinidis,26,Greece,Centre-Back,CB,-,Panathinaikos Athens,Greece,£1.17m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/konstantinos-konstantinidis/profil/spieler/343
Hertha BSC,Thomas Helmer,34,Germany,Centre-Back,CB,-,Sunderland AFC,England,Loan,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/thomas-helmer/profil/spieler/12405
Hertha BSC,Kai Michalke,23,Germany,Left Winger,LW,-,VfL Bochum,Germany,Free transfer,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/kai-michalke/profil/spieler/346
Hertha BSC,Joe Bacak,26,Australia,Midfielder,Midfielder,-,Vitesse Arnhem,Netherlands,?,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/joe-bacak/profil/spieler/221721
Borussia Dortmund,Christian Wörns,27,Germany,Centre-Back,CB,-,Paris Saint-Germain,France,£6.08m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/christian-worns/profil/spieler/137
Borussia Dortmund,Evanilson,23,Brazil,Right-Back,RB,-,Cruzeiro Esporte Clube,Brazil,£5.85m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/evanilson/profil/spieler/110
Borussia Dortmund,Victor Ikpeba,26,Nigeria,Centre-Forward,CF,-,AS Monaco,France,£5.40m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/victor-ikpeba/profil/spieler/115
Borussia Dortmund,Fredi Bobic,27,Germany,Centre-Forward,CF,-,VfB Stuttgart,Germany,£5.18m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/fredi-bobic/profil/spieler/104
Borussia Dortmund,Giuseppe Reina,27,Germany,Right Winger,RW,-,Arminia Bielefeld,Germany,£1.98m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/giuseppe-reina/profil/spieler/129
Borussia Dortmund,Otto Addo,24,Ghana,Attacking Midfield,AM,-,Hannover 96,Germany,£225Th.,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/otto-addo/profil/spieler/102
Borussia Dortmund,Sead Kapetanovic,27,Bosnia-Herzegovina,Right Midfield,RM,-,VfL Wolfsburg,Germany,Free transfer,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/sead-kapetanovic/profil/spieler/116
Borussia Dortmund,Jovan Kirovski,23,United States,Right Winger,RW,-,SC Fortuna Köln,Germany,"End of loanJun 30, 1999",In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/jovan-kirovski/profil/spieler/3474
1.FC Kaiserslautern,Jörgen Pettersson,23,Sweden,Left Winger,LW,-,Borussia Mönchengladbach,Germany,£1.89m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/jorgen-pettersson/profil/spieler/16
1.FC Kaiserslautern,Youri Djorkaeff,31,France,Attacking Midfield,AM,-,FC Internazionale,Italy,£1.35m,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/youri-djorkaeff/profil/spieler/4
1.FC Kaiserslautern,Igli Tare,25,Albania,Centre-Forward,CF,-,Fortuna Düsseldorf,Germany,Free transfer,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/igli-tare/profil/spieler/101
1.FC Kaiserslautern,Thomas Sobotzik,24,Germany,Attacking Midfield,AM,-,Eintracht Frankfurt,Germany,Free transfer,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/thomas-sobotzik/profil/spieler/434
1.FC Kaiserslautern,Jeff Strasser,24,Luxembourg,Centre-Back,CB,-,FC Metz,France,Free transfer,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/jeff-strasser/profil/spieler/24
1.FC Kaiserslautern,Slobodan Komljenovic,28,Serbia,Centre-Back,CB,-,MSV Duisburg,Germany,Free transfer,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/slobodan-komljenovic/profil/spieler/13
1.FC Kaiserslautern,Roman Weidenfeller,18,Germany,Goalkeeper,GK,-,1.FC Kaiserslautern II,Germany,-,In,1999,s,1-bundesliga,https://www.transfermarkt.co.uk/roman-weidenfeller/profil/spieler/26
